line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg,first_associated_event_time,first_associated_event_elapsed_minutes,total_associated_events,activated,activation_bin,activation_minutes,activation_hours,peak_count,peak_rate_events_per_hour,peak_bin,peak_bin_start_minutes,max_cumulative_count,first_associated_event_elapsed_hours,activation_delay_from_first_event_minutes,activation_delay_from_first_event_hours,activation_threshold_count_per_bin,activation_threshold_rate_per_hour,ever_associated,segment_dx_km,segment_dy_km,segment_mid_distance_from_origin_km,bend_flag,local_turn_angle_deg,distance_to_mw64_km,distance_to_mw71_km,is_nearest_to_mw71,neighborhood_type
156,0,157,1,0.4590840765725754,0.4545973190112093,-5.030181000049407,3.2492857205101893,-5.245970379827897,3.6494027859135456,-5.138075689938652,3.4493442532118674,-117.599018000181,35.76949200015571,-117.60140699973302,35.7730970000266,-117.60021247299088,35.771294506298744,0.0,0.4590840765725754,0.2295420382862877,118.33867791670453,151.6613220832955,2019-07-05 12:45:27.210000+00:00,1151.636166666667,11,False,,,,1.0,2.0,38.0,1140.0,11.0,19.193936111111118,,,5,10.0,True,-0.21578937977848955,0.40011706540335634,6.188521436716875,False,,12.159675657042792,0.861314389997238,,same_line_along_3km
156,0,157,1,0.4590840765725754,0.4545973190112093,-5.030181000049407,3.2492857205101893,-5.245970379827897,3.6494027859135456,-5.138075689938652,3.4493442532118674,-117.599018000181,35.76949200015571,-117.60140699973302,35.7730970000266,-117.60021247299088,35.771294506298744,0.0,0.4590840765725754,0.2295420382862877,118.33867791670453,151.6613220832955,2019-07-05 12:45:27.210000+00:00,1151.636166666667,11,False,,,,1.0,2.0,38.0,1140.0,11.0,19.193936111111118,,,5,10.0,True,-0.21578937977848955,0.40011706540335634,6.188521436716875,False,,12.159675657042792,0.861314389997238,,spatial_within_3km
887,0,927,1,0.0548067304208612,0.0548067304208612,-5.391580708226014,3.839490325582553,-5.3844745315006,3.785146237111293,-5.388027619863307,3.812318281346923,-117.603018632932,35.774809410062005,-117.602939676525,35.7743196634218,-117.60297915460713,35.77456453675341,0.0,0.0548067304208612,0.0274033652104306,277.4498780517023,172.55012194829771,2019-07-05 19:08:34.680000+00:00,1534.7606666666666,1,False,,,,1.0,2.0,51.0,1530.0,1.0,25.57934444444444,,,5,10.0,True,0.007106176725414137,-0.054344088471260044,6.600349408228461,False,,12.580233004415943,0.9334347711373263,,spatial_within_3km
717,0,752,1,0.0484593937421863,0.0484593937421863,-5.401972860257086,3.880201488233492,-5.396187814478675,3.832088640809941,-5.399080337367881,3.856145064521716,-117.603133840155,35.775176269469306,-117.60306953576,35.7747426758328,-117.60310168786997,35.77495947265928,0.0,0.0484593937421863,0.0242296968710931,276.8562783389509,173.14372166104909,2019-07-05 14:00:24.720000+00:00,1226.5946666666666,6,False,,,,1.0,2.0,40.0,1200.0,6.0,20.44324444444444,,,5,10.0,True,0.005785045778410769,-0.04811284742355104,6.634751182070633,False,,12.616126809664344,0.9367060786177824,,spatial_within_3km
716,0,751,1,0.1501901677150602,0.1452288892784824,-5.372499508367461,3.6362365936087446,-5.364090750760863,3.781221844846845,-5.368295129564162,3.708729219227795,-117.602806240516,35.7729776545951,-117.602714215589,35.774284405501014,-117.60276022842622,35.7736310300923,0.0,0.1501901677150602,0.0750950838575301,86.68071605926872,3.319283940731296,2019-07-06 03:07:46.160000+00:00,2013.952,1,False,,,,1.0,2.0,67.0,2010.0,1.0,33.565866666666665,,,5,10.0,True,0.008408757606598094,0.14498525123810024,6.52481915608826,False,,12.500667780205335,0.9404716243116661,,spatial_within_3km
714,0,749,1,0.1545914951381937,0.1534320843785848,-5.342505160557161,3.7005452088325073,-5.351750623081792,3.5473919328653807,-5.3471278918194765,3.623968570848944,-117.602474951858,35.773557410646006,-117.60257617864798,35.7721770394389,-117.60252556568736,35.77286722509265,0.0,0.1545914951381937,0.0772957475690968,266.54539608903826,3.454603910961737,,,0,False,,,,,,,,,,,,5,10.0,False,-0.009245462524630987,-0.15315327596712658,6.4594833302652575,False,,12.431882452923764,0.9502716934462547,,spatial_within_3km
715,0,750,1,0.1758993799311673,0.1736620566279729,-5.353151194888045,3.5371269888700585,-5.349987838875079,3.710760231916984,-5.351569516881562,3.623943610393521,-117.60259159932302,35.772084517186805,-117.602557774022,35.773649434673715,-117.60257468683449,35.7728669759824,0.0,0.1758993799311673,0.0879496899655836,88.95626611338736,1.0437338866126282,,,0,False,,,,,,,,,,,,5,10.0,False,0.003163356012965579,0.1736332430469254,6.463146570001951,False,,12.435377391833464,0.9543689192145669,,spatial_within_3km
734,0,769,1,0.1208227994441327,0.1204135886757461,-5.385719349749242,3.758071562841294,-5.383326688472288,3.637681748032127,-5.384523019110764,3.697876655436711,-117.602953261684,35.7740756413778,-117.602925991541,35.772990620121014,-117.60293962651814,35.77353313077472,0.0,0.1208227994441327,0.0604113997220663,271.1385626595744,178.86143734042557,2019-07-06 01:57:52.640000+00:00,1944.06,1,False,,,,1.0,2.0,64.0,1920.0,1.0,32.401,,,5,10.0,True,0.0023926612769535893,-0.1203898148091671,6.532027242912991,False,,12.506774842401803,0.959257493143471,,spatial_within_3km
718,0,753,1,0.1462233693835815,0.1460884265920707,-5.39267874873694,3.8065643033915744,-5.458326682586747,3.937071686958169,-5.425502715661843,3.871817995174872,-117.60303055526802,35.7745126525416,-117.603757479922,35.7756885109113,-117.60339401491812,35.775100582305015,0.0,0.1462233693835815,0.0731116846917907,116.70334895384497,153.29665104615503,,,0,False,,,,,,,,,,,,5,10.0,False,-0.0656479338498066,0.13050738356659464,6.665362278632273,False,,12.646563874072605,0.9606767000888847,,spatial_within_3km
820,0,858,1,0.1727072715403155,0.1724768424477631,-5.030282413583113,3.2530023353118303,-4.942095362659591,3.1047751271813304,-4.986188888121352,3.1788887312465803,-117.599019145018,35.7695254963047,-117.598042983996,35.7681900183547,-117.59853106042578,35.76885775835791,0.0,0.1727072715403155,0.0863536357701577,300.7503223243753,149.2496776756247,2019-07-05 01:09:49.050000+00:00,456.0001666666666,1,False,,,,1.0,2.0,15.0,450.0,1.0,7.600002777777776,,,5,10.0,True,0.08818705092352186,-0.14822720813049983,5.913325053949879,False,,11.874626865457616,0.9654284599640873,,spatial_within_3km
713,0,748,1,0.1637439524627988,0.1637270509086739,-5.355969738702864,3.450393952484299,-5.345053771102798,3.613756704819725,-5.350511754902831,3.532075328652012,-117.60262219066205,35.771302804880605,-117.602502559246,35.77277520011549,-117.60256237550192,35.77203900255789,0.0,0.1637439524627988,0.0818719762313994,86.17715486098126,3.822845139018739,,,0,False,,,,,,,,,,,,5,10.0,False,0.010915967600066523,0.1633627523354262,6.411203644139343,False,,12.378469439417177,0.992911354340304,,spatial_within_3km
810,0,848,1,0.5057688487279585,0.5057688487279585,-4.207143770284421,5.15755705733529,-3.913706032612964,4.745614801122285,-4.060424901448693,4.951585929228788,-117.589926177151,35.7866944831639,-117.58667838350098,35.782982999066206,-117.588302242579,35.784838752367705,0.0,0.5057688487279585,0.2528844243639792,305.4633105574968,144.5366894425032,2019-07-04 18:24:28.880000+00:00,50.664,53,False,,,,4.0,8.0,36.0,1080.0,53.0,0.8444,,,5,10.0,True,0.29343773767145764,-0.4119422562130053,6.403534461127006,False,,12.365951729081313,1.0402815614461849,,spatial_within_3km
819,0,857,1,0.057209662516965,0.057209662516965,-5.522091360331701,4.1204516189872535,-5.52414560051598,4.063278849397436,-5.5231184804238405,4.091865234192345,-117.604463961742,35.777340898064004,-117.60448628741202,35.776825607216,-117.6044751246126,35.77708325264604,0.0,0.057209662516965,0.0286048312584825,267.942225240419,2.05777475958098,2019-07-05 17:22:38.920000+00:00,1428.8313333333333,1,False,,,,1.0,2.0,47.0,1410.0,1.0,23.81385555555556,,,5,10.0,True,-0.0020542401842789104,-0.05717276958981721,6.8737325263346785,False,,12.860351899527549,1.054466051504392,,spatial_within_3km
712,0,747,1,0.4012503839903191,0.3866715835454821,-5.332307556723261,3.15055039877764,-5.338443020208385,3.537173302405185,-5.335375288465823,3.3438618505914124,-117.602358513934,35.76860053908361,-117.60242893894402,35.77208501451179,-117.60239372565307,35.77034277705598,0.0,0.4012503839903191,0.2006251919951595,90.9091718423116,179.0908281576884,2019-07-04 22:48:47.160000+00:00,314.96866666666665,2,False,,,,1.0,2.0,10.0,300.0,2.0,5.249477777777778,,,5,10.0,True,-0.006135463485123616,0.3866229036275448,6.296637320396688,False,,12.252816558355763,1.0815823259319441,,spatial_within_3km
762,0,797,2,1.7131734681890751,0.8504166661409727,-4.972349559031343,3.21471604495653,-4.386601110012924,2.598187651025769,-4.679475334522133,2.90645184799115,-117.598378236866,35.76918072860782,-117.59189718791728,35.76362693677033,-117.59513759974304,35.766403876996925,0.0,0.8565867340945377,0.4282933670472688,313.5334693904764,136.4665306095236,2019-07-04 23:57:58.080000+00:00,384.15066666666667,8,False,,,,1.0,2.0,12.0,360.0,8.0,6.402511111111111,,,5,10.0,True,0.5857484490184195,-0.6165283939307611,5.5086252142519365,False,,11.465670141691803,1.1095364969498738,,spatial_within_3km
579,0,586,1,0.3077683445699589,0.3018048717722975,-5.379072295010148,3.5914176087757803,-5.511796588885219,3.320363292372487,-5.4454344419476834,3.4558904505741337,-117.60287863034502,35.77257367965701,-117.604344600484,35.77013001957041,-117.60361162661432,35.77135185196689,0.0,0.3077683445699589,0.1538841722849794,243.9108847070489,26.08911529295113,2019-07-05 05:18:25.220000+00:00,704.603,2,False,,,,1.0,2.0,23.0,690.0,2.0,11.743383333333332,,,5,10.0,True,-0.13272429387507145,-0.27105431640329325,6.449491070458162,False,,12.40807123333841,1.1126838316291419,,spatial_within_3km
157,0,158,1,0.0523907817285591,0.0523907817285591,-5.3626871400912295,3.306834654698695,-5.363337603418664,3.2544479110740987,-5.363012371754946,3.280641282886397,-117.602695518683,35.770008914280005,-117.602702361625,35.76953676570919,-117.6026989401638,35.76977283999929,0.0,0.0523907817285591,0.0261953908642795,269.2886198734283,0.7113801265717257,,,0,False,,,,,,,,,,,,5,10.0,False,-0.0006504633274344584,-0.05238674362459639,6.286852068131961,False,,12.237270806825471,1.1422710072017306,,spatial_within_3km
