event_id,datetime,time,lat,lon,depth_km,mag,dist_m1_km,dist_m2_km,dist_m3_km,dt_m1_days,dt_m2_days,dt_m3_days,within_60km_either_m1_m3,within_30km_m1,within_60km_m1,within_30km_m3,within_60km_m3,within_both_60km,axis_proj_fraction,axis_perp_km,axis_between_endpoints,along_axis_20km,along_axis_30km,off_axis_20km,off_axis_30km,m2_related_flag,phase_primary
1,2025-06-01T00:13:38.900000Z,2025-06-01 00:13:38.900000+00:00,39.245593,142.382422,29.7,1.7,98.28405630123751,191.69115618213374,93.85698391727627,-161.32639282407408,-190.5843898148148,-323.3189717592593,False,False,False,False,False,False,0.6319673114994211,91.50166279433536,True,False,False,False,False,False,baseline_to_M1_minus14d
2,2025-06-01T00:30:20.430000Z,2025-06-01 00:30:20.430000+00:00,41.623617,142.114681,55.14,1.7,273.62961680729154,74.32525627243609,216.69659642007468,-161.31480104166667,-190.5727980324074,-323.30737997685185,False,False,False,False,False,False,4.739652555111065,28.677917927367016,False,False,False,False,False,False,baseline_to_M1_minus14d
3,2025-06-01T02:20:26.570000Z,2025-06-01 02:20:26.570000+00:00,41.533988,143.589616,7.08,1.7,237.16920483916272,125.70146200819127,191.64303996616133,-161.23834108796297,-190.4963380787037,-323.23092002314814,False,False,False,False,False,False,3.4455749920871708,129.71836377908224,False,False,False,False,False,False,baseline_to_M1_minus14d
4,2025-06-01T02:39:30.110000Z,2025-06-01 02:39:30.110000+00:00,40.267017,142.49502,39.48,1.3,129.2969290396008,79.88023606178349,73.53849017369818,-161.22510567129632,-190.48310266203703,-323.2176846064815,False,False,False,False,False,False,2.2185782872615643,23.410200730149853,False,False,False,False,False,False,baseline_to_M1_minus14d
5,2025-06-01T04:34:04.360000Z,2025-06-01 04:34:04.360000+00:00,38.872412,142.445459,35.58,1.5,108.85635370170009,233.40520574376205,123.95931547427811,-161.1455425925926,-190.40353958333333,-323.13812152777774,False,False,False,False,False,False,-0.030012902669381832,108.75217291228017,False,False,False,False,False,False,baseline_to_M1_minus14d
6,2025-06-01T08:16:05.140000Z,2025-06-01 08:16:05.140000+00:00,41.125675,143.158659,19.1,1.8,193.92898882056346,75.08882720360943,142.73821641055713,-160.99136689814816,-190.24936388888887,-322.98394583333334,False,False,False,False,False,False,3.109412587218529,74.87676240165705,False,False,False,False,False,False,baseline_to_M1_minus14d
7,2025-06-01T08:20:35.450000Z,2025-06-01 08:20:35.450000+00:00,41.129313,143.16805,19.18,0.8,194.20911466861597,75.94733652378311,143.14572466956423,-160.98823831018518,-190.24623530092592,-322.98081724537036,False,False,False,False,False,False,3.1080678737118173,75.76754857243449,False,False,False,False,False,False,baseline_to_M1_minus14d
8,2025-06-01T11:01:50.900000Z,2025-06-01 11:01:50.900000+00:00,39.987366,141.954167,49.87,1.3,147.94462138584785,112.63776788266647,103.85031210505993,-160.8762539351852,-190.13425092592593,-322.8688328703704,False,False,False,False,False,False,2.1853077199194626,79.22277249423513,False,False,False,False,False,False,baseline_to_M1_minus14d
9,2025-06-01T12:09:00.700000Z,2025-06-01 12:09:00.700000+00:00,40.204692,142.274186,43.38,3.6,138.04581004330586,84.883992451316,85.30700427098989,-160.82961273148146,-190.08760972222223,-322.82219166666664,False,False,False,False,False,False,2.2897939558489484,43.13534730547752,False,False,False,False,False,False,baseline_to_M1_minus14d
10,2025-06-01T12:39:22.810000Z,2025-06-01 12:39:22.810000+00:00,39.069853,142.196989,38.75,1.2,118.71551883368451,211.20651980877633,119.01565240784679,-160.80852349537037,-190.0665204861111,-322.80110243055555,False,False,False,False,False,False,0.49061508805321713,115.41469638523208,True,False,False,False,False,False,baseline_to_M1_minus14d
11,2025-06-01T16:16:20.760000Z,2025-06-01 16:16:20.760000+00:00,38.964054,142.391846,28.21,1.4,107.74716889439783,223.00425073798561,117.69470399408752,-160.65785277777778,-189.9158497685185,-322.650431712963,False,False,False,False,False,False,0.1627958444201364,107.31877035719991,True,False,False,False,False,False,baseline_to_M1_minus14d
12,2025-06-01T18:47:58.200000Z,2025-06-01 18:47:58.200000+00:00,41.136519,143.208122,22.02,1.2,194.52915052861516,79.39770861904213,144.0088438714515,-160.5525583333333,-189.81055532407407,-322.5451372685185,False,False,False,False,False,False,3.0886556439609185,79.08400972061493,False,False,False,False,False,False,baseline_to_M1_minus14d
13,2025-06-01T19:05:17.480000Z,2025-06-01 19:05:17.480000+00:00,39.11283,142.384245,30.63,1.7,101.87505422878097,206.44809619144658,104.75064614890897,-160.54052962962962,-189.79852662037035,-322.53310856481477,False,False,False,False,False,False,0.41280340868314025,99.15309133751838,True,False,False,False,False,False,baseline_to_M1_minus14d
14,2025-06-01T19:17:34.300000Z,2025-06-01 19:17:34.300000+00:00,41.709786,143.723307,7.38,1.5,257.2636708884109,145.4699351083976,213.09083219049705,-160.53200162037035,-189.78999861111112,-322.5245805555556,False,False,False,False,False,False,3.6312183557583713,149.53934060066436,False,False,False,False,False,False,baseline_to_M1_minus14d
15,2025-06-01T19:26:16.400000Z,2025-06-01 19:26:16.400000+00:00,41.702507,143.727653,6.01,1.7,256.48282140221204,145.31807726242798,212.38512253987787,-160.5259587962963,-189.78395578703703,-322.5185377314815,False,False,False,False,False,False,3.6158497963227174,149.43049333468622,False,False,False,False,False,False,baseline_to_M1_minus14d
16,2025-06-01T19:30:56.480000Z,2025-06-01 19:30:56.480000+00:00,41.714693,143.738623,18.56,1.8,257.90278069223893,146.82898600818666,213.91373952186996,-160.52271712962963,-189.78071412037036,-322.5152960648148,False,False,False,False,False,False,3.627405597849904,150.92608641293188,False,False,False,False,False,False,baseline_to_M1_minus14d
17,2025-06-01T20:00:55.120000Z,2025-06-01 20:00:55.120000+00:00,41.712712,143.714339,18.63,1.7,257.53556194040425,145.0371681230772,213.24030327788435,-160.50189953703702,-189.75989652777778,-322.4944784722222,False,False,False,False,False,False,3.643005301896409,149.06332162561785,False,False,False,False,False,False,baseline_to_M1_minus14d
18,2025-06-01T21:03:08.200000Z,2025-06-01 21:03:08.200000+00:00,41.473584,142.998861,28.04,1.0,234.3282010125546,81.82492253528672,181.91351314332303,-160.45869259259257,-189.71668958333333,-322.45127152777775,False,False,False,False,False,False,3.8058173019163535,83.61491649485212,False,False,False,False,False,False,baseline_to_M1_minus14d
19,2025-06-01T21:19:22.280000Z,2025-06-01 21:19:22.280000+00:00,41.692607,143.753174,5.33,1.8,255.55141625349037,146.48467695181924,211.8128002605914,-160.44741851851853,-189.70541550925927,-322.4399974537037,False,False,False,False,False,False,3.579711510819996,150.6942953119616,False,False,False,False,False,False,baseline_to_M1_minus14d
20,2025-06-01T21:40:21.800000Z,2025-06-01 21:40:21.800000+00:00,41.702747,143.755566,21.93,1.6,256.69152668451227,147.2659977170225,212.9550115705904,-160.43284074074074,-189.69083773148148,-322.4254196759259,False,False,False,False,False,False,3.5945609803550744,151.4537824234286,False,False,False,False,False,False,baseline_to_M1_minus14d
21,2025-06-01T21:41:45.580000Z,2025-06-01 21:41:45.580000+00:00,41.705265,143.738965,3.2,1.6,256.8597772559415,146.26968987062395,212.90080545555804,-160.43187106481483,-189.68986805555556,-322.42445,False,False,False,False,False,False,3.6116061817841043,150.40457684523972,False,False,False,False,False,False,baseline_to_M1_minus14d
22,2025-06-01T22:16:07.640000Z,2025-06-01 22:16:07.640000+00:00,41.068058,142.835938,22.9,1.6,193.81535405480474,47.297433400199786,139.01117745712614,-160.40800462962963,-189.66600162037037,-322.40058356481484,False,False,False,False,False,False,3.266565220977056,48.17972589717108,False,False,False,False,False,False,baseline_to_M1_minus14d
23,2025-06-01T22:52:52.120000Z,2025-06-01 22:52:52.120000+00:00,41.069954,142.834961,23.64,1.5,194.04100144628467,47.26724967488222,139.23402024691066,-160.38248981481482,-189.64048680555555,-322.37506875,False,False,False,False,False,False,3.270441781111352,48.21980668652799,False,False,False,False,False,False,baseline_to_M1_minus14d
24,2025-06-02T01:13:07.830000Z,2025-06-02 01:13:07.830000+00:00,40.13822,141.139909,8.81,0.6,218.23280836451545,133.87011340676793,174.96531008386629,-160.2850857638889,-189.54308275462964,-322.2776646990741,False,False,False,False,False,False,3.0722061110755376,129.63742559258745,False,False,False,False,False,False,baseline_to_M1_minus14d
25,2025-06-02T01:22:05.800000Z,2025-06-02 01:22:05.800000+00:00,41.698344,143.758561,16.54,3.1,256.224494919593,147.20691893718356,212.53972028325387,-160.27885925925926,-189.53685625,-322.27143819444444,False,False,False,False,False,False,3.58497934432546,151.41438259970732,False,False,False,False,False,False,baseline_to_M1_minus14d
26,2025-06-02T01:37:25.430000Z,2025-06-02 01:37:25.430000+00:00,41.413753,142.850618,21.94,1.7,230.49474840003504,68.35944964650817,176.67284476913053,-160.26821539351852,-189.52621238425925,-322.2607943287037,False,False,False,False,False,False,3.8229057841480367,69.43075265631477,False,False,False,False,False,False,baseline_to_M1_minus14d
