subset,window_size,step,window_index,start_event_index_subset,end_event_index_subset,start_time,end_time,median_time,median_time_num,phase_mode,m2_related_fraction,mc_maxc,mc_ks,mc_bstab,mc_adopted,mc_method_count,mc_spread,b_value,b_std,n_total,n_above_mc,fit_mag_min,fit_mag_max,fit_mag_span,reliability,reliability_reason
M1_extended,500,100,0,0,499,2025-06-02 03:47:03.300000+00:00,2025-11-08 02:09:59.890000+00:00,2025-09-16 08:02:00.830000+00:00,20347.3347318287,baseline_to_M1_minus14d,0.0,1.5999999999999999,1.3,1.3,1.3,3,0.2999999999999998,0.6563273573278192,0.033720613912413405,500,378,1.3,5.3,4.0,usable_with_caution,moderate_mc_agreement_moderate_span
M1_extended,500,100,1,100,599,2025-07-10 21:12:27.460000+00:00,2025-11-08 21:04:18.600000+00:00,2025-11-03 22:14:52.200000+00:00,20395.926993055557,M1_related_M1minus14d_to_M1plus21d,0.0,1.5999999999999999,2.0,1.3,1.5999999999999999,3,0.7,0.6530814670342625,0.04517387894885071,500,277,1.6,5.5,3.9,exploratory,mc_method_disagreement
M1_extended,500,100,2,200,699,2025-08-20 06:08:26.830000+00:00,2025-11-09 00:57:29.920000+00:00,2025-11-07 08:18:25.330000+00:00,20399.346126504628,M1_related_M1minus14d_to_M1plus21d,0.0,1.5999999999999999,1.3,1.4,1.4,3,0.2999999999999998,0.5490716147271628,0.028469666231478598,500,407,1.4,5.9,4.5,usable_with_caution,moderate_mc_agreement_moderate_span
M1_extended,500,100,3,300,799,2025-10-28 05:42:19.690000+00:00,2025-11-09 05:35:01.150000+00:00,2025-11-08 12:44:08.450000+00:00,20400.530653356484,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,1.4,1.4,1.4,3,0.40000000000000013,0.5503772764209964,0.027897762690376936,500,426,1.4,5.9,4.5,exploratory,mc_method_disagreement
M1_extended,500,100,4,400,899,2025-11-05 12:47:55.060000+00:00,2025-11-09 09:14:56.310000+00:00,2025-11-08 22:54:27.840000+00:00,20400.95448888889,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,1.3,1.3,1.3,3,0.5,0.4099211676282437,0.018357096573219375,500,449,1.3,6.9,5.6000000000000005,exploratory,mc_method_disagreement
M1_extended,500,100,5,500,999,2025-11-08 02:28:18.120000+00:00,2025-11-09 11:25:45.690000+00:00,2025-11-09 02:56:19.030000+00:00,20401.12244247685,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,2.8,1.4,1.8,3,1.4,0.3678345443133022,0.016729614420648395,500,325,1.8,6.9,5.1000000000000005,exploratory,mc_method_disagreement
M1_extended,500,100,6,600,1099,2025-11-08 21:10:29.420000+00:00,2025-11-09 14:28:03.710000+00:00,2025-11-09 08:11:26.280000+00:00,20401.34127638889,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,2.8,2.0,2.0,3,0.9999999999999998,0.42534129431316753,0.02026518255397362,500,327,2.0,6.9,4.9,exploratory,mc_method_disagreement
M1_extended,500,100,7,700,1199,2025-11-09 00:58:14.150000+00:00,2025-11-09 17:35:11.560000+00:00,2025-11-09 10:17:31.210000+00:00,20401.428833449074,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,2.9,1.6,1.8,3,1.2999999999999998,0.407884455726472,0.01768532495155566,500,367,1.8,6.9,5.1000000000000005,exploratory,mc_method_disagreement
M1_extended,500,100,8,800,1299,2025-11-09 05:41:22.830000+00:00,2025-11-09 21:51:15.180000+00:00,2025-11-09 13:00:58.070000+00:00,20401.542338773146,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,2.0,2.0,2.0,3,0.19999999999999996,0.44453760098678957,0.02100443008197575,500,338,2.0,6.9,4.9,robust,good_mc_agreement_good_span_good_n
M1_extended,500,100,9,900,1399,2025-11-09 09:15:23.860000+00:00,2025-11-10 01:58:04.250000+00:00,2025-11-09 15:58:11.490000+00:00,20401.66541076389,M1_related_M1minus14d_to_M1plus21d,0.0,1.8,1.9,2.0,1.9,3,0.19999999999999996,0.5070777639530003,0.023024428013889625,500,363,1.9,5.9,4.0,robust,good_mc_agreement_good_span_good_n
