burst_id,start,end,duration_days,event_count,category,m1_core_fraction,m3_core_fraction,axis30_fraction,largest_mag
burst_01,2025-11-08 00:00:00+00:00,2025-11-23 00:00:00+00:00,15.0,2688,M1_centered,0.7686011904761905,0.16108630952380953,0.6164434523809523,6.9
burst_02,2025-11-24 00:00:00+00:00,2025-11-25 00:00:00+00:00,1.0,58,M1_centered,0.7586206896551724,0.15517241379310345,0.41379310344827586,2.7
burst_03,2025-12-07 00:00:00+00:00,2025-12-08 00:00:00+00:00,1.0,55,M1_centered,0.8909090909090909,0.09090909090909091,0.7090909090909091,4.8
burst_04,2025-12-31 00:00:00+00:00,2026-01-01 00:00:00+00:00,1.0,57,off_corridor_or_mixed_local,0.17543859649122806,0.10526315789473684,0.19298245614035087,6.1
burst_05,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,1.0,47,M1_centered,0.8085106382978723,0.0425531914893617,0.9361702127659575,6.1
burst_06,2026-03-26 00:00:00+00:00,2026-03-30 00:00:00+00:00,4.0,440,M1_centered,0.8477272727272728,0.11363636363636363,0.7909090909090909,6.7
burst_07,2026-04-20 00:00:00+00:00,2026-05-02 00:00:00+00:00,12.0,3189,mixed_overlap,0.15271244904358733,0.5804327375352775,0.5634995296331138,7.7
