subset,phase_name,event_count,total_moment_proxy,top1_fraction,top3_fraction,top10pct_fraction,largest_mag
combined_local,baseline_primary,563,5316451920643418.0,0.16764017646300494,0.4192994692122913,0.975703536567182,3.9
combined_local,baseline_sensitivity_M1minus7d,580,5407228063272876.0,0.16482584564674152,0.4122603009034494,0.9734901553052205,3.9
combined_local,M1_related_primary,3147,5.143170054131659e+19,0.5479855617452086,0.8398653203041013,0.9998592243780905,6.9
combined_local,M1_related_sens_M1minus7d_to_M1plus14d,2866,5.1417692176449e+19,0.5481348563044579,0.8400941353159863,0.9998477140697822,6.9
combined_local,M1_related_sens_M1minus14d_to_M1plus28d,3307,5.145234044287547e+19,0.5477657395184109,0.8395284116740063,0.999861620068144,6.9
combined_local,middle_primary,1358,4.1307961995849487e+18,0.43049313597644917,0.9375399799398989,0.9997775827967083,6.1
combined_local,preM3_primary,854,4.609533421070845e+20,0.9690429623725175,0.999773157533988,0.9999987418580973,7.7
combined_local,preM3_sens_M3minus42d_to_M3,934,4.6103303437007127e+20,0.9688754576150582,0.9996862828937904,0.9999987250437751,7.7
combined_local,preM3_sens_M3minus28d_to_M3,792,4.6095264880038484e+20,0.9690444198844329,0.999774661266378,0.9999988527879351,7.7
combined_local,full_M1_to_M3,4796,5.1480339203681426e+20,0.867678028273401,0.9498631991820002,0.9999876262020063,7.7
combined_local,postM3_context,3186,2.0128524689566275e+18,0.1571042939777679,0.42542991058574325,0.9977714427377585,5.6
combined_local_m2aware,baseline_primary,563,5316451920643418.0,0.16764017646300494,0.4192994692122913,0.975703536567182,3.9
combined_local_m2aware,baseline_sensitivity_M1minus7d,580,5407228063272876.0,0.16482584564674152,0.4122603009034494,0.9734901553052205,3.9
combined_local_m2aware,M1_related_primary,3147,5.143170054131659e+19,0.5479855617452086,0.8398653203041013,0.9998592243780905,6.9
combined_local_m2aware,M1_related_sens_M1minus7d_to_M1plus14d,2866,5.1417692176449e+19,0.5481348563044579,0.8400941353159863,0.9998477140697822,6.9
