event_code,origin_time,lat_deg,lon_deg,depth_km_mecha,mag_1,mag_1_type,mag_2,mag_2_type,region_name,n_hypo_stations,m_method,m_source,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_mech_stations,focal_mech_projection,source_file,time_round_s,event_id,time,lat,lon,depth_km_cat,mag,phase_primary,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,dist_match_km,depth_abs_diff_km,time_abs_s
J2025111811054928,2025-11-18 02:05:49.280000+00:00,39.23016666666667,142.47933333333333,27.38,4.3,D,4.0,V,E OFF IWATE PREF,38,,,,,,,,,,,,,,,,,,mecha_20251112_7.txt,2025-11-18 02:05:49+00:00,7119.0,2025-11-18 02:05:49.270000+00:00,39.229305,142.479378,27.4,4.3,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.09589017314480093,0.019999999999999574,0.01
J2025111812033664,2025-11-18 03:03:36.640000+00:00,38.538,141.73033333333333,52.82,3.6,V,,,KINKAZAN REGION,39,I,JMAM,96.0,17.0,286.0,73.0,187.0,3.0,182.0,28.0,84.0,8.0,62.0,93.0,96.0,115.0,LOW,mecha_20251112_7.txt,2025-11-18 03:03:37+00:00,7131.0,2025-11-18 03:03:36.650000+00:00,38.538619,141.732747,52.53,3.6,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.22092606955810248,0.28999999999999915,0.01
J2025111817212096,2025-11-18 08:21:20.960000+00:00,40.934333333333335,142.6225,44.62,4.8,D,4.6,W,E OFF AOMORI PREF,39,,,,,,,,,,,,,,,,,,mecha_20251112_7.txt,2025-11-18 08:21:21+00:00,7164.0,2025-11-18 08:21:20.970000+00:00,40.935177,142.622087,44.62,4.8,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.10002103034530635,0.0,0.01
J2025112312374483,2025-11-23 03:37:44.830000+00:00,39.44883333333333,142.58466666666666,29.81,4.2,D,4.0,V,E OFF IWATE PREF,39,,,,,,,,,,,,,,,,,,mecha_20251119_7.txt,2025-11-23 03:37:45+00:00,7672.0,2025-11-23 03:37:44.830000+00:00,39.448751,142.585189,29.78,4.2,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.04577445068071258,0.029999999999997584,0.0
J2025112419095167,2025-11-24 10:09:51.670000+00:00,38.88966666666666,141.96933333333334,48.8,3.7,V,3.6,d,KINKAZAN REGION,40,I,JMAM,110.0,25.0,302.0,65.0,202.0,5.0,190.0,21.0,77.0,24.0,70.0,95.0,100.0,139.0,LOW,mecha_20251119_7.txt,2025-11-24 10:09:52+00:00,7807.0,2025-11-24 10:09:51.690000+00:00,38.890141,141.97015,48.64,3.7,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.08819167820770688,0.1599999999999966,0.02
J2025112512175877,2025-11-25 03:17:58.770000+00:00,38.623333333333335,141.89733333333334,46.62,3.7,V,,,KINKAZAN REGION,40,I,JMAM,114.0,26.0,310.0,63.0,207.0,6.0,189.0,20.0,71.0,29.0,71.0,97.0,98.0,147.0,LOW,mecha_20251119_7.txt,2025-11-25 03:17:59+00:00,7866.0,2025-11-25 03:17:58.790000+00:00,38.623816,141.898584,46.49,3.7,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.12118168057378341,0.12999999999999545,0.02
J2025112520430470,2025-11-25 11:43:04.700000+00:00,39.4495,142.58833333333334,29.74,3.5,V,,,E OFF IWATE PREF,39,,,,,,,,,,,,,,,,,,mecha_20251119_7.txt,2025-11-25 11:43:05+00:00,7887.0,2025-11-25 11:43:04.690000+00:00,39.449866,142.587939,29.83,3.5,M1_related_M1minus14d_to_M1plus21d,False,False,False,False,0.05294031193382969,0.08999999999999986,0.01
J2025120109480157,2025-12-01 00:48:01.570000+00:00,42.111666666666665,142.55216666666666,45.89,4.5,D,4.6,V,S OFF URAKAWA,40,I,JMAM,6.0,7.0,102.0,39.0,268.0,50.0,136.0,58.0,155.0,240.0,69.0,35.0,96.0,128.0,LOW,mecha_20251126_7.txt,2025-12-01 00:48:02+00:00,8159.0,2025-12-01 00:48:01.550000+00:00,42.112264,142.551644,46.1,4.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.07918639387462886,0.21000000000000085,0.02
J2025120823151018,2025-12-08 14:15:10.180000+00:00,40.967666666666666,142.28816666666663,53.5,7.5,D,7.4,W,E OFF AOMORI PREF,40,I,JMAM,108.0,27.0,298.0,63.0,200.0,4.0,188.0,19.0,77.0,21.0,72.0,94.0,94.0,310.0,LOW,mecha_20251203_7.txt,2025-12-08 14:15:10+00:00,8483.0,2025-12-08 14:15:10.180000+00:00,40.966239,142.290218,53.46,7.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.23423462971739356,0.03999999999999915,0.0
J2025120823200429,2025-12-08 14:20:04.290000+00:00,41.02933333333333,142.501,40.83,4.0,V,,,E OFF AOMORI PREF,34,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:20:04+00:00,8484.0,2025-12-08 14:20:04.280000+00:00,41.028788,142.500798,40.77,4.0,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.06296121060097325,0.05999999999999517,0.01
