event_time,latitude,longitude,depth_km,magnitude,x_km_local,y_km_local,elapsed_hours_since_mainshock64,elapsed_hours_since_mainshock71,sequence_segment_label
2019-07-04T00:56:37.590000Z,36.08852379518505,-117.82790782193672,9.70163162,0.66,-26.92317139553541,33.05352590704517,-16.619847222222223,-50.387625,pre_mainshock64
2019-07-04T02:34:31.210000Z,36.11893979518505,-117.64291706091387,3.79348124,0.43,-10.237727021940266,36.435630795866274,-14.988286111111112,-48.75606388888889,pre_mainshock64
2019-07-04T03:20:28.460000Z,36.11053679518505,-117.62022744201748,2.27652371,0.88,-8.191211985942708,35.50125982727189,-14.222383333333333,-47.99016111111111,pre_mainshock64
2019-07-04T05:16:47.590000Z,36.08785979518505,-117.834654773096,8.4241937,0.75,-27.53172004757184,32.979692475752664,-12.28373611111111,-46.05151388888889,pre_mainshock64
2019-07-04T05:20:57.320000Z,36.11083779518505,-117.64445446418225,3.33621653,0.83,-10.376394794170844,35.53472950019197,-12.214366666666667,-45.982144444444444,pre_mainshock64
2019-07-04T06:33:14.470000Z,36.11038179518505,-117.65111943060384,3.69186686,0.25,-10.977548742966354,35.484024613641736,-11.009602777777777,-44.77738055555556,pre_mainshock64
2019-07-04T11:51:07.470000Z,36.113734795185046,-117.59783167752578,1.3111871000000002,0.79,-6.171201469936142,35.856861202681074,-5.711547222222222,-39.479325,pre_mainshock64
2019-07-04T11:52:16.020000Z,35.72945379518505,-117.55785464277572,3.52492895,0.15,-2.5654290202457335,-6.8732364032161115,-5.692505555555556,-39.46028333333333,pre_mainshock64
2019-07-04T15:35:29.240000Z,35.70763979518505,-117.48840306726134,9.97744208,0.57,3.698831927146748,-9.298842533040776,-1.9721666666666666,-35.73994444444445,pre_mainshock64
2019-07-04T15:42:47.800000Z,35.70700479518505,-117.49116202142392,10.48551398,0.72,3.449985033634608,-9.369451311459866,-1.8503444444444443,-35.618122222222226,pre_mainshock64
2019-07-04T16:07:19.840000Z,35.70699679518505,-117.49136502084646,10.50728849,0.71,3.4316752783033606,-9.370340870873711,-1.4414444444444443,-35.20922222222222,pre_mainshock64
2019-07-04T16:13:11.360000Z,35.71555379518505,-117.47028863865322,8.28628847,0.31,5.33268266233665,-8.418845883575552,-1.3438,-35.111577777777775,pre_mainshock64
2019-07-04T16:13:42.900000Z,35.70692379518505,-117.49098201557706,10.73229176,1.71,3.4662208582128167,-9.378458100518323,-1.3350388888888889,-35.10281666666667,pre_mainshock64
2019-07-04T16:16:07.100000Z,35.70910479518505,-117.4866771730177,9.70163162,0.49,3.854500849409001,-9.13594196550676,-1.2949833333333332,-35.062761111111115,pre_mainshock64
2019-07-04T17:02:54.920000Z,35.70759079518505,-117.49193506372424,10.55809568,4.54,3.3802596363825037,-9.304291084446684,-0.5150333333333333,-34.28281111111111,pre_mainshock64
2019-07-04T17:06:23.360000Z,35.70540179518505,-117.48904590571792,10.13712182,1.22,3.6408504082371547,-9.547696778871384,-0.45713333333333334,-34.22491111111111,pre_mainshock64
2019-07-04T17:07:54.760000Z,35.70856779518505,-117.48107013425152,9.94115123,0.65,4.360233854216927,-9.195653641114742,-0.43174444444444443,-34.19952222222222,pre_mainshock64
2019-07-04T17:08:25.980000Z,35.73258279518505,-117.47506686890668,8.387902850000001,0.67,4.901704949408311,-6.525307477745319,-0.4230722222222222,-34.19085,pre_mainshock64
2019-07-04T17:08:51.600000Z,35.70798179518505,-117.48779209194916,9.97744208,0.73,3.7539395148370898,-9.260813868128633,-0.4159555555555556,-34.183733333333336,pre_mainshock64
2019-07-04T17:09:19.640000Z,35.70783479518505,-117.49036408133767,10.57987019,2.64,3.521956113967305,-9.27715952234494,-0.4081666666666667,-34.17594444444444,pre_mainshock64
2019-07-04T17:11:34.760000Z,35.81980579518505,-117.51936018654143,4.664461640000001,0.83,0.9066206358426412,3.173447608972295,-0.3706333333333333,-34.13841111111111,pre_mainshock64
2019-07-04T17:12:14.520000Z,35.70695979518505,-117.49160901817564,10.39115777,2.32,3.4096676718656735,-9.374455083158852,-0.3595888888888889,-34.12736666666667,pre_mainshock64
