mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M1,50,7,stratified,,2256,512,1743,False
M1,50,7,stratified,1.2,2184,484,1699,False
M1,50,7,stratified,1.5,1864,376,1487,False
M1,50,7,stratified,2.0,998,177,820,False
M1,50,7,stratified,2.5,509,100,408,False
M1,50,30,all,,3261,543,2717,True
M1,50,30,all,1.2,3135,513,2621,True
M1,50,30,all,1.5,2558,396,2161,True
M1,50,30,all,2.0,1272,187,1084,True
M1,50,30,all,2.5,620,105,514,True
M1,50,30,mainshock_window,,3261,543,2717,True
M1,50,30,mainshock_window,1.2,3135,513,2621,True
M1,50,30,mainshock_window,1.5,2558,396,2161,True
M1,50,30,mainshock_window,2.0,1272,187,1084,True
M1,50,30,mainshock_window,2.5,620,105,514,True
M1,50,30,stratified,,3256,543,2712,True
M1,50,30,stratified,1.2,3130,513,2616,True
M1,50,30,stratified,1.5,2554,396,2157,True
M1,50,30,stratified,2.0,1270,187,1082,True
M1,50,30,stratified,2.5,620,105,514,True
M1,50,60,all,,3666,570,3095,True
M1,50,60,all,1.2,3505,536,2968,True
M1,50,60,all,1.5,2823,409,2413,True
M1,50,60,all,2.0,1371,193,1177,True
M1,50,60,all,2.5,666,111,554,True
M1,50,60,mainshock_window,,3666,570,3095,True
M1,50,60,mainshock_window,1.2,3505,536,2968,True
M1,50,60,mainshock_window,1.5,2823,409,2413,True
M1,50,60,mainshock_window,2.0,1371,193,1177,True
M1,50,60,mainshock_window,2.5,666,111,554,True
M1,50,60,stratified,,3661,570,3090,True
M1,50,60,stratified,1.2,3500,536,2963,True
M1,50,60,stratified,1.5,2819,409,2409,True
M1,50,60,stratified,2.0,1369,193,1175,True
M1,50,60,stratified,2.5,666,111,554,True
M1,50,90,all,,3923,612,3310,True
M1,50,90,all,1.2,3732,566,3165,True
M1,50,90,all,1.5,2985,426,2558,True
M1,50,90,all,2.0,1435,201,1233,True
M1,50,90,all,2.5,688,113,574,True
M1,50,90,mainshock_window,,3920,610,3309,True
M1,50,90,mainshock_window,1.2,3730,564,3165,True
M1,50,90,mainshock_window,1.5,2984,425,2558,True
M1,50,90,mainshock_window,2.0,1435,201,1233,True
M1,50,90,mainshock_window,2.5,688,113,574,True
M1,50,90,stratified,,3915,610,3304,True
M1,50,90,stratified,1.2,3725,564,3160,True
M1,50,90,stratified,1.5,2980,425,2554,True
M1,50,90,stratified,2.0,1433,201,1231,True
M1,50,90,stratified,2.5,688,113,574,True
M1,80,7,all,,2328,540,1787,False
M1,80,7,all,1.2,2254,512,1741,False
M1,80,7,all,1.5,1921,400,1520,False
M1,80,7,all,2.0,1030,192,837,False
M1,80,7,all,2.5,522,107,414,False
M1,80,7,mainshock_window,,2328,540,1787,False
M1,80,7,mainshock_window,1.2,2254,512,1741,False
M1,80,7,mainshock_window,1.5,1921,400,1520,False
M1,80,7,mainshock_window,2.0,1030,192,837,False
M1,80,7,mainshock_window,2.5,522,107,414,False
M1,80,7,stratified,,2320,539,1780,False
M1,80,7,stratified,1.2,2246,511,1734,False
M1,80,7,stratified,1.5,1915,399,1515,False
M1,80,7,stratified,2.0,1026,192,833,False
M1,80,7,stratified,2.5,522,107,414,False
M1,80,30,all,,3483,590,2892,True
M1,80,30,all,1.2,3329,558,2770,True
M1,80,30,all,1.5,2689,431,2257,True
