mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M2,100,60,all,,7519,273,7245,True
M2,100,60,all,1.2,6088,172,5915,True
M2,100,60,all,1.5,4182,102,4079,True
M2,100,60,all,2.0,1776,41,1734,True
M2,100,60,all,2.5,753,14,738,True
M2,100,60,mainshock_window,,6337,253,6083,True
M2,100,60,mainshock_window,1.2,4973,165,4807,True
M2,100,60,mainshock_window,1.5,3326,100,3225,True
M2,100,60,mainshock_window,2.0,1492,40,1451,True
M2,100,60,mainshock_window,2.5,687,13,673,True
M2,100,60,stratified,,745,26,718,True
M2,100,60,stratified,1.2,503,14,488,True
M2,100,60,stratified,1.5,340,10,329,True
M2,100,60,stratified,2.0,186,6,179,True
M2,100,60,stratified,2.5,86,3,82,True
M2,100,90,all,,8348,387,7960,True
M2,100,90,all,1.2,6706,246,6459,True
M2,100,90,all,1.5,4604,151,4452,True
M2,100,90,all,2.0,1936,64,1871,True
M2,100,90,all,2.5,815,26,788,True
M2,100,90,mainshock_window,,7008,353,6654,True
M2,100,90,mainshock_window,1.2,5447,229,5217,True
M2,100,90,mainshock_window,1.5,3642,144,3497,True
M2,100,90,mainshock_window,2.0,1615,62,1552,True
M2,100,90,mainshock_window,2.5,736,25,710,True
M2,100,90,stratified,,824,37,786,True
M2,100,90,stratified,1.2,548,21,526,True
M2,100,90,stratified,1.5,371,16,354,True
M2,100,90,stratified,2.0,210,12,197,True
M2,100,90,stratified,2.5,98,5,92,True
M3,30,7,all,,1626,40,1585,False
M3,30,7,all,1.2,1446,27,1418,False
M3,30,7,all,1.5,1094,16,1077,False
M3,30,7,all,2.0,559,7,551,False
M3,30,7,all,2.5,273,3,269,False
M3,30,7,mainshock_window,,1626,40,1585,False
M3,30,7,mainshock_window,1.2,1446,27,1418,False
M3,30,7,mainshock_window,1.5,1094,16,1077,False
M3,30,7,mainshock_window,2.0,559,7,551,False
M3,30,7,mainshock_window,2.5,273,3,269,False
M3,30,7,stratified,,1616,35,1580,False
M3,30,7,stratified,1.2,1437,23,1413,False
M3,30,7,stratified,1.5,1086,12,1073,False
M3,30,7,stratified,2.0,554,3,550,False
M3,30,7,stratified,2.5,269,0,268,False
M3,30,30,all,,2004,155,1848,False
M3,30,30,all,1.2,1746,122,1623,False
M3,30,30,all,1.5,1279,70,1208,False
M3,30,30,all,2.0,622,27,594,False
M3,30,30,all,2.5,299,10,288,False
M3,30,30,mainshock_window,,2004,155,1848,False
M3,30,30,mainshock_window,1.2,1746,122,1623,False
M3,30,30,mainshock_window,1.5,1279,70,1208,False
M3,30,30,mainshock_window,2.0,622,27,594,False
M3,30,30,mainshock_window,2.5,299,10,288,False
M3,30,30,stratified,,1992,149,1842,False
M3,30,30,stratified,1.2,1735,117,1617,False
M3,30,30,stratified,1.5,1269,65,1203,False
M3,30,30,stratified,2.0,615,22,592,False
M3,30,30,stratified,2.5,294,6,287,False
M3,30,60,all,,2033,184,1848,False
M3,30,60,all,1.2,1771,147,1623,False
M3,30,60,all,1.5,1294,85,1208,False
M3,30,60,all,2.0,630,35,594,False
M3,30,60,all,2.5,302,13,288,False
M3,30,60,mainshock_window,,2033,184,1848,False
M3,30,60,mainshock_window,1.2,1771,147,1623,False
M3,30,60,mainshock_window,1.5,1294,85,1208,False
M3,30,60,mainshock_window,2.0,630,35,594,False
M3,30,60,mainshock_window,2.5,302,13,288,False
M3,30,60,stratified,,2017,174,1842,False
M3,30,60,stratified,1.2,1756,138,1617,False
M3,30,60,stratified,1.5,1283,79,1203,False
M3,30,60,stratified,2.0,623,30,592,False
M3,30,60,stratified,2.5,297,9,287,False
M3,30,90,all,,2093,244,1848,False
M3,30,90,all,1.2,1818,194,1623,False
M3,30,90,all,1.5,1324,115,1208,False
M3,30,90,all,2.0,644,49,594,False
M3,30,90,all,2.5,308,19,288,False
M3,30,90,mainshock_window,,2093,244,1848,False
M3,30,90,mainshock_window,1.2,1818,194,1623,False
M3,30,90,mainshock_window,1.5,1324,115,1208,False
M3,30,90,mainshock_window,2.0,644,49,594,False
M3,30,90,mainshock_window,2.5,308,19,288,False
M3,30,90,stratified,,2073,230,1842,False
M3,30,90,stratified,1.2,1800,182,1617,False
M3,30,90,stratified,1.5,1311,107,1203,False
M3,30,90,stratified,2.0,636,43,592,False
M3,30,90,stratified,2.5,303,15,287,False
M3,44,7,all,,2157,60,2096,False
M3,44,7,all,1.2,1940,43,1896,False
M3,44,7,all,1.5,1490,24,1465,False
M3,44,7,all,2.0,786,8,777,False
M3,44,7,all,2.5,388,4,383,False
M3,44,7,mainshock_window,,2157,60,2096,False
M3,44,7,mainshock_window,1.2,1940,43,1896,False
M3,44,7,mainshock_window,1.5,1490,24,1465,False
M3,44,7,mainshock_window,2.0,786,8,777,False
M3,44,7,mainshock_window,2.5,388,4,383,False
M3,44,7,stratified,,2091,55,2035,False
M3,44,7,stratified,1.2,1889,39,1849,False
M3,44,7,stratified,1.5,1444,20,1423,False
M3,44,7,stratified,2.0,761,4,756,False
M3,44,7,stratified,2.5,375,1,373,False
M3,44,30,all,,2873,378,2494,False
M3,44,30,all,1.2,2533,315,2217,False
M3,44,30,all,1.5,1883,203,1679,False
M3,44,30,all,2.0,944,88,855,False
M3,44,30,all,2.5,473,47,425,False
M3,44,30,mainshock_window,,2873,378,2494,False
M3,44,30,mainshock_window,1.2,2533,315,2217,False
M3,44,30,mainshock_window,1.5,1883,203,1679,False
M3,44,30,mainshock_window,2.0,944,88,855,False
M3,44,30,mainshock_window,2.5,473,47,425,False
M3,44,30,stratified,,2787,369,2417,False
M3,44,30,stratified,1.2,2470,310,2159,False
M3,44,30,stratified,1.5,1830,198,1631,False
M3,44,30,stratified,2.0,917,83,833,False
M3,44,30,stratified,2.5,459,43,415,False
M3,44,60,all,,2964,469,2494,False
M3,44,60,all,1.2,2615,397,2217,False
M3,44,60,all,1.5,1941,261,1679,False
M3,44,60,all,2.0,974,118,855,False
M3,44,60,all,2.5,488,62,425,False
M3,44,60,mainshock_window,,2964,469,2494,False
M3,44,60,mainshock_window,1.2,2615,397,2217,False
M3,44,60,mainshock_window,1.5,1941,261,1679,False
M3,44,60,mainshock_window,2.0,974,118,855,False
M3,44,60,mainshock_window,2.5,488,62,425,False
M3,44,60,stratified,,2872,454,2417,False
M3,44,60,stratified,1.2,2548,388,2159,False
M3,44,60,stratified,1.5,1887,255,1631,False
M3,44,60,stratified,2.0,947,113,833,False
M3,44,60,stratified,2.5,474,58,415,False
M3,44,90,all,,3103,608,2494,False
M3,44,90,all,1.2,2737,519,2217,False
M3,44,90,all,1.5,2028,348,1679,False
M3,44,90,all,2.0,1008,152,855,False
M3,44,90,all,2.5,502,76,425,False
M3,44,90,mainshock_window,,3103,608,2494,False
M3,44,90,mainshock_window,1.2,2737,519,2217,False
M3,44,90,mainshock_window,1.5,2028,348,1679,False
M3,44,90,mainshock_window,2.0,1008,152,855,False
M3,44,90,mainshock_window,2.5,502,76,425,False
M3,44,90,stratified,,3005,587,2417,False
M3,44,90,stratified,1.2,2665,505,2159,False
M3,44,90,stratified,1.5,1970,338,1631,False
M3,44,90,stratified,2.0,979,145,833,False
M3,44,90,stratified,2.5,488,72,415,False
M3,50,7,all,,2335,72,2262,False
M3,50,7,all,1.2,2108,54,2053,False
M3,50,7,all,1.5,1638,31,1606,False
M3,50,7,all,2.0,860,9,850,False
M3,50,7,all,2.5,415,4,410,False
M3,50,7,mainshock_window,,2335,72,2262,False
M3,50,7,mainshock_window,1.2,2108,54,2053,False
M3,50,7,mainshock_window,1.5,1638,31,1606,False
M3,50,7,mainshock_window,2.0,860,9,850,False
M3,50,7,mainshock_window,2.5,415,4,410,False
M3,50,7,stratified,,2229,67,2161,False
M3,50,7,stratified,1.2,2024,50,1973,False
M3,50,7,stratified,1.5,1566,27,1538,False
M3,50,7,stratified,2.0,826,5,820,False
M3,50,7,stratified,2.5,398,1,396,False
M3,50,30,all,,3328,550,2777,False
M3,50,30,all,1.2,2954,467,2486,False
M3,50,30,all,1.5,2232,317,1914,False
M3,50,30,all,2.0,1118,145,972,False
M3,50,30,all,2.5,555,81,473,False
M3,50,30,mainshock_window,,3328,550,2777,False
M3,50,30,mainshock_window,1.2,2954,467,2486,False
M3,50,30,mainshock_window,1.5,2232,317,1914,False
M3,50,30,mainshock_window,2.0,1118,145,972,False
M3,50,30,mainshock_window,2.5,555,81,473,False
M3,50,30,stratified,,3195,541,2653,False
M3,50,30,stratified,1.2,2853,462,2390,False
M3,50,30,stratified,1.5,2150,312,1837,False
M3,50,30,stratified,2.0,1081,140,940,False
M3,50,30,stratified,2.5,536,77,458,False
M3,50,60,all,,3486,708,2777,False
M3,50,60,all,1.2,3101,614,2486,False
M3,50,60,all,1.5,2336,421,1914,False
M3,50,60,all,2.0,1171,198,972,False
M3,50,60,all,2.5,582,108,473,False
M3,50,60,mainshock_window,,3486,708,2777,False
M3,50,60,mainshock_window,1.2,3101,614,2486,False
M3,50,60,mainshock_window,1.5,2336,421,1914,False
M3,50,60,mainshock_window,2.0,1171,198,972,False
M3,50,60,mainshock_window,2.5,582,108,473,False
M3,50,60,stratified,,3344,690,2653,False
M3,50,60,stratified,1.2,2993,602,2390,False
M3,50,60,stratified,1.5,2251,413,1837,False
M3,50,60,stratified,2.0,1132,191,940,False
M3,50,60,stratified,2.5,562,103,458,False
M3,50,90,all,,3654,876,2777,False
M3,50,90,all,1.2,3251,764,2486,False
M3,50,90,all,1.5,2444,529,1914,False
M3,50,90,all,2.0,1213,240,972,False
M3,50,90,all,2.5,599,125,473,False
M3,50,90,mainshock_window,,3654,876,2777,False
M3,50,90,mainshock_window,1.2,3251,764,2486,False
M3,50,90,mainshock_window,1.5,2444,529,1914,False
M3,50,90,mainshock_window,2.0,1213,240,972,False
M3,50,90,mainshock_window,2.5,599,125,473,False
M3,50,90,stratified,,3504,850,2653,False
M3,50,90,stratified,1.2,3136,745,2390,False
M3,50,90,stratified,1.5,2353,515,1837,False
M3,50,90,stratified,2.0,1171,230,940,False
M3,50,90,stratified,2.5,579,120,458,False
M3,80,7,all,,3045,172,2872,False
M3,80,7,all,1.2,2635,101,2533,False
M3,80,7,all,1.5,1999,63,1935,False
M3,80,7,all,2.0,1028,22,1005,False
M3,80,7,all,2.5,502,13,488,False
M3,80,7,mainshock_window,,3020,170,2849,False
M3,80,7,mainshock_window,1.2,2626,101,2524,False
M3,80,7,mainshock_window,1.5,1992,63,1928,False
M3,80,7,mainshock_window,2.0,1027,22,1004,False
M3,80,7,mainshock_window,2.5,502,13,488,False
M3,80,7,stratified,,2740,151,2588,False
M3,80,7,stratified,1.2,2406,91,2314,False
M3,80,7,stratified,1.5,1825,55,1769,False
M3,80,7,stratified,2.0,943,15,927,False
M3,80,7,stratified,2.5,452,8,443,False
M3,80,30,all,,4642,992,3649,False
M3,80,30,all,1.2,3906,767,3138,False
M3,80,30,all,1.5,2868,503,2364,False
M3,80,30,all,2.0,1419,231,1187,False
M3,80,30,all,2.5,693,122,570,False
M3,80,30,mainshock_window,,4608,987,3620,False
M3,80,30,mainshock_window,1.2,3894,767,3126,False
M3,80,30,mainshock_window,1.5,2858,503,2354,False
M3,80,30,mainshock_window,2.0,1416,231,1184,False
M3,80,30,mainshock_window,2.5,691,122,568,False
M3,80,30,stratified,,4185,893,3291,False
M3,80,30,stratified,1.2,3581,705,2875,False
M3,80,30,stratified,1.5,2636,462,2173,False
M3,80,30,stratified,2.0,1310,211,1098,False
M3,80,30,stratified,2.5,633,111,521,False
M3,80,60,all,,5003,1353,3649,False
M3,80,60,all,1.2,4216,1077,3138,False
M3,80,60,all,1.5,3070,705,2364,False
M3,80,60,all,2.0,1520,332,1187,False
M3,80,60,all,2.5,740,169,570,False
M3,80,60,mainshock_window,,4966,1345,3620,False
M3,80,60,mainshock_window,1.2,4202,1075,3126,False
M3,80,60,mainshock_window,1.5,3060,705,2354,False
M3,80,60,mainshock_window,2.0,1517,332,1184,False
M3,80,60,mainshock_window,2.5,738,169,568,False
M3,80,60,stratified,,4485,1193,3291,False
M3,80,60,stratified,1.2,3856,980,2875,False
M3,80,60,stratified,1.5,2822,648,2173,False
M3,80,60,stratified,2.0,1402,303,1098,False
M3,80,60,stratified,2.5,676,154,521,False
M3,80,90,all,,5311,1661,3649,False
M3,80,90,all,1.2,4477,1338,3138,False
M3,80,90,all,1.5,3255,890,2364,False
M3,80,90,all,2.0,1596,408,1187,False
M3,80,90,all,2.5,775,204,570,False
M3,80,90,mainshock_window,,5271,1650,3620,False
M3,80,90,mainshock_window,1.2,4462,1335,3126,False
M3,80,90,mainshock_window,1.5,3244,889,2354,False
M3,80,90,mainshock_window,2.0,1593,408,1184,False
M3,80,90,mainshock_window,2.5,773,204,568,False
M3,80,90,stratified,,4722,1430,3291,False
M3,80,90,stratified,1.2,4070,1194,2875,False
M3,80,90,stratified,1.5,2978,804,2173,False
M3,80,90,stratified,2.0,1466,367,1098,False
M3,80,90,stratified,2.5,704,182,521,False
M3,100,7,all,,3158,201,2956,False
M3,100,7,all,1.2,2698,117,2580,False
M3,100,7,all,1.5,2038,70,1967,False
M3,100,7,all,2.0,1042,24,1017,False
M3,100,7,all,2.5,509,14,494,False
M3,100,7,mainshock_window,,3068,188,2879,False
M3,100,7,mainshock_window,1.2,2657,110,2546,False
M3,100,7,mainshock_window,1.5,2012,66,1945,False
M3,100,7,mainshock_window,2.0,1034,22,1011,False
M3,100,7,mainshock_window,2.5,504,13,490,False
M3,100,7,stratified,,2770,160,2609,False
M3,100,7,stratified,1.2,2432,98,2333,False
M3,100,7,stratified,1.5,1842,58,1783,False
M3,100,7,stratified,2.0,949,15,933,False
M3,100,7,stratified,2.5,453,8,444,False
M3,100,30,all,,4901,1135,3765,False
M3,100,30,all,1.2,4044,845,3198,False
M3,100,30,all,1.5,2956,552,2403,False
M3,100,30,all,2.0,1454,249,1204,False
M3,100,30,all,2.5,713,133,579,False
M3,100,30,mainshock_window,,4741,1075,3665,False
M3,100,30,mainshock_window,1.2,3976,818,3157,False
M3,100,30,mainshock_window,1.5,2909,533,2375,False
M3,100,30,mainshock_window,2.0,1432,238,1193,False
M3,100,30,mainshock_window,2.5,697,125,571,False
M3,100,30,stratified,,4270,950,3319,False
M3,100,30,stratified,1.2,3648,747,2900,False
M3,100,30,stratified,1.5,2677,486,2190,False
M3,100,30,stratified,2.0,1322,216,1105,False
M3,100,30,stratified,2.5,636,113,522,False
M3,100,60,all,,5387,1621,3765,False
M3,100,60,all,1.2,4426,1227,3198,False
M3,100,60,all,1.5,3204,800,2403,False
M3,100,60,all,2.0,1573,368,1204,False
M3,100,60,all,2.5,771,191,579,False
M3,100,60,mainshock_window,,5173,1507,3665,False
M3,100,60,mainshock_window,1.2,4334,1176,3157,False
M3,100,60,mainshock_window,1.5,3143,767,2375,False
M3,100,60,mainshock_window,2.0,1541,347,1193,False
M3,100,60,mainshock_window,2.5,751,179,571,False
M3,100,60,stratified,,4608,1288,3319,False
M3,100,60,stratified,1.2,3955,1054,2900,False
M3,100,60,stratified,1.5,2884,693,2190,False
M3,100,60,stratified,2.0,1417,311,1105,False
M3,100,60,stratified,2.5,682,159,522,False
M3,100,90,all,,5850,2084,3765,False
M3,100,90,all,1.2,4758,1559,3198,False
M3,100,90,all,1.5,3428,1024,2403,False
M3,100,90,all,2.0,1671,466,1204,False
M3,100,90,all,2.5,813,233,579,False
M3,100,90,mainshock_window,,5553,1887,3665,False
M3,100,90,mainshock_window,1.2,4631,1473,3157,False
M3,100,90,mainshock_window,1.5,3345,969,2375,False
M3,100,90,mainshock_window,2.0,1626,432,1193,False
M3,100,90,mainshock_window,2.5,788,216,571,False
M3,100,90,stratified,,4873,1553,3319,False
M3,100,90,stratified,1.2,4193,1292,2900,False
M3,100,90,stratified,1.5,3054,863,2190,False
M3,100,90,stratified,2.0,1489,383,1105,False
M3,100,90,stratified,2.5,712,189,522,False
