line_id,n_total_segments,n_activated_segments,activation_fraction,eligible_for_propagation,spearman_rho,spearman_pvalue,slope_minutes_per_km,intercept_minutes,r2_linear,activation_span_km,activation_time_span_minutes,median_activation_minutes,iqr_activation_minutes,n_early_jump_pairs,bend_fraction_activated,late_residual_fraction,classification
48,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
49,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
50,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
52,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
53,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
54,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
55,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
56,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
57,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
58,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
59,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
60,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
61,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
62,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
63,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
64,2,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
65,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
66,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
67,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
68,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
69,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
70,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
71,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
72,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
74,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
75,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
76,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
77,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
78,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
79,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
80,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
81,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
82,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
83,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
84,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
85,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
86,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
87,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
88,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
89,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
90,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
91,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
92,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
93,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
94,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
95,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
96,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
97,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
98,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
99,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
100,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
101,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
102,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
103,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
104,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
105,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
106,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
107,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
108,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
109,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
110,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
111,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
112,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
113,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
114,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
115,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
116,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
117,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
118,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
119,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
120,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
121,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
122,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
123,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
124,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
125,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
126,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
127,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
128,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
129,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
130,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
131,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
132,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
133,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
134,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
135,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
136,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
137,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
138,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
139,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
140,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
141,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
142,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
143,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
144,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
145,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
146,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
147,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
148,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
149,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
150,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
151,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
152,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
153,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
154,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
155,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
156,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
157,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
158,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
159,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
160,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
161,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
162,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
163,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
164,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
165,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
166,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
167,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
168,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
169,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
170,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
171,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
172,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
173,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
174,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
175,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
176,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
177,2,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
178,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
179,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
180,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
181,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
182,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
183,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
184,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
185,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
186,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
187,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
188,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
190,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
191,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
192,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
193,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
195,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
196,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
197,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
198,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
199,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
200,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
