line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg,first_associated_event_time,first_associated_event_elapsed_minutes,total_associated_events,activated,activation_bin,activation_minutes,activation_hours,peak_count,peak_rate_events_per_hour,peak_bin,peak_bin_start_minutes,max_cumulative_count,first_associated_event_elapsed_hours,activation_delay_from_first_event_minutes,activation_delay_from_first_event_hours,activation_threshold_count_per_bin,activation_threshold_rate_per_hour,ever_associated,segment_dx_km,segment_dy_km,segment_mid_distance_from_origin_km,bend_flag,local_turn_angle_deg,distance_to_mw64_km,distance_to_mw71_km
0,0,0,1,0.9645198299590098,0.9572170990547524,-17.025110378225772,-6.818094387366263,-16.990584476159345,-7.774688625697905,-17.00784742719256,-7.296391506532084,-117.73145447500002,35.678623029999905,-117.73105289800002,35.670002033,-117.73125367534534,35.67431253322467,0.0,0.9645198299590098,0.4822599149795049,272.0670521397137,177.93294786028628,2019-07-04 18:32:19.360000+00:00,58.50533333333333,3,False,,,,1.0,2.0,1.0,30.0,3.0,0.9750888888888888,,,5,10.0,True,0.03452590206642725,-0.9565942383316424,18.50686907943248,False,,21.73711373565948,16.87172078711466
1,0,1,1,0.4312136730214319,0.4261916408678962,-5.527241391151216,4.125606586506087,-5.609389997579839,4.543806205357545,-5.568315694365527,4.334706395931816,-117.604520956277,35.77738732916201,-117.605432442,35.78115595800009,-117.60497668836584,35.779271644743446,0.0,0.4312136730214319,0.2156068365107159,101.11333770608098,168.88666229391902,2019-07-05 14:24:02.160000+00:00,1250.2186666666666,5,False,,,,1.0,2.0,41.0,1230.0,5.0,20.83697777777778,,,5,10.0,True,-0.08214860642862298,0.4181996188514585,7.056615280079369,False,,13.049173815526078,1.1463462114547875
2,0,2,1,0.5599341956561594,0.55319222898617,-14.12187124072723,-7.038398372886427,-14.096097864302545,-7.590989881397332,-14.108984552514888,-7.314694127141879,-117.699380618278,35.67668334072971,-117.699086247,35.6717033080001,-117.69923342796724,35.674193324974766,0.0,0.5599341956561594,0.2799670978280797,272.67039263043887,177.32960736956116,2019-07-05 01:17:18.480000+00:00,463.4906666666666,1,False,,,,1.0,2.0,15.0,450.0,1.0,7.724844444444443,,,5,10.0,True,0.025773376424686134,-0.5525915085109059,15.89239425878768,False,,18.880241149346965,14.859282372555851
3,0,3,1,0.3164641018706888,0.3144074041389005,-2.6835002841030016,-13.403829679434152,-2.524629980346992,-13.132513918075114,-2.6040651322249966,-13.268171798754633,-117.573010848572,35.619410060525915,-117.571258065407,35.62185582348751,-117.5721344703404,35.62063294532261,0.0,0.3164641018706888,0.1582320509353444,59.64867974564527,30.35132025435476,2019-07-05 07:02:06.980000+00:00,808.2990000000001,3,False,,,,1.0,2.0,26.0,780.0,3.0,13.471650000000002,,,5,10.0,True,0.15887030375600952,0.27131576135903757,13.521299423285386,False,,11.66815051073725,17.365631415944225
4,0,4,1,0.0587543042233022,0.0587543042233022,-2.68754184994432,-13.438258182776355,-2.704694612477647,-13.494452942338432,-2.6961182312109835,-13.466355562557393,-117.573055345228,35.61909974855462,-117.573244490641,35.61859322339859,-117.57314991823276,35.61884648601908,0.0,0.0587543042233022,0.0293771521116511,253.02583168903547,16.97416831096453,,,0,False,,,,,,,,,,,,5,10.0,False,-0.017152762533326982,-0.05619475956207687,13.733600607775395,False,,11.881624790450587,17.553120072524603
5,0,5,1,0.5996145961487789,0.5978120861413911,-4.202898750040805,-13.60698548547894,-3.648966924292296,-13.382177072025067,-3.925932837166551,-13.494581278752005,-117.589781119203,35.61757373484011,-117.583667900253,35.619602116144804,-117.58672454835164,35.618587964417,0.0,0.5996145961487789,0.2998072980743894,22.089346013784564,67.91065398621544,2019-07-04 19:04:20.560000+00:00,90.52533333333334,18,False,,,,4.0,8.0,3.0,90.0,18.0,1.5087555555555556,,,5,10.0,True,0.5539318257485086,0.22480841345387326,14.054062492062098,False,,12.683223412577867,17.499734020082045
6,0,6,1,0.0469641759755831,0.0469641759755831,-14.337816341061908,17.50567970950798,-14.313687393701644,17.545971491850676,-14.325751867381776,17.525825600679326,-117.70220523688198,35.8978871213936,-117.701938692217,35.8982506021836,-117.70207196485322,35.89806886186486,0.0,0.0469641759755831,0.0234820879877915,59.08449321947364,30.91550678052633,,,0,False,,,,,,,,,,,,5,10.0,False,0.024128947360264164,0.04029178234269537,22.635850537393537,False,,28.577262561002073,16.736706506667474
7,0,7,1,0.0475918409153452,0.0475918409153452,-11.360077146366423,12.276625500996271,-11.381829029867149,12.318955618948888,-11.370953088116783,12.29779055997258,-117.66914743011,35.8507991820367,-117.669388828831,35.851180432530995,-117.6692681291814,35.850989807347595,0.0,0.0475918409153452,0.0237959204576726,117.19695674407104,152.80304325592897,,,0,False,,,,,,,,,,,,5,10.0,False,-0.0217518835007251,0.04233011795261632,16.749156002291677,False,,22.728623097642288,10.793145937037352
8,0,8,1,0.049225294116341,0.049225294116341,-6.604879652322267,-15.154976484443388,-6.609144397701743,-15.105936281265908,-6.607012025012005,-15.130456382854648,-117.616281233292,35.6036086664069,-117.616328700409,35.6040506337298,-117.6163049667848,35.60382965007477,0.0,0.049225294116341,0.0246126470581705,94.97018123386296,175.02981876613703,,,0,False,,,,,,,,,,,,5,10.0,False,-0.004264745379476409,0.049040203177479924,16.51009746343492,False,,15.712057122393949,19.245739046994427
9,0,9,1,0.0587626632095934,0.0587626632095934,6.792580064537684,-10.798701234069048,6.782762963131355,-10.856638054032366,6.787671513834519,-10.827669644050708,-117.468390623129,35.6428700641022,-117.468499504948,35.6423479545945,-117.46844506421624,35.6426090093664,0.0,0.0587626632095934,0.0293813316047967,260.3828664245248,9.617133575475265,,,0,False,,,,,,,,,,,,5,10.0,False,-0.009817101406328632,-0.05793681996331834,12.779315885461859,False,,7.213452499119936,18.61614663097567
10,0,10,1,0.722179769179229,0.7187705020282649,-3.56789461640889,-13.3510339089209,-2.875664992580951,-13.157515996362411,-3.2217798044949206,-13.254274952641657,-117.582773148562,35.61988310302291,-117.575132867288,35.6216295216851,-117.5789530494912,35.62075637308918,0.0,0.722179769179229,0.3610898845896145,15.618728160405285,74.3812718395947,2019-07-04 18:33:11.360000+00:00,59.372,26,False,,,,2.0,4.0,33.0,990.0,26.0,0.9895333333333334,,,5,10.0,True,0.6922296238279388,0.19351791255848916,13.640222491912489,False,,12.042337616268489,17.2961895827873
11,0,11,1,0.0759999891522562,0.0759999891522562,-3.136615214814328,-13.556638966140271,-3.1047095667952638,-13.487660505910815,-3.120662390804796,-13.522149736025543,-117.578011799505,35.618031468177804,-117.57765989209,35.61865326573571,-117.5778358464788,35.6183423670934,0.0,0.0759999891522562,0.0379999945761281,65.1773305270782,24.82266947292183,2019-07-05 09:59:18.800000+00:00,985.496,1,False,,,,1.0,2.0,32.0,960.0,1.0,16.424933333333332,,,5,10.0,True,0.03190564801906426,0.06897846022945586,13.877574256363364,False,,12.186218999644787,17.570866171021365
