domain_label,domain_flag_column,split_latitude_deg,period_days,event_index_within_window,event_time_days
Entire area,in_entire_corridor,,0.5,23,0.0241201388888888
Entire area,in_entire_corridor,,0.5,24,0.0255004629629629
Entire area,in_entire_corridor,,0.5,25,0.0278011574074074
Entire area,in_entire_corridor,,0.5,26,0.0287453703703703
Entire area,in_entire_corridor,,0.5,27,0.0296805555555555
Entire area,in_entire_corridor,,0.5,28,0.0362798611111111
Entire area,in_entire_corridor,,0.5,29,0.0372402777777777
Entire area,in_entire_corridor,,0.5,30,0.0376173611111111
Entire area,in_entire_corridor,,0.5,31,0.0468180555555555
Entire area,in_entire_corridor,,0.5,32,0.0490256944444444
Entire area,in_entire_corridor,,0.5,33,0.050892824074074
Entire area,in_entire_corridor,,0.5,34,0.0515018518518518
Entire area,in_entire_corridor,,0.5,35,0.0530854166666666
Entire area,in_entire_corridor,,0.5,36,0.0553050925925925
Entire area,in_entire_corridor,,0.5,37,0.0563625
Entire area,in_entire_corridor,,0.5,38,0.0566930555555555
Entire area,in_entire_corridor,,0.5,39,0.0571444444444444
Entire area,in_entire_corridor,,0.5,40,0.0579504629629629
Entire area,in_entire_corridor,,0.5,41,0.0582509259259259
Entire area,in_entire_corridor,,0.5,42,0.0583701388888888
Entire area,in_entire_corridor,,0.5,43,0.05855
Entire area,in_entire_corridor,,0.5,44,0.0599592592592592
Entire area,in_entire_corridor,,0.5,45,0.0606659722222222
Entire area,in_entire_corridor,,0.5,46,0.0670203703703703
Entire area,in_entire_corridor,,0.5,47,0.0748
Entire area,in_entire_corridor,,0.5,48,0.0939319444444444
Entire area,in_entire_corridor,,0.5,49,0.0954606481481481
Entire area,in_entire_corridor,,0.5,50,0.0987421296296296
Entire area,in_entire_corridor,,0.5,51,0.0990342592592592
Entire area,in_entire_corridor,,0.5,52,0.1057726851851851
Entire area,in_entire_corridor,,0.5,53,0.1118175925925926
Entire area,in_entire_corridor,,0.5,54,0.1137453703703703
Entire area,in_entire_corridor,,0.5,55,0.1330726851851851
Entire area,in_entire_corridor,,0.5,56,0.1399983796296296
Entire area,in_entire_corridor,,0.5,57,0.1452131944444444
Entire area,in_entire_corridor,,0.5,58,0.1616384259259259
Entire area,in_entire_corridor,,0.5,59,0.1713453703703703
Entire area,in_entire_corridor,,0.5,60,0.1866418981481481
Entire area,in_entire_corridor,,0.5,61,0.1885763888888889
Entire area,in_entire_corridor,,0.5,62,0.1932782407407407
Entire area,in_entire_corridor,,0.5,63,0.2142648148148148
Entire area,in_entire_corridor,,0.5,64,0.2353122685185185
Entire area,in_entire_corridor,,0.5,65,0.2355988425925926
Entire area,in_entire_corridor,,0.5,66,0.2560712962962963
Entire area,in_entire_corridor,,0.5,67,0.2644351851851852
Entire area,in_entire_corridor,,0.5,68,0.2806966435185185
Entire area,in_entire_corridor,,0.5,69,0.2904790509259259
Entire area,in_entire_corridor,,0.5,70,0.2998854166666666
Entire area,in_entire_corridor,,0.5,71,0.3160216435185185
Entire area,in_entire_corridor,,0.5,72,0.3225016203703704
Entire area,in_entire_corridor,,0.5,73,0.3526841435185185
Entire area,in_entire_corridor,,0.5,74,0.3552075231481481
Entire area,in_entire_corridor,,0.5,75,0.3651923611111111
Entire area,in_entire_corridor,,0.5,76,0.4069945601851852
Entire area,in_entire_corridor,,0.5,77,0.4257541666666667
Entire area,in_entire_corridor,,0.5,78,0.4429326388888888
Entire area,in_entire_corridor,,0.5,79,0.4450924768518518
Entire area,in_entire_corridor,,0.5,80,0.4838907407407408
Entire area,in_entire_corridor,,0.5,81,0.4893076388888889
Entire area,in_entire_corridor,,0.68,1,0.0014212962962962
Entire area,in_entire_corridor,,0.68,2,0.0022027777777777
Entire area,in_entire_corridor,,0.68,3,0.0023800925925925
Entire area,in_entire_corridor,,0.68,4,0.0025037037037037
Entire area,in_entire_corridor,,0.68,5,0.002849537037037
Entire area,in_entire_corridor,,0.68,6,0.0040034722222222
Entire area,in_entire_corridor,,0.68,7,0.0043162037037037
Entire area,in_entire_corridor,,0.68,8,0.0045018518518518
Entire area,in_entire_corridor,,0.68,9,0.0052310185185185
Entire area,in_entire_corridor,,0.68,10,0.006305324074074
Entire area,in_entire_corridor,,0.68,11,0.006943287037037
Entire area,in_entire_corridor,,0.68,12,0.0074483796296296
Entire area,in_entire_corridor,,0.68,13,0.0078310185185185
Entire area,in_entire_corridor,,0.68,14,0.0080388888888888
Entire area,in_entire_corridor,,0.68,15,0.0080986111111111
Entire area,in_entire_corridor,,0.68,16,0.0093576388888888
Entire area,in_entire_corridor,,0.68,17,0.0096259259259259
Entire area,in_entire_corridor,,0.68,18,0.009786574074074
Entire area,in_entire_corridor,,0.68,19,0.0100268518518518
Entire area,in_entire_corridor,,0.68,20,0.0124680555555555
Entire area,in_entire_corridor,,0.68,21,0.0168208333333333
Entire area,in_entire_corridor,,0.68,22,0.0225337962962963
Entire area,in_entire_corridor,,0.68,23,0.0241201388888888
Entire area,in_entire_corridor,,0.68,24,0.0255004629629629
Entire area,in_entire_corridor,,0.68,25,0.0278011574074074
Entire area,in_entire_corridor,,0.68,26,0.0287453703703703
Entire area,in_entire_corridor,,0.68,27,0.0296805555555555
Entire area,in_entire_corridor,,0.68,28,0.0362798611111111
Entire area,in_entire_corridor,,0.68,29,0.0372402777777777
Entire area,in_entire_corridor,,0.68,30,0.0376173611111111
Entire area,in_entire_corridor,,0.68,31,0.0468180555555555
Entire area,in_entire_corridor,,0.68,32,0.0490256944444444
Entire area,in_entire_corridor,,0.68,33,0.050892824074074
Entire area,in_entire_corridor,,0.68,34,0.0515018518518518
Entire area,in_entire_corridor,,0.68,35,0.0530854166666666
Entire area,in_entire_corridor,,0.68,36,0.0553050925925925
Entire area,in_entire_corridor,,0.68,37,0.0563625
Entire area,in_entire_corridor,,0.68,38,0.0566930555555555
Entire area,in_entire_corridor,,0.68,39,0.0571444444444444
Entire area,in_entire_corridor,,0.68,40,0.0579504629629629
Entire area,in_entire_corridor,,0.68,41,0.0582509259259259
Entire area,in_entire_corridor,,0.68,42,0.0583701388888888
Entire area,in_entire_corridor,,0.68,43,0.05855
Entire area,in_entire_corridor,,0.68,44,0.0599592592592592
Entire area,in_entire_corridor,,0.68,45,0.0606659722222222
Entire area,in_entire_corridor,,0.68,46,0.0670203703703703
Entire area,in_entire_corridor,,0.68,47,0.0748
Entire area,in_entire_corridor,,0.68,48,0.0939319444444444
Entire area,in_entire_corridor,,0.68,49,0.0954606481481481
Entire area,in_entire_corridor,,0.68,50,0.0987421296296296
Entire area,in_entire_corridor,,0.68,51,0.0990342592592592
Entire area,in_entire_corridor,,0.68,52,0.1057726851851851
Entire area,in_entire_corridor,,0.68,53,0.1118175925925926
Entire area,in_entire_corridor,,0.68,54,0.1137453703703703
Entire area,in_entire_corridor,,0.68,55,0.1330726851851851
Entire area,in_entire_corridor,,0.68,56,0.1399983796296296
Entire area,in_entire_corridor,,0.68,57,0.1452131944444444
Entire area,in_entire_corridor,,0.68,58,0.1616384259259259
Entire area,in_entire_corridor,,0.68,59,0.1713453703703703
Entire area,in_entire_corridor,,0.68,60,0.1866418981481481
Entire area,in_entire_corridor,,0.68,61,0.1885763888888889
Entire area,in_entire_corridor,,0.68,62,0.1932782407407407
Entire area,in_entire_corridor,,0.68,63,0.2142648148148148
Entire area,in_entire_corridor,,0.68,64,0.2353122685185185
Entire area,in_entire_corridor,,0.68,65,0.2355988425925926
Entire area,in_entire_corridor,,0.68,66,0.2560712962962963
Entire area,in_entire_corridor,,0.68,67,0.2644351851851852
Entire area,in_entire_corridor,,0.68,68,0.2806966435185185
Entire area,in_entire_corridor,,0.68,69,0.2904790509259259
Entire area,in_entire_corridor,,0.68,70,0.2998854166666666
Entire area,in_entire_corridor,,0.68,71,0.3160216435185185
Entire area,in_entire_corridor,,0.68,72,0.3225016203703704
Entire area,in_entire_corridor,,0.68,73,0.3526841435185185
Entire area,in_entire_corridor,,0.68,74,0.3552075231481481
Entire area,in_entire_corridor,,0.68,75,0.3651923611111111
Entire area,in_entire_corridor,,0.68,76,0.4069945601851852
