window_name,time_bin_index,time_bin_label,time_bin_start_min,time_bin_end_min,event_count,centroid_x_km,centroid_y_km,centroid_lon,centroid_lat,pca_axis1_std_km,pca_axis2_std_km,pca_axis1_azimuth_deg,summary_quality,centroid_step_from_prev_km,centroid_dist_to_mw64_km,centroid_dist_to_mw71_km
64_to_4h,0,0-30 min,0.0,30.0,68,452.0519479805039,3949.8374143676733,-117.52993643562522,35.691270386432336,5.5136909642544065,4.596655575839597,32.9585525989293,pca_ok,,3.5604369698847127,11.006592019946812
64_to_4h,1,30-60 min,30.0,60.0,70,452.0213803081052,3949.423296517632,-117.53024777718204,35.68753710947077,5.196217057410913,3.9342552289868036,39.623483460985334,pca_ok,0.41524447777025886,3.771244547449181,11.349152541571211
64_to_4h,2,60-90 min,60.0,90.0,65,452.44906743261475,3948.4701758938804,-117.52546638663627,35.67896896441582,4.725804481795605,3.057448251327089,21.94893094287393,pca_ok,1.0446794723224317,3.9979611682865173,12.389538396864825
64_to_4h,3,90-120 min,90.0,120.0,65,451.51646636796846,3949.088050942195,-117.5358095866986,35.684485687492746,6.211172359417102,5.153203193269371,21.83777743289697,pca_ok,1.1187110087547625,4.375683141377728,11.40731525568322
64_to_4h,4,120-150 min,120.0,150.0,75,451.6495056667996,3947.40434210814,-117.53422896154771,35.66931926185172,6.125335022892603,2.8072066786810908,26.213577630558838,pca_ok,1.6889567469026217,5.318081786754098,12.988311087253498
64_to_4h,5,150-180 min,150.0,180.0,72,451.2784674154934,3947.7880612281265,-117.53835722246819,35.67275723962949,5.873997534241083,4.076636463766903,26.97830641977953,pca_ok,0.5337693762061163,5.323055152260189,12.488986396445686
64_to_4h,6,180-210 min,180.0,210.0,67,452.363381576575,3948.2352945550383,-117.52638986443328,35.67684433249848,5.808629945647897,2.8392461638993804,36.041617509356584,pca_ok,1.1734804581312857,4.2244243018444685,12.554393884006917
64_to_4h,7,210-240 min,210.0,240.0,68,450.8690167053241,3947.1091920616736,-117.54283729088166,35.66661694224387,6.47596168578733,3.8612141792491403,22.44386434392517,pca_ok,1.8711582493180294,6.080940397703209,12.970748647591137
64_to_71,0,0.0-2.0 h,0.0,120.0,268,452.0104059002968,3949.215894319331,-117.53035806079114,35.68566618027764,5.401074202650956,4.277767267635371,28.333135675984884,pca_ok,,3.8855197188653894,11.52461702347474
64_to_71,1,2.0-4.0 h,120.0,240.0,282,451.5361782997095,3947.6285668862315,-117.53549627244954,35.67133329163895,6.057140503978991,3.46710705482917,28.101722707473208,pca_ok,1.656653312261917,5.239293392612338,12.737437648042484
64_to_71,2,4.0-6.0 h,240.0,360.0,270,451.72317165116385,3948.5341442609524,-117.5334860095383,35.67950505814801,6.3216133769493545,4.144274816696285,26.169381433298014,pca_ok,0.924682050812355,4.508228322283454,11.995357034414846
64_to_71,3,6.0-8.0 h,360.0,480.0,284,450.6056236872191,3948.455996968336,-117.54582832759492,35.67874328110055,7.154756377252234,4.544097758018868,22.661640715552707,pca_ok,1.1202769528381333,5.480860974610294,11.617362412099736
64_to_71,4,8.0-10.0 h,480.0,600.0,291,451.03186474118263,3947.6718023069607,-117.54106810303136,35.67169481236718,7.027338977945455,4.199121387597687,26.88763253371961,pca_ok,0.8925484317466681,5.586383450580315,12.503029393967905
64_to_71,5,10.0-12.0 h,600.0,720.0,287,451.09372688824254,3947.791939994429,-117.54039400531785,35.67278133525474,6.920320308304645,4.296967752862839,24.416200154511017,pca_ok,0.13512952745084952,5.462126879573062,12.414633681938602
64_to_71,6,12.0-14.0 h,720.0,840.0,280,451.749854173035,3948.5264321141844,-117.53319762105119,35.679438152327904,6.487228935691004,4.266154776420365,8.560550343291226,pca_ok,0.9848764835409558,4.491658126654536,12.014095933109832
64_to_71,7,14.0-16.0 h,840.0,960.0,283,451.16043838810765,3947.884042368127,-117.53966516367903,35.673616282817555,6.79321861494563,4.218102391280087,19.530535113747902,pca_ok,0.8718231204556187,5.352226872047492,12.354831845496713
64_to_71,8,16.0-18.0 h,960.0,1080.0,276,450.78255182170346,3949.3789685503807,-117.54393285454562,35.6870754980836,6.900267550454167,4.335741137896671,17.712550360007,pca_ok,1.5419476474432428,4.908158480312304,10.831750664322522
64_to_71,9,18.0-20.0 h,1080.0,1200.0,306,449.7533033115144,3952.107364660769,-117.55548869558916,35.71162679518505,7.045105137203901,3.608657326990945,179.83194088487306,pca_ok,2.9160757587736272,5.630057591562424,7.921530433170497
64_to_71,10,20.0-22.0 h,1200.0,1320.0,283,449.79594453671626,3950.5370113711774,-117.55491304047733,35.69746927575042,7.277973436308574,3.9227434230135034,7.491236265194047,pca_ok,1.5709321208178102,5.568780506871954,9.384388247025443
64_to_71,11,22.0-24.0 h,1320.0,1440.0,314,450.1423687978874,3949.3458285560596,-117.55100534730246,35.68674615505766,7.233871991459818,3.9954718884359415,14.339000268088768,pca_ok,1.240534670116075,5.516586023998255,10.620927254976033
64_to_71,12,24.0-26.0 h,1440.0,1560.0,287,450.2927863290226,3949.38257049981,-117.54935093000091,35.687084854418494,7.379743085009723,4.221203057277798,6.664416310676074,pca_ok,0.15483993058430687,5.362773988055667,10.640404626303713
64_to_71,13,26.0-28.0 h,1560.0,1680.0,283,450.4183355155724,3948.589485105689,-117.54791039215765,35.67994013794124,7.797015953671517,4.2530121281941815,10.487060534470245,pca_ok,0.8029614191297545,5.577718768975761,11.426016294550925
64_to_71,14,28.0-30.0 h,1680.0,1800.0,279,449.9498622293792,3948.5486562608944,-117.55308720707161,35.67954746185171,7.759439390644359,4.517416165738142,8.123266510356856,pca_ok,0.47024909829141864,6.011715698769485,11.309244187384365
64_to_71,15,30.0-32.0 h,1800.0,1920.0,229,450.5082595131728,3951.129723890849,-117.54708402939914,35.70284863797981,6.793821222979193,4.115298231668383,177.3799344814492,pca_ok,2.6407797403320696,4.811697678089868,9.130309085870534
64_to_71,16,32.0-34.0 h,1920.0,2040.0,213,450.948095000375,3949.0255913804735,-117.54208115948192,35.68389815199256,7.111283559330948,4.233500756303075,16.594235035624294,pca_ok,2.1496113316183547,4.9057013846442095,11.221880147189006
64_to_71,17,34.0-33.8 h,2040.0,2026.0666666666666,1,445.82647497906396,3958.548747001368,-117.599333,35.7695,,,,single_event,10.813023842684846,11.971034260142995,0.9484293008893419
