event_time,latitude,longitude,depth_km,magnitude,event_id,time_rel_sec_from_64,time_rel_min_from_64,time_rel_hr_from_64,x_km,y_km,time_since_64_min,time_bin_index,time_bin_label,time_bin_start_min,time_bin_end_min
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,39,0.0,0.0,0.0,454.42221494025875,3951.3833351523067,0.0,0,0-30 min,0.0,30.0
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,40,72.24,1.204,0.020066666666666667,449.92782544728584,3944.2749847075656,1.204,0,0-30 min,0.0,30.0
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,41,122.8,2.0466666666666664,0.03411111111111111,454.53171781828604,3949.726482695578,2.0466666666666664,0,0-30 min,0.0,30.0
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,42,169.96,2.832666666666667,0.04721111111111111,453.73507089249256,3960.589541659843,2.832666666666667,0,0-30 min,0.0,30.0
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,43,190.32,3.1719999999999997,0.052866666666666666,447.11381757241736,3956.7281351872734,3.1719999999999997,0,0-30 min,0.0,30.0
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,44,205.64,3.427333333333333,0.05712222222222222,453.2770456555014,3946.9140223114086,3.427333333333333,0,0-30 min,0.0,30.0
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,45,216.32,3.6053333333333333,0.060088888888888886,459.4306884690515,3947.965215183855,3.6053333333333333,0,0-30 min,0.0,30.0
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,46,246.2,4.1033333333333335,0.06838888888888889,450.9779492864832,3955.6403654243404,4.1033333333333335,0,0-30 min,0.0,30.0
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,47,272.16,4.5360000000000005,0.0756,457.5674034302061,3952.3388816986812,4.5360000000000005,0,0-30 min,0.0,30.0
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,48,297.36,4.956,0.0826,450.5763649865614,3947.6534399259,4.956,0,0-30 min,0.0,30.0
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,49,345.9,5.765,0.09608333333333333,456.37466128832057,3949.2433130355394,5.765,0,0-30 min,0.0,30.0
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,50,372.92,6.215333333333334,0.1035888888888889,449.25938669846045,3953.501718670497,6.215333333333334,0,0-30 min,0.0,30.0
2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,51,388.96,6.482666666666666,0.10804444444444444,455.3329539605376,3951.5325218081157,6.482666666666666,0,0-30 min,0.0,30.0
2019-07-04 17:41:21+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46,52,451.96,7.532666666666667,0.12554444444444443,451.8376900690131,3955.1360950918897,7.532666666666667,0,0-30 min,0.0,30.0
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,53,474.32,7.905333333333333,0.13175555555555554,447.31324428738134,3941.058723316614,7.905333333333333,0,0-30 min,0.0,30.0
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,54,512.44,8.540666666666668,0.14234444444444447,442.67975872319107,3936.979072611709,8.540666666666668,0,0-30 min,0.0,30.0
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,55,544.78,9.079666666666666,0.15132777777777778,450.09373174117985,3954.1018054867322,9.079666666666666,0,0-30 min,0.0,30.0
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,56,580.16,9.669333333333332,0.16115555555555555,452.11566731912694,3945.8371331065673,9.669333333333332,0,0-30 min,0.0,30.0
2019-07-04 17:43:48.940000+00:00,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,57,599.9,9.998333333333333,0.1666388888888889,451.619178852284,3955.6819863073943,9.998333333333333,0,0-30 min,0.0,30.0
2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053552,3.53944529,4.02,58,643.54,10.725666666666665,0.1787611111111111,454.819870492856,3949.197843049648,10.725666666666665,0,0-30 min,0.0,30.0
