event_time,latitude,longitude,depth_km,magnitude,event_id,time_rel_sec_from_64,time_rel_min_from_64,time_rel_hr_from_64,x_km,y_km
2019-07-04 00:56:37.590000+00:00,36.08852379518505,-117.82790782193672,9.70163162,0.66,0,-59831.45,-997.1908333333333,-16.619847222222223,425.46531693448884,3994.084318236312
2019-07-04 02:34:31.210000+00:00,36.11893979518505,-117.64291706091387,3.79348124,0.43,1,-53957.83,-899.2971666666667,-14.988286111111112,442.1421747349962,3997.3320978080815
2019-07-04 03:20:28.460000+00:00,36.11053679518505,-117.62022744201748,2.27652371,0.88,2,-51200.58,-853.3430000000001,-14.222383333333333,444.17815221091564,3996.3867792987744
2019-07-04 05:16:47.590000+00:00,36.08785979518505,-117.834654773096,8.4241937,0.75,3,-44221.45,-737.0241666666666,-12.28373611111111,424.8572588264271,3994.0158589001285
2019-07-04 05:20:57.320000+00:00,36.11083779518505,-117.64445446418225,3.33621653,0.83,4,-43971.72,-732.862,-12.214366666666667,441.9978599074962,3996.4343490869815
2019-07-04 06:33:14.470000+00:00,36.11038179518505,-117.65111943060384,3.69186686,0.25,5,-39634.57,-660.5761666666666,-11.009602777777777,441.3976534412943,3996.387767284543
2019-07-04 11:51:07.470000+00:00,36.113734795185046,-117.59783167752578,1.3111871000000002,0.79,6,-20561.57,-342.69283333333334,-5.711547222222222,446.19602516870725,3996.7288690965197
2019-07-04 11:52:16.020000+00:00,35.72945379518505,-117.55785464277572,3.52492895,0.15,7,-20493.02,-341.55033333333336,-5.692505555555556,449.5504637362694,3954.0850240425507
2019-07-04 15:35:29.240000+00:00,35.70763979518505,-117.48840306726134,9.97744208,0.57,8,-7099.8,-118.33,-1.9721666666666666,455.8193227989429,3951.6321289263774
2019-07-04 15:42:47.800000+00:00,35.70700479518505,-117.49116202142392,10.48551398,0.72,9,-6661.24,-111.02066666666666,-1.8503444444444443,455.569394960096,3951.562945968003
2019-07-04 16:07:19.840000+00:00,35.70699679518505,-117.49136502084646,10.50728849,0.71,10,-5189.2,-86.48666666666666,-1.4414444444444443,455.55102700974976,3951.5621505814324
2019-07-04 16:13:11.360000+00:00,35.71555379518505,-117.47028863865322,8.28628847,0.31,11,-4837.68,-80.628,-1.3438,457.46216173945953,3952.501873006384
2019-07-04 16:13:42.900000+00:00,35.70692379518505,-117.49098201557706,10.73229176,1.71,12,-4806.14,-80.10233333333333,-1.3350388888888889,455.5856335176246,3951.553880760419
2019-07-04 16:16:07.100000+00:00,35.70910479518505,-117.4866771730177,9.70163162,0.49,13,-4661.94,-77.699,-1.2949833333333332,455.97625303026695,3951.7938374291666
2019-07-04 17:02:54.920000+00:00,35.70759079518505,-117.49193506372424,10.55809568,4.54,14,-1854.12,-30.901999999999997,-0.5150333333333333,455.49979055968475,3951.6282896892253
2019-07-04 17:06:23.360000+00:00,35.70540179518505,-117.48904590571792,10.13712182,1.22,15,-1645.68,-27.428,-0.45713333333333334,455.7599349790604,3951.3842007646613
2019-07-04 17:07:54.760000+00:00,35.70856779518505,-117.48107013425152,9.94115123,0.65,16,-1554.28,-25.904666666666667,-0.43174444444444443,456.4831654011838,3951.731778323181
2019-07-04 17:08:25.980000+00:00,35.73258279518505,-117.47506686890668,8.387902850000001,0.67,17,-1523.06,-25.384333333333334,-0.4230722222222222,457.0391091733512,3954.392653401782
2019-07-04 17:08:51.600000+00:00,35.70798179518505,-117.48779209194916,9.97744208,0.73,18,-1497.44,-24.957333333333334,-0.4159555555555556,455.87478020923004,3951.6697855120287
2019-07-04 17:09:19.640000+00:00,35.70783479518505,-117.49036408133767,10.57987019,2.64,19,-1469.4,-24.490000000000002,-0.4081666666666667,455.64203717211603,3951.654640834214
2019-07-04 17:11:34.760000+00:00,35.81980579518505,-117.51936018654143,4.664461640000001,0.83,20,-1334.28,-22.238,-0.3706333333333333,453.0848428109564,3964.0870252188124
2019-07-04 17:12:14.520000+00:00,35.70695979518505,-117.49160901817564,10.39115777,2.32,21,-1294.52,-21.575333333333333,-0.3595888888888889,455.528934240154,3951.558157400003
2019-07-04 17:12:37.680000+00:00,35.70706179518505,-117.4912430255384,10.37664143,1.74,22,-1271.36,-21.18933333333333,-0.3531555555555555,455.56209889126706,3951.569304532882
2019-07-04 17:13:25.720000+00:00,35.70709879518505,-117.48942802820922,10.260510710000002,0.76,23,-1223.32,-20.388666666666666,-0.3398111111111111,455.72630550677445,3951.572588126743
2019-07-04 17:13:51.440000+00:00,35.70722879518505,-117.48923303759318,10.40567411,0.88,24,-1197.6,-19.959999999999997,-0.33266666666666667,455.7440163664189,3951.5869185671395
2019-07-04 17:14:44.120000+00:00,35.708241795185046,-117.48702711071796,9.49840286,0.55,25,-1144.92,-19.082,-0.31803333333333333,455.94412330621026,3951.6982786508875
2019-07-04 17:15:05.120000+00:00,35.70383879518505,-117.50062579290795,10.36938326,0.37,26,-1123.92,-18.732000000000003,-0.31220000000000003,454.7115028795085,3951.2161278479357
2019-07-04 17:15:46.640000+00:00,35.70787179518505,-117.4921540840086,10.420190450000002,1.5,27,-1082.4,-18.040000000000003,-0.3006666666666667,455.48013418382993,3951.6595548556356
2019-07-04 17:16:18.160000+00:00,35.70816879518505,-117.49184510544823,9.90486038,0.81,28,-1050.88,-17.514666666666667,-0.2919111111111111,455.50824940358035,3951.692355197989
2019-07-04 17:16:50.520000+00:00,35.72837579518505,-117.4360685648774,3.32170019,0.38,29,-1018.52,-16.97533333333333,-0.28292222222222224,460.563723519367,3953.9096757279535
2019-07-04 17:17:41.240000+00:00,35.72340279518505,-117.45568120557266,6.54432767,0.42,30,-967.8,-16.13,-0.2688333333333333,458.78746247372686,3953.3661772339037
2019-07-04 17:18:07.180000+00:00,35.70730579518505,-117.4899250431514,9.9484094,0.54,31,-941.86,-15.697666666666667,-0.2616277777777778,455.6814597270751,3951.5957708724677
2019-07-04 17:18:44.940000+00:00,35.72778579518505,-117.44262752224463,5.02011197,0.19,32,-904.1,-15.068333333333333,-0.2511388888888889,459.9702589958309,3953.846894542902
2019-07-04 17:20:54.600000+00:00,35.72284179518505,-117.45916416504534,6.370131590000001,0.48,33,-774.44,-12.907333333333334,-0.21512222222222224,458.4721647447359,3953.3054247587165
2019-07-04 17:27:34.680000+00:00,35.70680579518505,-117.49016900705942,10.15163816,0.83,34,-374.36,-6.239333333333334,-0.1039888888888889,455.65911371850103,3951.5404257896375
2019-07-04 17:30:34.660000+00:00,35.72290679518505,-117.45368716974096,6.704007410000001,0.62,35,-194.38,-3.2396666666666665,-0.05399444444444444,458.96755313934034,3953.3103299311524
2019-07-04 17:31:37.560000+00:00,35.70711079518505,-117.48642502907542,9.77421332,0.56,36,-131.48,-2.191333333333333,-0.03652222222222222,455.99796572403557,3951.572568833309
2019-07-04 17:31:51.880000+00:00,35.71631079518505,-117.47542369332042,8.46774272,0.73,37,-117.16,-1.9526666666666666,-0.032544444444444445,456.9980968188849,3952.5880700699117
