chunk_index,chunk_start_inclusive,chunk_end_exclusive,submitted_list_year,submitted_list_month,submitted_list_day,submitted_list_span_days,submitted_end_inclusive,status,parse_status,attempts,http_status,response_bytes,parsed_rows,actual_returned_datetime_min,actual_returned_datetime_max,retained_sanriku_rows,retained_sanriku_datetime_min,retained_sanriku_datetime_max,raw_file_path,debug_file_path,message
26,2025-11-23,2025-11-30,2025,11,23,7,2025-11-29,success,parsed,1,200,745029,6338,2025-11-23 00:02:56.740000,2025-11-29 23:59:50.580000,597,2025-11-23 00:03:02.290000,2025-11-29 23:50:30.100000,,,ok
27,2025-11-30,2025-12-07,2025,11,30,7,2025-12-06,success,parsed,1,200,713023,6184,2025-11-30 00:00:02.450000,2025-12-06 23:58:59.960000,432,2025-11-30 00:33:04.170000,2025-12-06 23:57:46.790000,,,ok
28,2025-12-07,2025-12-14,2025,12,07,7,2025-12-13,success,parsed,1,200,1078886,9384,2025-12-07 00:03:35.250000,2025-12-13 23:58:27.580000,3299,2025-12-07 00:05:40.450000,2025-12-13 23:58:27.580000,,,ok
29,2025-12-14,2025-12-21,2025,12,14,7,2025-12-20,success,parsed,1,200,685534,5693,2025-12-14 00:04:28.800000,2025-12-20 23:56:03.970000,2130,2025-12-14 00:04:28.800000,2025-12-20 23:35:59.270000,,,ok
30,2025-12-21,2025-12-28,2025,12,21,7,2025-12-27,success,parsed,1,200,525372,4387,2025-12-21 00:02:24.780000,2025-12-27 23:59:39.480000,1065,2025-12-21 00:02:24.780000,2025-12-27 23:46:22.020000,,,ok
31,2025-12-28,2026-01-04,2025,12,28,7,2026-01-03,success,parsed,1,200,702391,6002,2025-12-28 00:05:54.690000,2026-01-03 23:58:49.630000,1040,2025-12-28 00:20:24.460000,2026-01-03 23:58:49.630000,,,ok
32,2026-01-04,2026-01-11,2026,01,04,7,2026-01-10,success,parsed,1,200,922689,7706,2026-01-04 00:00:41.150000,2026-01-10 23:58:00.880000,749,2026-01-04 00:18:41.320000,2026-01-10 23:46:43.190000,,,ok
33,2026-01-11,2026-01-18,2026,01,11,7,2026-01-17,success,parsed,1,200,695264,5840,2026-01-11 00:03:15.560000,2026-01-17 23:59:34.980000,547,2026-01-11 00:05:54.250000,2026-01-17 23:33:25.970000,,,ok
34,2026-01-18,2026-01-25,2026,01,18,7,2026-01-24,success,parsed,1,200,648620,5531,2026-01-18 00:00:10.030000,2026-01-24 23:59:42.900000,722,2026-01-18 00:00:10.030000,2026-01-24 23:53:02.110000,,,ok
35,2026-01-25,2026-02-01,2026,01,25,7,2026-01-31,success,parsed,1,200,618842,5303,2026-01-25 00:00:10.930000,2026-01-31 23:59:35.470000,634,2026-01-25 00:07:40.980000,2026-01-31 23:58:14.990000,,,ok
36,2026-02-01,2026-02-08,2026,02,01,7,2026-02-07,success,parsed,1,200,494761,4179,2026-02-01 00:01:06.350000,2026-02-07 23:58:37.870000,532,2026-02-01 00:01:51.370000,2026-02-07 23:56:13.070000,,,ok
37,2026-02-08,2026-02-15,2026,02,08,7,2026-02-14,success,parsed,1,200,573725,4879,2026-02-08 00:01:44,2026-02-14 23:59:44.300000,527,2026-02-08 00:01:44,2026-02-14 23:40:45.590000,,,ok
38,2026-02-15,2026-02-22,2026,02,15,7,2026-02-21,success,parsed,1,200,622294,5309,2026-02-15 00:01:46.040000,2026-02-21 23:59:58.820000,497,2026-02-15 00:02:36.840000,2026-02-21 23:34:36.960000,,,ok
39,2026-02-22,2026-03-01,2026,02,22,7,2026-02-28,success,parsed,1,200,665278,5548,2026-02-22 00:00:06.830000,2026-02-28 23:58:56.550000,503,2026-02-22 00:01:35.240000,2026-02-28 23:39:10.520000,,,ok
40,2026-03-01,2026-03-08,2026,03,01,7,2026-03-07,success,parsed,1,200,667301,5406,2026-03-01 00:00:46.980000,2026-03-07 23:59:42.590000,424,2026-03-01 00:35:19.740000,2026-03-07 23:23:20.050000,,,ok
41,2026-03-08,2026-03-15,2026,03,08,7,2026-03-14,success,parsed,1,200,499786,4181,2026-03-08 00:01:06.560000,2026-03-14 23:59:59.780000,576,2026-03-08 00:29:13,2026-03-14 23:50:22.220000,,,ok
42,2026-03-15,2026-03-22,2026,03,15,7,2026-03-21,success,parsed,1,200,717212,6047,2026-03-15 00:01:27.310000,2026-03-21 23:51:45.170000,483,2026-03-15 00:02:23.780000,2026-03-21 23:24:30.370000,,,ok
43,2026-03-22,2026-03-29,2026,03,22,7,2026-03-28,success,parsed,1,200,673020,5587,2026-03-22 00:00:23.240000,2026-03-28 23:59:53.720000,793,2026-03-22 00:07:30.800000,2026-03-28 23:57:15.220000,,,ok
44,2026-03-29,2026-04-05,2026,03,29,7,2026-04-04,success,parsed,1,200,580791,4920,2026-03-29 00:01:06.250000,2026-04-04 23:58:32.380000,659,2026-03-29 00:06:49.930000,2026-04-04 23:50:55.100000,,,ok
45,2026-04-05,2026-04-12,2026,04,05,7,2026-04-11,success,parsed,1,200,530619,4537,2026-04-05 00:01:42.760000,2026-04-11 23:56:55.390000,512,2026-04-05 00:01:42.760000,2026-04-11 22:32:16.500000,,,ok
46,2026-04-12,2026-04-19,2026,04,12,7,2026-04-18,success,parsed,1,200,610837,5216,2026-04-12 00:00:35.320000,2026-04-18 23:58:32.170000,585,2026-04-12 00:14:48.290000,2026-04-18 23:52:45.700000,,,ok
47,2026-04-19,2026-04-26,2026,04,19,7,2026-04-25,success,parsed,1,200,993993,8438,2026-04-19 00:00:02.600000,2026-04-25 23:59:42.480000,3020,2026-04-19 00:07:09.240000,2026-04-25 23:55:35.700000,,,ok
48,2026-04-26,2026-05-02,2026,04,26,6,2026-05-01,success,parsed,1,200,636560,5328,2026-04-26 00:00:03.220000,2026-05-01 23:58:44.740000,1543,2026-04-26 00:00:03.220000,2026-05-01 23:58:44.740000,,,ok
