event_time,latitude,longitude,depth_km,magnitude,x_km,y_km,energy_joule,hours_since_main64,hours_to_main71,is_all_region,Region_A_along_km,Region_A_across_km,in_Region_A,Region_B_along_km,Region_B_across_km,in_Region_B,dist_to_main64_km,dist_to_main71_km,in_Mw64_neighborhood,in_Mw71_neighborhood,in_corridor_overlap,unassigned_to_corridors,display_assignment_class
2019-07-04 00:56:37.590000+00:00,36.08852379518505,-117.82790782193672,9.70163162,0.66,-25.58997804158809,44.8266890049334,616595.0018614822,-16.619847222222223,50.387625,True,35.18014168420545,50.67065780725257,False,-21.288720706928792,8.063406567123854,False,52.226033863229944,40.62779881119084,False,False,False,True,Unassigned
2019-07-04 02:34:31.210000+00:00,36.11893979518505,-117.64291706091387,3.79348124,0.43,-8.925657322906018,48.16906316025852,278612.1168629772,-14.988286111111112,48.75606388888889,True,48.26477826748345,39.823384624888966,False,-12.62194130883519,22.68387115871814,False,47.942371821051296,38.293660703367415,False,False,False,True,Unassigned
2019-07-04 03:20:28.460000+00:00,36.11053679518505,-117.62022744201748,2.27652371,0.88,-6.883666143364825,47.23482456384098,1318256.7385564074,-14.222383333333333,47.99016111111111,True,48.823790601609836,37.64852027448575,False,-10.561305466382235,23.57623300077462,False,46.504262578070644,37.17609807763019,False,False,False,True,Unassigned
2019-07-04 05:16:47.590000+00:00,36.08785979518505,-117.834654773096,8.4241937,0.75,-26.197849436007015,44.754795739641935,841395.1416451947,-12.28373611111111,46.05151388888889,True,34.74172712760203,51.097821652053746,False,-21.642040335768286,7.563565078625951,False,52.52040348642161,40.88667630391817,False,False,False,True,Unassigned
2019-07-04 05:20:57.320000+00:00,36.11083779518505,-117.64445446418225,3.33621653,0.83,-9.064995985195486,47.27019752730268,1109174.8152624008,-12.214366666666667,45.982144444444444,True,47.47853673877503,39.36600191046706,False,-12.047191678020543,21.978862257500474,False,47.12016832987192,37.41811062254182,False,False,False,True,Unassigned
2019-07-04 06:33:14.470000+00:00,36.11038179518505,-117.65111943060384,3.69186686,0.25,-9.6651527528932,47.220236964450294,149623.5656094433,-11.009602777777777,44.77738055555556,True,47.06202211761598,39.800972914115164,False,-12.411648331894597,21.4994297272099,False,47.24892354808328,37.44757906045497,False,False,False,True,Unassigned
2019-07-04 11:51:07.470000+00:00,36.113734795185046,-117.59783167752578,1.3111871000000002,0.79,-4.866988467818844,47.5883338013498,966050.8789898121,-5.711547222222222,39.479325,True,50.367646232844436,36.30372757003096,False,-9.474588472780397,25.311457425414435,False,46.397772075821656,37.45154039299871,False,False,False,True,Unassigned
2019-07-04 11:52:16.020000+00:00,35.72945379518505,-117.55785464277572,3.52492895,0.15,-1.2737966029183974,4.9482032322028005,105925.37251772876,-5.692505555555556,39.46028333333333,True,19.49111097179366,6.677196672793277,False,24.617447054698168,-0.5501913295476228,True,6.4274902507552225,6.0794844824553875,True,True,False,False,Region B only
2019-07-04 15:35:29.240000+00:00,35.70763979518505,-117.48840306726134,9.97744208,0.57,5.010897647055261,2.5291785700776708,451855.9443749217,-1.9721666666666666,35.73994444444445,True,21.566218957178116,0.2707164394190098,True,30.620422428298465,2.5015866433019642,True,0.6277615058993655,12.13251037178739,True,False,True,False,Overlap A&B
2019-07-04 15:42:47.800000+00:00,35.70700479518505,-117.49116202142392,10.48551398,0.72,4.761263033962196,2.4585857784234273,758577.5750291835,-1.8503444444444443,35.618122222222226,True,21.35425890611707,0.42029491060341506,True,30.505844292490657,2.2688364916747883,True,0.39806121124719296,11.984236248619327,True,False,True,False,Overlap A&B
2019-07-04 16:07:19.840000+00:00,35.70699679518505,-117.49136502084646,10.50728849,0.71,4.742892869637441,2.457688326810207,732824.5331389045,-1.4414444444444443,35.20922222222222,True,21.3420008282783,0.4340065073162389,True,30.494219150408632,2.254584318918006,True,0.38609595606624175,11.970716480068909,True,False,True,False,Overlap A&B
2019-07-04 16:13:11.360000+00:00,35.71555379518505,-117.47028863865322,8.28628847,0.31,6.649510834893512,3.408341255655953,184077.20014689545,-1.3438,35.111577777777775,True,23.280664544905395,-0.44946168701438083,True,31.0635284577817,4.307586990396681,False,2.4813716666658143,12.970794171528812,True,False,False,False,Region A only
2019-07-04 16:13:42.900000+00:00,35.70692379518505,-117.49098201557706,10.73229176,1.71,4.777557677391394,2.449607281222358,23173946.499684796,-1.3350388888888889,35.10281666666667,True,21.357535731700608,0.4019812208995521,True,30.523419877736508,2.274937935744859,True,0.4016925329419793,12.002499271549768,True,False,True,False,Overlap A&B
2019-07-04 16:16:07.100000+00:00,35.70910479518505,-117.4866771730177,9.70163162,0.49,5.166988424618809,2.691815026626971,342767.78654645046,-1.2949833333333332,35.062761111111115,True,21.7908422044852,0.2517600524076862,True,30.604005725511783,2.7264097731372114,True,0.8512148610069262,12.154138962866455,True,False,True,False,Overlap A&B
2019-07-04 17:02:54.920000+00:00,35.70759079518505,-117.49193506372424,10.55809568,4.54,4.691271460664012,2.5235673714158358,407380277804.1122,-0.5150333333333333,34.28281111111111,True,21.360712604131237,0.5155827773154371,True,30.410720030431293,2.260304051915446,True,0.4159036874905993,11.888863387834146,True,False,True,False,Overlap A&B
2019-07-04 17:06:23.360000+00:00,35.70540179518505,-117.48904590571792,10.13712182,1.22,4.952862200602817,2.2808318841897663,4265795.188015926,-0.45713333333333334,34.22491111111111,True,21.336693696873603,0.15953035972111884,True,30.766146110582405,2.292281130096864,True,0.46049264565426534,12.245242471981284,True,False,True,False,Overlap A&B
2019-07-04 17:07:54.760000+00:00,35.70856779518505,-117.48107013425152,9.94115123,0.65,5.674427794262342,2.6325424423644344,595662.1435290109,-0.43174444444444443,34.19952222222222,True,22.064117799546942,-0.1798976849873899,True,30.98759798600568,3.063848553953182,True,1.259385948803851,12.594245410924605,True,False,True,False,Overlap A&B
2019-07-04 17:08:25.980000+00:00,35.73258279518505,-117.47506686890668,8.387902850000001,0.67,6.215823741756232,5.29746191106447,638263.4861905483,-0.4230722222222222,34.19085,True,24.475869146244374,1.0764306114074689,True,29.369447514671428,5.249367805467575,False,3.5805590020233775,11.70257293597903,True,False,False,False,Region A only
2019-07-04 17:08:51.600000+00:00,35.70798179518505,-117.48779209194916,9.97744208,0.73,5.066166400835436,2.5671560440191645,785235.634610071,-0.4159555555555556,34.183733333333336,True,21.63051462351074,0.25166411771707153,True,30.629181863630716,2.5680711976288926,True,0.6947456041953737,12.15190344635294,True,False,True,False,Overlap A&B
2019-07-04 17:09:19.640000+00:00,35.70783479518505,-117.49036408133767,10.57987019,2.64,4.833423333823807,2.550716230099466,575439937.3371567,-0.4081666666666667,34.17594444444444,True,21.471269675448056,0.4221946112958044,True,30.485663008019365,2.3841094059228354,True,0.5150800426454379,11.981153266663979,True,False,True,False,Overlap A&B
2019-07-04 17:11:34.760000+00:00,35.81980579518505,-117.51936018654143,4.664461640000001,0.83,2.206326431418181,14.973377071407175,1109174.8152624008,-0.3706333333333333,34.13841111111111,True,29.472270921706844,10.281612422209104,False,19.495973529141615,8.744208907552732,False,13.030592839461287,8.216931533784278,False,True,False,True,Unassigned
2019-07-04 17:12:14.520000+00:00,35.70695979518505,-117.49160901817564,10.39115777,2.32,4.720814263346489,2.453571287982372,190546071.79632443,-0.3595888888888889,34.12736666666667,True,21.32490686883575,0.4485739853078954,True,30.482505182305772,2.2354219126039254,True,0.369898090382596,11.956437531093922,True,False,True,False,Overlap A&B
2019-07-04 17:12:37.680000+00:00,35.70706179518505,-117.4912430255384,10.37664143,1.74,4.7539291010271,2.464906207817951,25703957.827688646,-0.3531555555555555,34.12093333333333,True,21.35455547372176,0.42997202007285296,True,30.496239935723175,2.2676155366753967,True,0.3985089177723382,11.97455578121238,True,False,True,False,Overlap A&B
2019-07-04 17:13:25.720000+00:00,35.70709879518505,-117.48942802820922,10.260510710000002,0.76,4.918176730529279,2.4691008688347122,870963.5899560796,-0.3398111111111111,34.10758888888889,True,21.461178880778757,0.3049667080029739,True,30.6030261563035,2.392481793415566,True,0.5176743899335953,12.098436070570559,True,False,True,False,Overlap A&B
2019-07-04 17:13:51.440000+00:00,35.70722879518505,-117.48923303759318,10.40567411,0.88,4.935814570323584,2.4835346164610317,1318256.7385564074,-0.33266666666666667,34.10044444444445,True,21.48349583064931,0.3003428339102783,True,30.604101872831727,2.4152473221179847,True,0.5404619292014906,12.102946247620345,True,False,True,False,Overlap A&B
