origin_time,latitude,longitude,depth_km,magnitude,event_id,is_M3plus,is_M4plus,is_M5plus,is_M6plus,dt_days_M1,dist_km_M1,depth_diff_km_M1,hypo_proxy_km_M1,dt_days_M2,dist_km_M2,depth_diff_km_M2,hypo_proxy_km_M2,dt_days_M3,dist_km_M3,depth_diff_km_M3,hypo_proxy_km_M3,nearest_mainshock,second_nearest_mainshock,nearest_dist_km,second_nearest_dist_km,nearest_margin_km,nearest_ratio,all_pair_min_dist_km,proj_km_M1_M2,pos_M1_M2,cross_km_M1_M2,midpoint_dist_km_M1_M2,proj_km_M1_M3,pos_M1_M3,cross_km_M1_M3,midpoint_dist_km_M1_M3,proj_km_M2_M3,pos_M2_M3,cross_km_M2_M3,midpoint_dist_km_M2_M3,outer_any_100km
2025-09-30 16:09:25.360000+00:00,38.703422,142.256738,41.35,2.8,0,False,False,False,False,-39.66266064814815,132.99914295118714,25.450000000000003,135.412239202187,-68.9206576388889,251.82372643630512,-12.149999999999999,252.11666286913098,-201.65523958333333,148.4366829270662,21.950000000000003,150.05082918261525,M1,M3,132.99914295118714,148.4366829270662,15.437539975879048,0.8959991582170815,132.99914295118714,-11.595765617924066,-0.057171771997755194,-132.64516644507847,174.25674310625368,-9.84194764042285,-0.17133174793172334,-132.78681421041614,138.27331121097637,215.98619625022314,1.4855726782606644,130.03036423916478,193.495167337214,False
2025-09-30 16:55:18.670000+00:00,38.959892,142.594434,27.66,1.2,1,False,False,False,False,-39.630793634259255,92.75509655994613,11.76,93.49762316682136,-68.888790625,224.81299306133747,-25.84,226.29314494521694,-201.62337256944446,109.34897114488344,8.260000000000002,109.66049922576748,M1,M3,92.75509655994613,109.34897114488344,16.59387458493731,0.8482484616800735,92.75509655994613,-2.051509532142186,-0.010114764224067862,-92.83754189594806,139.00874514165886,-0.8245525260896486,-0.014354072051371711,-92.85654521773951,97.44398911892311,205.9726384528897,1.4166985180867024,90.72008620738188,161.223980834701,True
2025-09-30 18:47:05.380000+00:00,39.934501,142.485905,34.75,1.6,2,False,False,False,False,-39.55316967592592,105.56606639516829,18.85,107.23580033808243,-68.81116666666667,116.13338931449518,-18.75,117.63726711239131,-201.5457486111111,58.173849555007166,15.350000000000001,60.164933907124066,M3,M1,58.173849555007166,105.56606639516829,47.392216840161126,0.5510658068592177,58.173849555007166,95.67184264426155,0.47170052883856517,-44.90466124386047,45.27000999144784,96.25687047936694,1.6756701490599357,-43.63650950629055,80.40595011444863,107.68280588898806,0.7406521209429464,43.837876782113604,56.08863189292537,True
2025-09-30 20:09:46.600000+00:00,39.433223,142.694303,25.26,1.2,3,False,False,False,False,-39.49574814814815,69.89862299175755,9.360000000000001,70.52252899707906,-68.75374513888889,174.11246497759402,-28.24,176.38777752603468,-201.48832708333333,60.29810759556602,5.860000000000003,60.58218698269696,M3,M1,60.29810759556602,69.89862299175755,9.600515396191525,0.8626508651347307,60.29810759556602,38.71095462304806,0.1908605213702625,-58.29502813786775,85.61358234746494,39.47789939179806,0.6872438011851564,-57.778402305996224,58.77104078128694,164.80156674665565,1.1335201468604497,56.78077517379581,108.20236330893302,True
2025-09-30 22:13:00.920000+00:00,38.903324,142.44873,33.32,1.1,4,False,False,False,False,-39.41016574074074,106.77773231147529,17.42,108.18937340414296,-68.66816273148147,229.98999461711452,-20.18,230.87362349125195,-201.40274467592593,120.83298949398366,13.920000000000002,121.63214110609566,M1,M3,106.77773231147529,120.83298949398366,14.05525718250837,0.8836802992182181,106.77773231147529,-1.0187841739624544,-0.005023014299173999,-106.89416127993636,148.04847940572438,0.39383025421283735,0.006855922049975603,-106.89829060684286,110.58808358944694,205.10589772078364,1.4107369965954832,104.62357880793346,168.75676997324183,False
2025-09-30 23:20:00.640000+00:00,38.56606,144.341781,19.38,1.1,5,False,False,False,False,-39.36364120370371,117.66886647884151,3.4799999999999986,117.72031489261074,-68.62163819444444,319.58038634234634,-34.120000000000005,321.39663615962655,-201.35622013888892,174.78448767242566,-0.019999999999999574,174.78448881669195,M1,M3,117.66886647884151,174.78448767242566,57.11562119358415,0.673222595699522,117.66886647884151,-116.90405891349893,-0.5763838647690118,14.521702313849715,218.79812967493967,-117.0857451052473,-2.038265808728521,12.975635695100069,146.38386975902827,319.56170519515103,2.19797443771046,-16.034374325347606,247.38729407860657,False
2025-10-01 00:40:52.420000+00:00,40.108101,141.340902,9.98,0.3,6,False,False,False,False,-39.30748634259259,201.11968587368713,-5.92,201.20679522802052,-68.56548333333333,124.69010395030557,-43.519999999999996,132.06669687373122,-201.30006527777778,157.55251828138475,-9.419999999999998,157.83387601147632,M2,M3,124.69010395030557,157.55251828138475,32.86241433107918,0.7914193013888375,124.69010395030557,162.31176428450658,0.8002620513373645,-119.15568611780412,133.8166784071785,163.8721447826207,2.8527383022859243,-117.00045522859173,178.7587603911277,41.93137606707112,0.28840781368707313,117.5790133098639,121.53682470299015,False
2025-10-01 00:45:22.260000+00:00,39.66012,142.132129,45.69,1.2,7,False,False,False,False,-39.30436319444444,121.35374929938743,29.79,124.95669877609033,-68.56236018518518,146.02879733604922,-7.810000000000002,146.23749776104944,-201.29694212962963,89.91948392740538,26.29,93.68392439352075,M3,M1,89.91948392740538,121.35374929938743,31.43426537198205,0.7409699695851035,89.91948392740538,85.03330586448405,0.4192482786634656,-86.77303847665631,88.30520842169501,86.17252150255528,1.500118601736687,-85.64181134589472,103.12658936229468,118.8186742588287,0.8172456351866849,85.17367688157415,96.86065402194446,True
2025-10-01 01:13:56.990000+00:00,40.063778,142.028923,11.8,1.2,8,False,False,False,False,-39.28451678240741,146.2515568608884,-4.1,146.30901504771902,-68.54251377314816,102.90229276372082,-41.7,111.03049966576981,-201.2770957175926,99.26727075954508,-7.599999999999998,99.55777741617595,M3,M2,99.26727075954508,102.90229276372082,3.635022004175738,0.9646750144574301,99.26727075954508,127.99547813663355,0.6310690069019634,-71.10366128997227,75.91068057503502,128.92388369896028,2.244347882279534,-69.40608967692604,121.89192856433175,75.67287532114185,0.5204849106758501,69.90253480580587,69.96595279321878,True
2025-10-01 03:36:56.830000+00:00,40.665739,141.400553,84.06,1.2,9,False,False,False,False,-39.185213078703704,227.82240096468945,68.16,237.79998313985587,-68.44321006944445,81.89496094626392,30.560000000000002,87.41108755981756,-201.1777920138889,174.945062588433,64.66,186.51190451033074,M2,M3,81.89496094626392,174.945062588433,93.05010164216907,0.4681181608361587,81.89496094626392,212.68306023485508,1.0486127288340983,-82.40974764079452,138.46550774008998,213.7534729392672,3.7210882930065567,-79.59210654006087,201.4238946873806,-8.871619116240145,-0.061019802190288186,81.50622644838099,115.30963346227401,True
