event_id,origin_time,latitude,longitude,depth_km,magnitude,dist_a_km,dist_b_km,nearest_mainshock,second_nearest_mainshock,nearest_dist_km,second_nearest_dist_km,nearest_margin_km,nearest_ratio,proj_km,pos_norm,cross_km,midpoint_dist_km,dt_a_days,dt_b_days,pair_name,in_corridor,in_core_segment,in_sideband,endpoint_a_near,endpoint_b_near,shared_overlap,outer_band,assignment,corridor_width_km,assignment_stable_across_widths
0,2025-09-30 16:09:25.360000+00:00,38.703422,142.256738,41.35,2.8,251.82372643630512,148.4366829270662,M1,M3,132.99914295118714,148.4366829270662,15.437539975879048,0.8959991582170815,215.98619625022314,1.4855726782606644,130.03036423916478,193.495167337214,-68.9206576388889,-201.65523958333333,M2_M3,False,False,False,False,False,False,False,regional_background,26.140279662980017,True
1,2025-09-30 16:55:18.670000+00:00,38.959892,142.594434,27.66,1.2,224.81299306133747,109.34897114488344,M1,M3,92.75509655994613,109.34897114488344,16.59387458493731,0.8482484616800735,205.9726384528897,1.4166985180867024,90.72008620738188,161.223980834701,-68.888790625,-201.62337256944446,M2_M3,False,False,False,False,False,False,False,regional_background,26.140279662980017,True
2,2025-09-30 18:47:05.380000+00:00,39.934501,142.485905,34.75,1.6,116.13338931449518,58.173849555007166,M3,M1,58.173849555007166,105.56606639516829,47.392216840161126,0.5510658068592177,107.68280588898806,0.7406521209429464,43.837876782113604,56.08863189292537,-68.81116666666667,-201.5457486111111,M2_M3,False,False,True,False,False,False,True,outer_cluster,26.140279662980017,True
3,2025-09-30 20:09:46.600000+00:00,39.433223,142.694303,25.26,1.2,174.11246497759402,60.29810759556602,M3,M1,60.29810759556602,69.89862299175755,9.600515396191525,0.8626508651347307,164.80156674665565,1.1335201468604497,56.78077517379581,108.20236330893302,-68.75374513888889,-201.48832708333333,M2_M3,False,False,False,False,False,False,True,outer_cluster,26.140279662980017,True
4,2025-09-30 22:13:00.920000+00:00,38.903324,142.44873,33.32,1.1,229.98999461711452,120.83298949398366,M1,M3,106.77773231147529,120.83298949398366,14.05525718250837,0.8836802992182181,205.10589772078364,1.4107369965954832,104.62357880793346,168.75676997324183,-68.66816273148147,-201.40274467592593,M2_M3,False,False,False,False,False,False,False,regional_background,26.140279662980017,True
5,2025-09-30 23:20:00.640000+00:00,38.56606,144.341781,19.38,1.1,319.58038634234634,174.78448767242566,M1,M3,117.66886647884151,174.78448767242566,57.11562119358415,0.673222595699522,319.56170519515103,2.19797443771046,-16.034374325347606,247.38729407860657,-68.62163819444444,-201.35622013888892,M2_M3,False,False,False,False,False,False,False,regional_background,26.140279662980017,True
6,2025-10-01 00:40:52.420000+00:00,40.108101,141.340902,9.98,0.3,124.69010395030557,157.55251828138475,M2,M3,124.69010395030557,157.55251828138475,32.86241433107918,0.7914193013888375,41.93137606707112,0.28840781368707313,117.5790133098639,121.53682470299015,-68.56548333333333,-201.30006527777778,M2_M3,False,False,False,False,False,False,False,regional_background,26.140279662980017,True
7,2025-10-01 00:45:22.260000+00:00,39.66012,142.132129,45.69,1.2,146.02879733604922,89.91948392740538,M3,M1,89.91948392740538,121.35374929938743,31.43426537198205,0.7409699695851035,118.8186742588287,0.8172456351866849,85.17367688157415,96.86065402194446,-68.56236018518518,-201.29694212962963,M2_M3,False,False,False,False,False,False,True,outer_cluster,26.140279662980017,True
8,2025-10-01 01:13:56.990000+00:00,40.063778,142.028923,11.8,1.2,102.90229276372082,99.26727075954508,M3,M2,99.26727075954508,102.90229276372082,3.635022004175738,0.9646750144574301,75.67287532114185,0.5204849106758501,69.90253480580587,69.96595279321878,-68.54251377314816,-201.2770957175926,M2_M3,False,False,False,False,False,False,True,outer_cluster,26.140279662980017,True
9,2025-10-01 03:36:56.830000+00:00,40.665739,141.400553,84.06,1.2,81.89496094626392,174.945062588433,M2,M3,81.89496094626392,174.945062588433,93.05010164216907,0.4681181608361587,-8.871619116240145,-0.061019802190288186,81.50622644838099,115.30963346227401,-68.44321006944445,-201.1777920138889,M2_M3,False,False,False,False,False,False,True,outer_cluster,26.140279662980017,True
