metric,value
catalog_events,22096
catalog_start,2025-09-30T16:09:25.360000+00:00
catalog_end,2026-05-01T14:44:22.450000+00:00
mainshock_count,3
m4plus_count,259
m5plus_count,68
mechanism_rows,354
mechanism_matches,240
station_rows,371
