mainshock,n_total,n_pre,n_post,pre_rate,post_rate,rate_ratio,pre_post_balance,moving_rate_max,moving_rate_median,burstiness_index,post_omori_p,post_omori_r2,radial_q50_km,depth_q50_km,mag_q50,mecha_overlap_count,stations_within_100km
M1,3923,612,3310,6.8,36.77777777777778,5.408496732026144,,271.0,5.857142857142858,46.26829268292683,0.6383674259945586,0.913343338766479,19.40104045326473,11.54,1.7,0,0
M2,2370,91,2278,1.011111111111111,25.31111111111111,25.03296703296704,,125.85714285714286,4.642857142857142,27.10769230769231,0.6437024855030238,0.956437260026316,25.222822478385623,41.555,1.3,0,0
M3,3654,876,2777,9.733333333333333,30.855555555555554,3.170091324200913,,271.0,3.7142857142857135,72.96153846153848,,,26.58538123566893,12.83,1.65,0,0
