mainshock,mag_threshold,time_window_days,observed_rate,observed_pre_rate,observed_ratio,random_rate_median,random_rate_mean,random_ratio_median,excess_rate,matched_datetime
M1,,7.0,249.42857142857144,73.14285714285714,3.41015625,138.92857142857144,138.92857142857144,8.140650406504065,110.49999999999996,2025-11-09 08:03:39.240000+00:00
M1,,30.0,90.56666666666666,18.1,5.003683241252301,88.11666666666667,88.11666666666667,52.97241902834008,2.4499999999999886,2025-11-09 08:03:39.240000+00:00
M1,,60.0,51.583333333333336,9.5,5.429824561403509,56.85,56.85,32.439112841655216,-5.266666666666666,2025-11-09 08:03:39.240000+00:00
M1,,90.0,36.77777777777778,6.8,5.408496732026144,40.91111111111111,40.91111111111111,21.23251748251748,-4.133333333333333,2025-11-09 08:03:39.240000+00:00
M1,1.2,7.0,243.14285714285717,69.14285714285714,3.5165289256198347,135.07142857142858,135.07142857142858,8.472670807453417,108.07142857142856,2025-11-09 08:03:39.240000+00:00
M1,1.2,30.0,87.36666666666666,17.1,5.109161793372319,85.03333333333333,85.03333333333333,59.45006402048656,2.3333333333333286,2025-11-09 08:03:39.240000+00:00
M1,1.2,60.0,49.46666666666667,8.933333333333334,5.537313432835821,54.59166666666667,54.59166666666667,37.07218813905931,-5.125,2025-11-09 08:03:39.240000+00:00
M1,1.2,90.0,35.166666666666664,6.288888888888889,5.591872791519434,39.12777777777778,39.12777777777778,24.24364557412016,-3.961111111111116,2025-11-09 08:03:39.240000+00:00
M1,1.5,7.0,212.8571428571429,53.71428571428572,3.9627659574468086,117.85714285714286,117.85714285714286,10.641975308641976,95.0,2025-11-09 08:03:39.240000+00:00
M1,1.5,30.0,72.03333333333333,13.2,5.457070707070708,71.28333333333333,71.28333333333333,115.10997732426304,0.75,2025-11-09 08:03:39.240000+00:00
M1,1.5,60.0,40.21666666666667,6.816666666666666,5.899755501222495,44.44166666666666,44.44166666666666,50.86234764175941,-4.224999999999994,2025-11-09 08:03:39.240000+00:00
M1,1.5,90.0,28.42222222222222,4.733333333333333,6.004694835680751,31.594444444444445,31.594444444444445,31.993106617647054,-3.1722222222222243,2025-11-09 08:03:39.240000+00:00
M1,2.0,7.0,117.42857142857144,25.285714285714285,4.6440677966101696,66.28571428571429,66.28571428571429,16.43103448275862,51.14285714285714,2025-11-09 08:03:39.240000+00:00
M1,2.0,30.0,36.13333333333333,6.233333333333333,5.796791443850268,36.98333333333333,36.98333333333333,140.62820512820514,-0.8500000000000014,2025-11-09 08:03:39.240000+00:00
M1,2.0,60.0,19.616666666666667,3.216666666666667,6.098445595854923,21.925,21.925,53.45053475935829,-2.3083333333333336,2025-11-09 08:03:39.240000+00:00
M1,2.0,90.0,13.7,2.2333333333333334,6.134328358208955,15.27777777777778,15.27777777777778,35.36600496277916,-1.5777777777777793,2025-11-09 08:03:39.240000+00:00
M2,,7.0,147.85714285714286,1.4285714285714286,103.5,76.57142857142857,76.57142857142857,65.22651222651223,71.28571428571429,2025-12-08 14:15:10.180000+00:00
M2,,30.0,55.56666666666667,2.1333333333333333,26.046875000000004,36.63333333333333,36.63333333333333,14.147889549583294,18.933333333333337,2025-12-08 14:15:10.180000+00:00
M2,,60.0,35.13333333333333,1.3166666666666669,26.68354430379747,24.058333333333334,24.058333333333334,14.600813499144408,11.075,2025-12-08 14:15:10.180000+00:00
M2,,90.0,25.31111111111111,1.011111111111111,25.032967032967036,17.91111111111111,17.91111111111111,13.08922670191672,7.399999999999999,2025-12-08 14:15:10.180000+00:00
M2,1.2,7.0,111.85714285714286,0.7142857142857143,156.6,55.85714285714286,55.85714285714286,348.2925170068027,56.0,2025-12-08 14:15:10.180000+00:00
M2,1.2,30.0,38.833333333333336,1.1333333333333333,34.26470588235294,24.6,24.6,19.403735632183903,14.233333333333334,2025-12-08 14:15:10.180000+00:00
M2,1.2,60.0,23.883333333333333,0.7333333333333333,32.56818181818182,15.816666666666666,15.816666666666666,18.044944082013046,8.066666666666666,2025-12-08 14:15:10.180000+00:00
M2,1.2,90.0,17.1,0.5444444444444444,31.40816326530613,11.666666666666668,11.666666666666668,15.943839827982952,5.433333333333334,2025-12-08 14:15:10.180000+00:00
M2,1.5,7.0,73.57142857142857,0.5714285714285714,128.75,36.07142857142857,36.07142857142857,227.7906976744186,37.5,2025-12-08 14:15:10.180000+00:00
M2,1.5,30.0,24.6,0.7,35.142857142857146,15.183333333333334,15.183333333333334,20.494145490782262,9.416666666666668,2025-12-08 14:15:10.180000+00:00
M2,1.5,60.0,14.733333333333333,0.4,36.83333333333333,9.583333333333334,9.583333333333334,21.172254616132168,5.149999999999999,2025-12-08 14:15:10.180000+00:00
M2,1.5,90.0,10.566666666666666,0.3111111111111111,33.964285714285715,7.083333333333333,7.083333333333333,18.56025641025641,3.4833333333333334,2025-12-08 14:15:10.180000+00:00
M2,2.0,7.0,36.57142857142857,0.1428571428571428,256.0,17.71428571428571,17.71428571428571,0.45,18.857142857142858,2025-12-08 14:15:10.180000+00:00
M2,2.0,30.0,11.933333333333334,0.2333333333333333,51.142857142857146,7.2,7.2,29.700354609929075,4.733333333333333,2025-12-08 14:15:10.180000+00:00
M2,2.0,60.0,6.983333333333333,0.1166666666666666,59.85714285714285,4.4,4.4,35.079353233830844,2.583333333333333,2025-12-08 14:15:10.180000+00:00
M2,2.0,90.0,4.922222222222223,0.0888888888888888,55.375,3.177777777777778,3.177777777777778,27.9410447761194,1.7444444444444445,2025-12-08 14:15:10.180000+00:00
M3,,7.0,323.1428571428572,10.285714285714286,31.416666666666668,6.285714285714286,6.285714285714286,2.093108504398827,316.8571428571429,2026-04-20 07:52:58.050000+00:00
M3,,30.0,92.56666666666666,18.33333333333333,5.049090909090909,26.85,26.85,12.809976247030878,65.71666666666667,2026-04-20 07:52:58.050000+00:00
M3,,60.0,46.28333333333333,11.8,3.922316384180791,17.108333333333334,17.108333333333334,10.54793291860044,29.175,2026-04-20 07:52:58.050000+00:00
M3,,90.0,30.855555555555554,9.733333333333333,3.170091324200913,13.716666666666669,13.716666666666669,8.225033179381006,17.138888888888886,2026-04-20 07:52:58.050000+00:00
M3,1.2,7.0,293.2857142857143,7.714285714285714,38.01851851851852,5.571428571428571,5.571428571428571,2.1620689655172414,287.7142857142857,2026-04-20 07:52:58.050000+00:00
M3,1.2,30.0,82.86666666666666,15.566666666666666,5.323340471092076,25.333333333333336,25.333333333333336,13.638801020408165,57.53333333333333,2026-04-20 07:52:58.050000+00:00
M3,1.2,60.0,41.43333333333333,10.233333333333333,4.04885993485342,16.025,16.025,11.2903815204014,25.40833333333333,2026-04-20 07:52:58.050000+00:00
M3,1.2,90.0,27.622222222222224,8.488888888888889,3.253926701570681,12.661111111111111,12.661111111111111,9.301980920537622,14.961111111111112,2026-04-20 07:52:58.050000+00:00
M3,1.5,7.0,229.42857142857144,4.428571428571429,51.80645161290322,4.7142857142857135,4.7142857142857135,2.458333333333333,224.7142857142857,2026-04-20 07:52:58.050000+00:00
M3,1.5,30.0,63.8,10.566666666666666,6.037854889589905,20.916666666666668,20.916666666666668,15.495127504553736,42.883333333333326,2026-04-20 07:52:58.050000+00:00
M3,1.5,60.0,31.9,7.016666666666667,4.546318289786223,12.925,12.925,13.777040075194396,18.975,2026-04-20 07:52:58.050000+00:00
M3,1.5,90.0,21.266666666666666,5.877777777777778,3.6181474480151214,10.055555555555555,10.055555555555555,11.05407523510972,11.21111111111111,2026-04-20 07:52:58.050000+00:00
M3,2.0,7.0,121.42857142857144,1.2857142857142858,94.44444444444444,1.9285714285714284,1.9285714285714284,2.239130434782609,119.5,2026-04-20 07:52:58.050000+00:00
M3,2.0,30.0,32.4,4.833333333333333,6.703448275862069,10.916666666666666,10.916666666666666,25.12469586374696,21.48333333333333,2026-04-20 07:52:58.050000+00:00
M3,2.0,60.0,16.2,3.3,4.909090909090909,6.466666666666667,6.466666666666667,21.230686090225564,9.733333333333333,2026-04-20 07:52:58.050000+00:00
M3,2.0,90.0,10.8,2.6666666666666665,4.050000000000001,4.927777777777777,4.927777777777777,15.425259643916911,5.872222222222224,2026-04-20 07:52:58.050000+00:00
