time_bin,bin_start_utc,bin_end_utc,bin_center_minutes,bin_start_minutes,bin_end_minutes
43,2019-07-05 15:03:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,1305.0,1290.0,1320.0
44,2019-07-05 15:33:49.040000+00:00,2019-07-05 16:03:49.040000+00:00,1335.0,1320.0,1350.0
45,2019-07-05 16:03:49.040000+00:00,2019-07-05 16:33:49.040000+00:00,1365.0,1350.0,1380.0
46,2019-07-05 16:33:49.040000+00:00,2019-07-05 17:03:49.040000+00:00,1395.0,1380.0,1410.0
47,2019-07-05 17:03:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,1425.0,1410.0,1440.0
48,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:03:49.040000+00:00,1455.0,1440.0,1470.0
49,2019-07-05 18:03:49.040000+00:00,2019-07-05 18:33:49.040000+00:00,1485.0,1470.0,1500.0
50,2019-07-05 18:33:49.040000+00:00,2019-07-05 19:03:49.040000+00:00,1515.0,1500.0,1530.0
51,2019-07-05 19:03:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,1545.0,1530.0,1560.0
52,2019-07-05 19:33:49.040000+00:00,2019-07-05 20:03:49.040000+00:00,1575.0,1560.0,1590.0
53,2019-07-05 20:03:49.040000+00:00,2019-07-05 20:33:49.040000+00:00,1605.0,1590.0,1620.0
54,2019-07-05 20:33:49.040000+00:00,2019-07-05 21:03:49.040000+00:00,1635.0,1620.0,1650.0
55,2019-07-05 21:03:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,1665.0,1650.0,1680.0
56,2019-07-05 21:33:49.040000+00:00,2019-07-05 22:03:49.040000+00:00,1695.0,1680.0,1710.0
57,2019-07-05 22:03:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,1725.0,1710.0,1740.0
58,2019-07-05 22:33:49.040000+00:00,2019-07-05 23:03:49.040000+00:00,1755.0,1740.0,1770.0
59,2019-07-05 23:03:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,1785.0,1770.0,1800.0
60,2019-07-05 23:33:49.040000+00:00,2019-07-06 00:03:49.040000+00:00,1815.0,1800.0,1830.0
61,2019-07-06 00:03:49.040000+00:00,2019-07-06 00:33:49.040000+00:00,1845.0,1830.0,1860.0
62,2019-07-06 00:33:49.040000+00:00,2019-07-06 01:03:49.040000+00:00,1875.0,1860.0,1890.0
63,2019-07-06 01:03:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,1905.0,1890.0,1920.0
64,2019-07-06 01:33:49.040000+00:00,2019-07-06 02:03:49.040000+00:00,1935.0,1920.0,1950.0
65,2019-07-06 02:03:49.040000+00:00,2019-07-06 02:33:49.040000+00:00,1965.0,1950.0,1980.0
66,2019-07-06 02:33:49.040000+00:00,2019-07-06 03:03:49.040000+00:00,1995.0,1980.0,2010.0
67,2019-07-06 03:03:49.040000+00:00,2019-07-06 03:33:49.040000+00:00,2025.0,2010.0,2040.0
