cell_id,ix,iy,xmin_km,xmax_km,ymin_km,ymax_km,x_center_km,y_center_km,centroid_longitude,centroid_latitude
0,0,0,-27.0,-26.0,-29.0,-28.0,-26.5,-28.5,-117.8354052747617,35.48299696562464
1,0,1,-27.0,-26.0,-28.0,-27.0,-26.5,-27.5,-117.83543794913237,35.49201000722998
2,0,2,-27.0,-26.0,-27.0,-26.0,-26.5,-26.5,-117.83547063559861,35.50102303532428
3,0,3,-27.0,-26.0,-26.0,-25.0,-26.5,-25.5,-117.83550333416605,35.510036049906105
4,0,4,-27.0,-26.0,-25.0,-24.0,-26.5,-24.5,-117.83553604484041,35.519049050974
5,0,5,-27.0,-26.0,-24.0,-23.0,-26.5,-23.5,-117.83556876762731,35.52806203852651
6,0,6,-27.0,-26.0,-23.0,-22.0,-26.5,-22.5,-117.83560150253243,35.53707501256221
7,0,7,-27.0,-26.0,-22.0,-21.0,-26.5,-21.5,-117.83563424956142,35.546087973079665
8,0,8,-27.0,-26.0,-21.0,-20.0,-26.5,-20.5,-117.83566700872001,35.55510092007742
9,0,9,-27.0,-26.0,-20.0,-19.0,-26.5,-19.5,-117.83569978001385,35.56411385355405
10,0,10,-27.0,-26.0,-19.0,-18.0,-26.5,-18.5,-117.83573256344864,35.573126773508115
11,0,11,-27.0,-26.0,-18.0,-17.0,-26.5,-17.5,-117.83576535903003,35.582139679938166
12,0,12,-27.0,-26.0,-17.0,-16.0,-26.5,-16.5,-117.83579816676375,35.59115257284281
13,0,13,-27.0,-26.0,-16.0,-15.0,-26.5,-15.5,-117.8358309866555,35.60016545222056
14,0,14,-27.0,-26.0,-15.0,-14.0,-26.5,-14.5,-117.83586381871093,35.609178318070036
15,0,15,-27.0,-26.0,-14.0,-13.0,-26.5,-13.5,-117.8358966629358,35.618191170389785
16,0,16,-27.0,-26.0,-13.0,-12.0,-26.5,-12.5,-117.83592951933578,35.627204009178364
17,0,17,-27.0,-26.0,-12.0,-11.0,-26.5,-11.5,-117.83596238791662,35.63621683443438
18,0,18,-27.0,-26.0,-11.0,-10.0,-26.5,-10.5,-117.83599526868399,35.64522964615638
19,0,19,-27.0,-26.0,-10.0,-9.0,-26.5,-9.5,-117.83602816164364,35.65424244434295
20,0,20,-27.0,-26.0,-9.0,-8.0,-26.5,-8.5,-117.83606106680129,35.66325522899267
21,0,21,-27.0,-26.0,-8.0,-7.0,-26.5,-7.5,-117.83609398416267,35.67226800010413
22,0,22,-27.0,-26.0,-7.0,-6.0,-26.5,-6.5,-117.83612691373348,35.68128075767588
23,0,23,-27.0,-26.0,-6.0,-5.0,-26.5,-5.5,-117.8361598555195,35.69029350170653
24,0,24,-27.0,-26.0,-5.0,-4.0,-26.5,-4.5,-117.83619280952641,35.69930623219464
25,0,25,-27.0,-26.0,-4.0,-3.0,-26.5,-3.5,-117.83622577576001,35.70831894913881
26,0,26,-27.0,-26.0,-3.0,-2.0,-26.5,-2.5,-117.83625875422604,35.71733165253762
27,0,27,-27.0,-26.0,-2.0,-1.0,-26.5,-1.5,-117.83629174493022,35.72634434238965
28,0,28,-27.0,-26.0,-1.0,0.0,-26.5,-0.5,-117.83632474787832,35.73535701869351
29,0,29,-27.0,-26.0,0.0,1.0,-26.5,0.5,-117.83635776307608,35.744369681447765
30,0,30,-27.0,-26.0,1.0,2.0,-26.5,1.5,-117.83639079052928,35.75338233065101
31,0,31,-27.0,-26.0,2.0,3.0,-26.5,2.5,-117.8364238302437,35.762394966301855
32,0,32,-27.0,-26.0,3.0,4.0,-26.5,3.5,-117.8364568822251,35.77140758839888
33,0,33,-27.0,-26.0,4.0,5.0,-26.5,4.5,-117.83648994647925,35.78042019694068
34,0,34,-27.0,-26.0,5.0,6.0,-26.5,5.5,-117.83652302301189,35.78943279192585
35,0,35,-27.0,-26.0,6.0,7.0,-26.5,6.5,-117.83655611182886,35.798445373353005
36,0,36,-27.0,-26.0,7.0,8.0,-26.5,7.5,-117.83658921293592,35.80745794122071
37,0,37,-27.0,-26.0,8.0,9.0,-26.5,8.5,-117.83662232633885,35.816470495527575
38,0,38,-27.0,-26.0,9.0,10.0,-26.5,9.5,-117.83665545204346,35.82548303627223
39,0,39,-27.0,-26.0,10.0,11.0,-26.5,10.5,-117.83668859005554,35.83449556345325
40,0,40,-27.0,-26.0,11.0,12.0,-26.5,11.5,-117.8367217403809,35.843508077069245
41,0,41,-27.0,-26.0,12.0,13.0,-26.5,12.5,-117.83675490302534,35.85252057711883
42,0,42,-27.0,-26.0,13.0,14.0,-26.5,13.5,-117.83678807799465,35.8615330636006
43,0,43,-27.0,-26.0,14.0,15.0,-26.5,14.5,-117.83682126529467,35.87054553651318
44,0,44,-27.0,-26.0,15.0,16.0,-26.5,15.5,-117.83685446493119,35.87955799585515
45,0,45,-27.0,-26.0,16.0,17.0,-26.5,16.5,-117.83688767691005,35.88857044162515
46,0,46,-27.0,-26.0,17.0,18.0,-26.5,17.5,-117.8369209012371,35.89758287382178
47,0,47,-27.0,-26.0,18.0,19.0,-26.5,18.5,-117.8369541379181,35.906595292443654
48,0,48,-27.0,-26.0,19.0,20.0,-26.5,19.5,-117.83698738695892,35.91560769748938
49,0,49,-27.0,-26.0,20.0,21.0,-26.5,20.5,-117.83702064836542,35.924620088957596
50,0,50,-27.0,-26.0,21.0,22.0,-26.5,21.5,-117.83705392214341,35.933632466846895
51,0,51,-27.0,-26.0,22.0,23.0,-26.5,22.5,-117.83708720829875,35.94264483115591
52,0,52,-27.0,-26.0,23.0,24.0,-26.5,23.5,-117.83712050683728,35.951657181883256
53,0,53,-27.0,-26.0,24.0,25.0,-26.5,24.5,-117.83715381776484,35.96066951902756
54,0,54,-27.0,-26.0,25.0,26.0,-26.5,25.5,-117.83718714108728,35.96968184258744
55,0,55,-27.0,-26.0,26.0,27.0,-26.5,26.5,-117.83722047681051,35.97869415256153
56,1,0,-26.0,-25.0,-29.0,-28.0,-25.5,-28.5,-117.82438589151585,35.483023236599806
57,1,1,-26.0,-25.0,-28.0,-27.0,-25.5,-27.5,-117.82441733292531,35.49203628302374
58,1,2,-26.0,-25.0,-27.0,-26.0,-25.5,-26.5,-117.82444878597391,35.50104931593812
59,1,3,-26.0,-25.0,-26.0,-25.0,-25.5,-25.5,-117.82448025066712,35.5100623353415
60,1,4,-26.0,-25.0,-25.0,-24.0,-25.5,-24.5,-117.8245117270104,35.519075341232465
61,1,5,-26.0,-25.0,-24.0,-23.0,-25.5,-23.5,-117.82454321500913,35.52808833360956
62,1,6,-26.0,-25.0,-23.0,-22.0,-25.5,-22.5,-117.82457471466886,35.537101312471336
63,1,7,-26.0,-25.0,-22.0,-21.0,-25.5,-21.5,-117.82460622599497,35.54611427781636
64,1,8,-26.0,-25.0,-21.0,-20.0,-25.5,-20.5,-117.82463774899296,35.55512722964319
65,1,9,-26.0,-25.0,-20.0,-19.0,-25.5,-19.5,-117.82466928366829,35.564140167950406
66,1,10,-26.0,-25.0,-19.0,-18.0,-25.5,-18.5,-117.82470083002644,35.57315309273655
67,1,11,-26.0,-25.0,-18.0,-17.0,-25.5,-17.5,-117.82473238807287,35.582166004000186
68,1,12,-26.0,-25.0,-17.0,-16.0,-25.5,-16.5,-117.82476395781305,35.5911789017399
69,1,13,-26.0,-25.0,-16.0,-15.0,-25.5,-15.5,-117.82479553925249,35.60019178595426
70,1,14,-26.0,-25.0,-15.0,-14.0,-25.5,-14.5,-117.82482713239668,35.60920465664182
71,1,15,-26.0,-25.0,-14.0,-13.0,-25.5,-13.5,-117.82485873725105,35.61821751380117
72,1,16,-26.0,-25.0,-13.0,-12.0,-25.5,-12.5,-117.82489035382113,35.627230357430875
73,1,17,-26.0,-25.0,-12.0,-11.0,-25.5,-11.5,-117.82492198211243,35.6362431875295
74,1,18,-26.0,-25.0,-11.0,-10.0,-25.5,-10.5,-117.82495362213045,35.64525600409563
75,1,19,-26.0,-25.0,-10.0,-9.0,-25.5,-9.5,-117.82498527388066,35.654268807127835
76,1,20,-26.0,-25.0,-9.0,-8.0,-25.5,-8.5,-117.82501693736856,35.66328159662472
77,1,21,-26.0,-25.0,-8.0,-7.0,-25.5,-7.5,-117.82504861259973,35.672294372584815
78,1,22,-26.0,-25.0,-7.0,-6.0,-25.5,-6.5,-117.82508029957964,35.68130713500673
79,1,23,-26.0,-25.0,-6.0,-5.0,-25.5,-5.5,-117.82511199831379,35.69031988388907
80,1,24,-26.0,-25.0,-5.0,-4.0,-25.5,-4.5,-117.82514370880772,35.69933261923037
81,1,25,-26.0,-25.0,-4.0,-3.0,-25.5,-3.5,-117.82517543106694,35.70834534102924
82,1,26,-26.0,-25.0,-3.0,-2.0,-25.5,-2.5,-117.82520716509703,35.717358049284286
83,1,27,-26.0,-25.0,-2.0,-1.0,-25.5,-1.5,-117.82523891090348,35.72637074399405
84,1,28,-26.0,-25.0,-1.0,0.0,-25.5,-0.5,-117.82527066849183,35.735383425157174
85,1,29,-26.0,-25.0,0.0,1.0,-25.5,0.5,-117.82530243786762,35.744396092772206
86,1,30,-26.0,-25.0,1.0,2.0,-25.5,1.5,-117.82533421903642,35.75340874683774
87,1,31,-26.0,-25.0,2.0,3.0,-25.5,2.5,-117.82536601200377,35.7624213873524
88,1,32,-26.0,-25.0,3.0,4.0,-25.5,3.5,-117.82539781677518,35.77143401431474
89,1,33,-26.0,-25.0,4.0,5.0,-25.5,4.5,-117.82542963335626,35.780446627723386
90,1,34,-26.0,-25.0,5.0,6.0,-25.5,5.5,-117.82546146175254,35.78945922757693
91,1,35,-26.0,-25.0,6.0,7.0,-25.5,6.5,-117.82549330196959,35.79847181387396
92,1,36,-26.0,-25.0,7.0,8.0,-25.5,7.5,-117.82552515401298,35.80748438661309
93,1,37,-26.0,-25.0,8.0,9.0,-25.5,8.5,-117.82555701788827,35.816496945792906
94,1,38,-26.0,-25.0,9.0,10.0,-25.5,9.5,-117.82558889360105,35.82550949141201
95,1,39,-26.0,-25.0,10.0,11.0,-25.5,10.5,-117.82562078115689,35.83452202346902
96,1,40,-26.0,-25.0,11.0,12.0,-25.5,11.5,-117.82565268056136,35.84353454196254
97,1,41,-26.0,-25.0,12.0,13.0,-25.5,12.5,-117.82568459182006,35.852547046891154
98,1,42,-26.0,-25.0,13.0,14.0,-25.5,13.5,-117.8257165149386,35.86155953825348
99,1,43,-26.0,-25.0,14.0,15.0,-25.5,14.5,-117.82574844992251,35.87057201604815
100,1,44,-26.0,-25.0,15.0,16.0,-25.5,15.5,-117.82578039677749,35.879584480273756
101,1,45,-26.0,-25.0,16.0,17.0,-25.5,16.5,-117.82581235550904,35.888596930928905
102,1,46,-26.0,-25.0,17.0,18.0,-25.5,17.5,-117.82584432612283,35.89760936801222
103,1,47,-26.0,-25.0,18.0,19.0,-25.5,18.5,-117.82587630862442,35.9066217915223
104,1,48,-26.0,-25.0,19.0,20.0,-25.5,19.5,-117.82590830301943,35.91563420145778
105,1,49,-26.0,-25.0,20.0,21.0,-25.5,20.5,-117.82594030931352,35.924646597817265
106,1,50,-26.0,-25.0,21.0,22.0,-25.5,21.5,-117.8259723275123,35.933658980599375
107,1,51,-26.0,-25.0,22.0,23.0,-25.5,22.5,-117.82600435762134,35.94267134980274
108,1,52,-26.0,-25.0,23.0,24.0,-25.5,23.5,-117.82603639964631,35.951683705425964
109,1,53,-26.0,-25.0,24.0,25.0,-25.5,24.5,-117.82606845359287,35.960696047467685
