event_code,origin_time,latitude,longitude,depth_km,mag_1,mag_2,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_hypo_stations,n_mech_stations,has_geometry,has_mechanism_core
J2025111811054928,2025-11-18 02:05:49.280000+00:00,39.23016666666667,142.47933333333333,27.38,4.3,4.0,,,,,,,,,,,,,,38,,False,False
J2025111812033664,2025-11-18 03:03:36.640000+00:00,38.538,141.73033333333333,52.82,3.6,,96.0,17.0,286.0,73.0,187.0,3.0,182.0,28.0,84.0,8.0,62.0,93.0,96.0,39,115.0,True,True
J2025111817212096,2025-11-18 08:21:20.960000+00:00,40.934333333333335,142.6225,44.62,4.8,4.6,,,,,,,,,,,,,,39,,False,False
J2025112216221647,2025-11-22 07:22:16.470000+00:00,42.034333333333336,142.603,64.37,3.5,,115.0,15.0,295.0,75.0,25.0,0.0,205.0,30.0,90.0,25.0,60.0,90.0,99.0,40,78.0,True,True
J2025112312374483,2025-11-23 03:37:44.830000+00:00,39.44883333333333,142.58466666666666,29.81,4.2,4.0,,,,,,,,,,,,,,39,,False,False
J2025112419095167,2025-11-24 10:09:51.670000+00:00,38.88966666666666,141.96933333333334,48.8,3.7,3.6,110.0,25.0,302.0,65.0,202.0,5.0,190.0,21.0,77.0,24.0,70.0,95.0,100.0,40,139.0,True,True
J2025112512175877,2025-11-25 03:17:58.770000+00:00,38.623333333333335,141.89733333333334,46.62,3.7,,114.0,26.0,310.0,63.0,207.0,6.0,189.0,20.0,71.0,29.0,71.0,97.0,98.0,40,147.0,True,True
J2025112520430470,2025-11-25 11:43:04.700000+00:00,39.4495,142.58833333333334,29.74,3.5,,,,,,,,,,,,,,,39,,False,False
J2025112701435693,2025-11-26 16:43:56.930000+00:00,42.46033333333333,144.3235,74.05,4.6,4.7,212.0,41.0,346.0,39.0,98.0,25.0,11.0,25.0,-177.0,279.0,89.0,-65.0,90.0,34,144.0,True,True
J2025113008033829,2025-11-29 23:03:38.290000+00:00,40.60683333333333,141.96916666666667,61.29,3.5,,287.0,12.0,184.0,46.0,28.0,41.0,338.0,49.0,29.0,228.0,69.0,135.0,94.0,39,118.0,True,True
