source_file,raw_time,origin_time,latitude,longitude,depth_km,magnitude,event_id,has_origin_time,has_location,has_depth,has_magnitude,flag_time_parse_failed,flag_missing_location,flag_missing_depth,flag_missing_magnitude,flag_lat_out_of_bounds,flag_lon_out_of_bounds,flag_depth_out_of_bounds,flag_mag_out_of_bounds,flag_any_quality_issue,quality_status,duplicate_signature,flag_exact_duplicate_signature,origin_time_naive,year,month,day
Snet_catalog_relocate.csv,2025-06-01T19:30:56.480000Z,2025-06-01 19:30:56.480000+00:00,41.714693,143.738623,18.56,1.8,CAT_000015,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748806256000000000|41.7147|143.7386|18.56|1.8,False,2025-06-01 19:30:56.480,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T20:00:55.120000Z,2025-06-01 20:00:55.120000+00:00,41.712712,143.714339,18.63,1.7,CAT_000016,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748808055000000000|41.7127|143.7143|18.63|1.7,False,2025-06-01 20:00:55.120,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T21:03:08.200000Z,2025-06-01 21:03:08.200000+00:00,41.473584,142.998861,28.04,1.0,CAT_000017,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748811788000000000|41.4736|142.9989|28.04|1.0,False,2025-06-01 21:03:08.200,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T21:19:22.280000Z,2025-06-01 21:19:22.280000+00:00,41.692607,143.753174,5.33,1.8,CAT_000018,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748812762000000000|41.6926|143.7532|5.33|1.8,False,2025-06-01 21:19:22.280,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T21:40:21.800000Z,2025-06-01 21:40:21.800000+00:00,41.702747,143.755566,21.93,1.6,CAT_000019,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748814022000000000|41.7027|143.7556|21.93|1.6,False,2025-06-01 21:40:21.800,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T21:41:45.580000Z,2025-06-01 21:41:45.580000+00:00,41.705265,143.738965,3.2,1.6,CAT_000020,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748814106000000000|41.7053|143.739|3.2|1.6,False,2025-06-01 21:41:45.580,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T22:16:07.640000Z,2025-06-01 22:16:07.640000+00:00,41.068058,142.835938,22.9,1.6,CAT_000021,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748816168000000000|41.0681|142.8359|22.9|1.6,False,2025-06-01 22:16:07.640,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-01T22:52:52.120000Z,2025-06-01 22:52:52.120000+00:00,41.069954,142.834961,23.64,1.5,CAT_000022,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748818372000000000|41.07|142.835|23.64|1.5,False,2025-06-01 22:52:52.120,2025,2025-06,2025-06-01
Snet_catalog_relocate.csv,2025-06-02T01:13:07.830000Z,2025-06-02 01:13:07.830000+00:00,40.13822,141.139909,8.81,0.6,CAT_000023,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748826788000000000|40.1382|141.1399|8.81|0.6,False,2025-06-02 01:13:07.830,2025,2025-06,2025-06-02
Snet_catalog_relocate.csv,2025-06-02T01:22:05.800000Z,2025-06-02 01:22:05.800000+00:00,41.698344,143.758561,16.54,3.1,CAT_000024,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1748827326000000000|41.6983|143.7586|16.54|3.1,False,2025-06-02 01:22:05.800,2025,2025-06,2025-06-02
