line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg
0,0,0,1,0.9645198299590098,0.9572170990547523,-17.025110378225772,-6.818094387366263,-16.990584476159345,-7.774688625697905,-17.00784742719256,-7.296391506532084,-117.73145447500002,35.678623029999905,-117.73105289800002,35.670002033,-117.73125367534534,35.67431253322467,0.0,0.9645198299590098,0.4822599149795049,272.0670521397137,177.93294786028628
1,0,1,1,0.43121367302143193,0.42619164086789624,-5.527241391151216,4.125606586506087,-5.6093899975798385,4.543806205357545,-5.568315694365527,4.334706395931816,-117.604520956277,35.77738732916201,-117.605432442,35.78115595800009,-117.60497668836584,35.779271644743446,0.0,0.43121367302143193,0.21560683651071597,101.11333770608098,168.88666229391902
2,0,2,1,0.5599341956561594,0.55319222898617,-14.12187124072723,-7.038398372886427,-14.096097864302543,-7.590989881397332,-14.108984552514887,-7.3146941271418795,-117.699380618278,35.67668334072971,-117.699086247,35.6717033080001,-117.69923342796724,35.674193324974766,0.0,0.5599341956561594,0.2799670978280797,272.67039263043887,177.32960736956116
3,0,3,1,0.31646410187068885,0.3144074041389005,-2.6835002841030016,-13.403829679434153,-2.524629980346992,-13.132513918075114,-2.6040651322249966,-13.268171798754633,-117.573010848572,35.619410060525915,-117.571258065407,35.62185582348751,-117.5721344703404,35.62063294532261,0.0,0.31646410187068885,0.15823205093534443,59.64867974564527,30.35132025435476
4,0,4,1,0.05875430422330223,0.05875430422330223,-2.6875418499443198,-13.438258182776355,-2.704694612477647,-13.494452942338432,-2.6961182312109835,-13.466355562557393,-117.573055345228,35.61909974855462,-117.573244490641,35.61859322339859,-117.57314991823277,35.61884648601908,0.0,0.05875430422330223,0.029377152111651116,253.02583168903547,16.97416831096453
5,0,5,1,0.5996145961487789,0.5978120861413911,-4.202898750040805,-13.606985485478939,-3.648966924292296,-13.382177072025069,-3.9259328371665507,-13.494581278752005,-117.58978111920301,35.61757373484011,-117.583667900253,35.619602116144804,-117.58672454835165,35.618587964416996,0.0,0.5996145961487789,0.29980729807438944,22.089346013784564,67.91065398621544
6,0,6,1,0.046964175975583104,0.046964175975583104,-14.337816341061908,17.50567970950798,-14.313687393701644,17.545971491850676,-14.325751867381776,17.525825600679326,-117.70220523688198,35.8978871213936,-117.701938692217,35.8982506021836,-117.70207196485322,35.89806886186486,0.0,0.046964175975583104,0.023482087987791552,59.08449321947364,30.91550678052633
7,0,7,1,0.04759184091534522,0.04759184091534522,-11.360077146366423,12.276625500996271,-11.381829029867149,12.318955618948888,-11.370953088116785,12.29779055997258,-117.66914743010999,35.8507991820367,-117.669388828831,35.851180432530995,-117.6692681291814,35.850989807347595,0.0,0.04759184091534522,0.02379592045767261,117.19695674407103,152.80304325592897
8,0,8,1,0.049225294116341016,0.049225294116341016,-6.604879652322267,-15.154976484443388,-6.609144397701743,-15.105936281265908,-6.607012025012005,-15.130456382854648,-117.616281233292,35.6036086664069,-117.616328700409,35.6040506337298,-117.61630496678481,35.60382965007477,0.0,0.049225294116341016,0.024612647058170508,94.97018123386295,175.02981876613705
9,0,9,1,0.058762663209593405,0.05876266320959341,6.792580064537684,-10.798701234069048,6.782762963131355,-10.856638054032366,6.787671513834519,-10.827669644050708,-117.468390623129,35.6428700641022,-117.468499504948,35.6423479545945,-117.46844506421624,35.6426090093664,0.0,0.058762663209593405,0.029381331604796702,260.38286642452476,9.617133575475265
