line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg,first_associated_event_time,first_associated_event_elapsed_minutes,total_associated_events,activated,activation_bin,activation_minutes,activation_hours,peak_count,peak_rate_events_per_hour,peak_bin,peak_bin_start_minutes,max_cumulative_count,first_associated_event_elapsed_hours,activation_delay_from_first_event_minutes,activation_delay_from_first_event_hours,activation_threshold_count_per_bin,activation_threshold_rate_per_hour,ever_associated,rank_position,bin_start_minutes
51,0,51,1,0.06531623413243257,0.06531623413243257,-1.7494264197007219,-0.2540235862315916,-1.7872283684696149,-0.20075799592681098,-1.7683273940851683,-0.2273907910792013,-117.56272900034301,35.73792899972361,-117.56314699983402,35.7384090002752,-117.56293799946121,35.738169000185785,0.0,0.06531623413243257,0.03265811706621628,125.36286399590023,144.63713600409977,2019-07-04 18:27:59.180000+00:00,54.169,80,True,40.0,1200.0,20.0,6.0,12.0,42.0,1260.0,80.0,0.9028166666666666,1145.831,19.09718333333333,5,10.0,True,0,1200.0
614,0,627,2,1.0295218612125578,0.5143044344698714,-7.699171738805297,-17.891186446693737,-7.315419709543025,-17.548778165029198,-7.507295724174161,-17.719982305861468,-117.628331713024,35.57893942567689,-117.62410104106894,35.58202845549049,-117.62621641769323,35.58048395937277,0.0,0.5147609306062789,0.25738046530313946,41.74139771294966,48.25860228705033,2019-07-04 17:42:21.480000+00:00,8.540666666666668,146,True,28.0,840.0,14.0,6.0,12.0,28.0,840.0,146.0,0.14234444444444447,831.4593333333333,13.857655555555557,5,10.0,True,0,840.0
642,0,669,2,1.4005805269292515,0.6979880280610417,4.32963151177067,-4.977687172082378,4.920882881695079,-5.3486441842536685,4.625257196732875,-5.163165678168023,-117.49555363137,35.695347778268,-117.48902340239076,35.69200164322799,-117.49228844867724,35.6936747552759,0.0,0.7002902634646258,0.3501451317323129,327.8954294926979,122.10457050730213,2019-07-04 18:00:12.420000+00:00,26.389666666666667,55,True,11.0,330.0,5.5,5.0,10.0,11.0,330.0,55.0,0.43982777777777776,303.61033333333336,5.0601722222222225,5,10.0,True,0,330.0
642,1,670,2,1.4005805269292515,0.6999186645715342,4.920882881695079,-5.3486441842536685,5.475617963154059,-5.775440536644711,5.19825042242457,-5.5620423604491895,-117.48902340239076,35.69200164322799,-117.48289751920198,35.688152086567115,-117.48596038720413,35.690076904179634,0.7002902634646258,1.4005805269292515,1.0504353951969385,322.4264080239544,127.5735919760456,2019-07-04 17:39:34.940000+00:00,5.765,252,True,0.0,0.0,0.0,9.0,18.0,16.0,480.0,252.0,0.09608333333333333,-5.765,-0.09608333333333333,5,10.0,True,1,0.0
665,0,697,1,0.18771821968004274,0.1873978677706846,4.97639295071853,-2.9487542103710633,4.9124683453406055,-3.12491211020038,4.944430648029568,-3.0368331602857217,-117.48839526323101,35.71363105013291,-117.48910277877002,35.712043700856206,-117.48874902451209,35.712837376068165,0.0,0.18771821968004274,0.09385910984002137,250.05505539341493,19.944944606585068,2019-07-04 17:38:21.200000+00:00,4.5360000000000005,187,True,1.0,30.0,0.5,9.0,18.0,8.0,240.0,187.0,0.07560000000000001,25.464,0.4244,5,10.0,True,0,30.0
678,0,711,1,0.715090962872505,0.7134495083798987,3.00181209078355,-7.6068590484973155,3.388708732250031,-7.007424990548089,3.1952604115167906,-7.307142019522702,-117.51023398610998,35.67165648415949,-117.505958060389,35.677057825184804,-117.50809609533883,35.67435717429394,0.0,0.715090962872505,0.3575454814362525,57.16032416946143,32.83967583053857,2019-07-04 17:54:03.360000+00:00,20.238666666666667,65,True,29.0,870.0,14.5,5.0,10.0,29.0,870.0,65.0,0.3373111111111111,849.7613333333334,14.162688888888889,5,10.0,True,0,870.0
727,0,762,1,0.7783441255880003,0.7759739667452937,-2.747221575408942,0.5933246073396422,-3.1884527191380356,1.2316432384870826,-2.967837147273489,0.9124839229133623,-117.573762007311,35.7455636377517,-117.578642590283,35.751315291467606,-117.57620221099378,35.74843949006057,0.0,0.7783441255880003,0.38917206279400013,124.65376528309599,145.346234716904,2019-07-05 04:25:29.750000+00:00,651.6785,89,True,35.0,1050.0,17.5,11.0,22.0,36.0,1080.0,89.0,10.861308333333334,398.3215,6.638691666666667,5,10.0,True,0,1050.0
766,0,803,1,0.9537745452759391,0.9489117441561681,-1.582453591202214,-0.5366260251016948,-0.9303121889518446,-1.225933713778111,-1.2563828900770293,-0.8812798694399029,-117.56088264541799,35.735382261782,-117.553672991915,35.729170542786406,-117.55727767868326,35.73227645710282,0.0,0.9537745452759391,0.47688727263796954,313.4129649510563,136.5870350489437,2019-07-04 17:37:55.240000+00:00,4.1033333333333335,114,True,49.0,1470.0,24.5,5.0,10.0,49.0,1470.0,114.0,0.06838888888888889,1465.8966666666668,24.431611111111113,5,10.0,True,0,1470.0
780,0,817,1,0.498525183663341,0.4968199867986831,-2.8646305366484834,0.8564553506736002,-2.4633332769491134,0.5635550115812392,-2.6639819067987984,0.7100051811274197,-117.575060965591,35.7479348262313,-117.570623378766,35.7452960840471,-117.57284213556066,35.746615475748264,0.0,0.498525183663341,0.2492625918316705,323.8749021191316,126.1250978808684,2019-07-04 23:13:04.780000+00:00,339.26233333333334,76,True,35.0,1050.0,17.5,10.0,20.0,35.0,1050.0,76.0,5.654372222222222,710.7376666666667,11.845627777777777,5,10.0,True,0,1050.0
824,0,863,1,0.5151206804552831,0.5149922768374449,-3.538711329473663,1.6673763533842443,-3.2230694258412402,1.2604522402212177,-3.380890377657452,1.463914296802731,-117.58251708729401,35.75524122969901,-117.579025439772,35.751574825917515,-117.58077122348499,35.753408040761734,0.0,0.5151206804552831,0.25756034022764157,307.7999302440528,142.2000697559472,2019-07-04 23:32:27.480000+00:00,358.6406666666666,69,True,35.0,1050.0,17.5,8.0,16.0,36.0,1080.0,69.0,5.9773444444444435,691.3593333333333,11.522655555555556,5,10.0,True,0,1050.0
