event_id,event_time,latitude,longitude,depth_km,magnitude,x_km,y_km,elapsed_minutes,elapsed_hours,time_bin,nearest_line_id,nearest_segment_id,global_segment_id,segment_strike_deg,segment_mid_x_km,segment_mid_y_km,distance_to_segment_km,along_line_position_km,assigned_to_segment
39,2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,3.5798260226943857,-3.870126047034857,0.0,0.0,0,465,0,471,44.92375007975284,3.8140301173827424,-4.279296526942842,0.45476947375940846,0.30794136746312006,True
40,2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,-0.8768379091163004,-11.00587875601477,1.204,0.0200666666666666,0,771,0,808,67.28744134199215,-0.6582897892820165,-11.422126062700793,0.4683520076366085,0.14508790288981094,True
41,2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,3.6985410190049888,-5.526967622530053,2.0466666666666664,0.0341111111111111,0,454,0,460,27.977837763183743,3.8234225967365494,-5.758726959294603,0.21934345231001665,0.0,True
43,2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,-3.760777149990347,1.4360794479402688,3.172,0.0528666666666666,0,248,0,251,143.6807393522355,-3.785900751944877,1.9916395457766707,0.30880657421168656,0.028739896581068517,True
44,2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,2.458981587896761,-8.347379850100307,3.427333333333333,0.0571222222222222,0,768,0,805,31.562763272857268,2.433029996760804,-8.34857365190881,0.02148762767487336,0.36878923379967277,True
45,2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,8.609033493998073,-7.261758565728295,3.605333333333333,0.0600888888888888,0,267,0,270,138.33247594299803,7.677606765479469,-8.95160627571295,1.9207725710907473,0.05363346437672907,True
46,2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,0.1107471560285074,0.3693445746959434,4.1033333333333335,0.0683888888888888,0,766,0,803,136.5870350489437,-1.2563828900770293,-0.8812798694399029,1.8526035131451715,0.5055410183185275,True
47,2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,6.720858213712023,-2.8968164593285044,4.5360000000000005,0.0756,0,665,0,697,19.944944606585068,4.944430648029568,-3.0368331602857217,1.745238259887261,0.0,True
48,2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,-0.2467528058229799,-7.622639663361466,4.956,0.0826,0,906,0,946,53.19946667711609,-0.6126533421999718,-7.44048276235144,0.3896485047758379,0.09519907654547428,True
49,2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,5.544823253348147,-6.000110261545339,5.765,0.0960833333333333,0,642,1,670,127.5735919760456,5.19825042242457,-5.5620423604491895,0.23508691473106735,1.40020892803616,True
50,2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,-1.596573893016504,-1.7795820011009276,6.215333333333334,0.1035888888888889,0,56,0,56,162.64176435083937,-1.6904332523035062,-1.3761688430378198,0.3527149422250295,0.0,True
53,2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,-3.4745680216785964,-14.23772172291935,7.905333333333333,0.1317555555555555,0,29,0,29,37.08219577001088,-3.3744986177944107,-14.18193861934715,0.046197515122151735,0.10167497806416621,True
54,2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,-8.08714433575665,-18.344370187211773,8.540666666666668,0.1423444444444444,0,614,0,627,48.25860228705033,-7.507295724174161,-17.719982305861468,0.5965720733114273,0.0,True
55,2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,-0.7652583127803032,-1.1746607308834205,9.079666666666666,0.1513277777777777,0,209,0,212,131.24048094587266,-0.8527152690272805,-1.295694075148306,0.14866439642082516,0.02351774100611396,True
56,2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,1.3031444096039788,-9.431077758891028,9.669333333333332,0.1611555555555555,0,189,0,191,44.278047777835866,1.3935928747654804,-9.641708636519578,0.21180756436789225,0.4004487873812915,True
