event_id,event_time,latitude,longitude,depth_km,magnitude,x_km,y_km,elapsed_minutes,elapsed_hours,time_bin,nearest_line_id,nearest_segment_id,global_segment_id,segment_strike_deg,segment_mid_x_km,segment_mid_y_km,distance_to_segment_km,along_line_position_km,assigned_to_segment
90,2019-07-04 17:57:42.640000+00:00,35.69472479518505,-117.4106021352759,5.72415446,3.02,12.018613874943728,-5.039732606391195,23.89333333333333,0.3982222222222222,0,919,0,959,73.76712912982178,14.801169849538997,-8.019845483427313,4.052028944414507,0.0,False
92,2019-07-04 17:58:55.600000+00:00,35.66505779518505,-117.77025999666456,1.093442,2.03,-20.541570151771143,-8.31576902491973,25.10933333333333,0.4184888888888888,0,0,0,0,177.93294786028628,-17.00784742719256,-7.296391506532084,3.591972614987791,0.9572170990547523,False
100,2019-07-04 18:01:25.720000+00:00,35.83912979518505,-117.52085058988035,1.18779821,3.53,2.0363566926719683,10.974781018447832,27.61133333333333,0.4601888888888889,0,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,8.53354513931218,0.0,False
165,2019-07-04 18:30:31.680000+00:00,35.72243079518505,-117.64523213535487,2.79185378,1.64,-9.214530720703149,-1.9690011391045672,56.71066666666666,0.9451777777777776,1,724,0,759,14.144824623228232,-6.520704944853335,1.8027498070969337,4.573444209618047,0.0,False
166,2019-07-04 18:30:46.020000+00:00,35.68930479518505,-117.6418277443293,3.00959888,2.02,-8.910192804830865,-5.644762450601418,56.949666666666666,0.9491611111111112,1,445,0,451,22.077260247861147,-9.919193494296607,-9.929534584351568,4.380529096035022,0.0,False
298,2019-07-04 19:30:47.960000+00:00,35.60403479518505,-117.67123260752234,9.78147149,1.26,-11.584114529518216,-15.10260757026462,116.982,1.9497,3,613,2,626,27.34843217325124,-8.834131384973718,-16.86552983551703,3.252502818661186,2.5527554708785463,False
310,2019-07-04 19:35:02.080000+00:00,35.78298979518505,-117.52112351660908,1.06440932,2.25,2.0131143274898027,4.745733552850546,121.21733333333331,2.020288888888889,4,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,5.926820361292441,0.5057688487279585,False
442,2019-07-04 20:30:19.440000+00:00,35.695326795185046,-117.59124217870482,8.997589130000001,1.64,-4.33106360382854,-4.98001461790116,176.50666666666666,2.941777777777778,5,180,0,182,153.07332080249824,-1.6592544423769136,-3.376319315438125,3.1141127766694843,0.0,False
495,2019-07-04 20:53:22.480000+00:00,35.80272879518505,-117.51015494749716,1.6740956000000002,1.56,3.0040407031851863,6.9361581686770855,199.55733333333333,3.3259555555555558,6,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,7.256286939322638,0.5057688487279585,False
519,2019-07-04 21:02:26.340000+00:00,35.58776679518505,-117.70708743966038,2.3273309,1.27,-14.836006331599444,-16.902743358082503,208.62166666666664,3.4770277777777774,6,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,4.668618140130002,0.0,False
599,2019-07-04 21:38:21.620000+00:00,35.69080179518505,-117.433949852298,2.68298123,1.01,9.905901008198342,-5.477610611177451,244.543,4.075716666666667,8,648,0,676,113.1462319491395,8.054463192526084,-9.116235020341005,4.073493640621785,0.6575399326966765,False
603,2019-07-04 21:39:39.840000+00:00,35.62660979518505,-117.71508122971164,7.669344020000001,1.05,-15.552960857235943,-12.591810351136289,245.84666666666664,4.097444444444444,8,702,0,737,178.3064949073442,-13.528816692979248,-9.113301890773844,3.9536544029292786,0.16763070972651792,False
631,2019-07-04 21:51:41.680000+00:00,35.68306679518505,-117.60640229450954,8.09757605,1.29,-5.70406688124655,-6.339526232575539,257.8773333333333,4.297955555555555,8,284,0,288,41.356398730929705,-2.8093479848052514,-8.356789852373481,3.515754058606641,0.0,False
661,2019-07-04 22:04:37.600000+00:00,35.623809795185046,-117.70857102841164,2.3999126,1.19,-14.96374523155114,-12.90348772810373,270.8093333333333,4.513488888888888,9,702,0,737,178.3064949073442,-13.528816692979248,-9.113301890773844,3.975372709815527,0.16763070972651792,False
684,2019-07-04 22:16:59.020000+00:00,35.59106679518505,-117.69313867648796,1.76119364,1.31,-13.571264200133628,-16.538621211363175,283.16633333333334,4.719438888888889,9,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,3.665385755182831,0.0,False
747,2019-07-04 22:46:59.460000+00:00,35.71381279518505,-117.44108851293362,1.8918407,1.32,9.25708908380414,-2.9251574237570166,313.17366666666663,5.21956111111111,10,665,0,697,19.944944606585068,4.944430648029568,-3.0368331602857217,4.280761169716502,0.0,False
755,2019-07-04 22:50:38.720000+00:00,35.60710679518505,-117.71949082816316,0.57085376,0.87,-15.956288962555462,-14.75499681211251,316.82800000000003,5.280466666666667,10,702,0,737,178.3064949073442,-13.528816692979248,-9.113301890773844,6.065895285833145,0.16763070972651792,False
849,2019-07-04 23:29:29.020000+00:00,35.61733179518505,-117.71147556279637,10.33309241,2.13,-15.228095919318454,-13.621787739909117,355.66633333333334,5.927772222222222,11,702,0,737,178.3064949073442,-13.528816692979248,-9.113301890773844,4.7406758136829605,0.16763070972651792,False
862,2019-07-04 23:36:27.640000+00:00,35.56438179518505,-117.75599476251914,6.283033550000001,1.69,-19.27411164984636,-19.48884247623226,362.6433333333333,6.044055555555556,12,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,8.92621175467373,0.0,False
893,2019-07-04 23:49:27.920000+00:00,35.62412279518505,-117.71098005091272,3.00234071,1.09,-15.181919087330352,-12.868389926673386,375.648,6.260800000000001,12,702,0,737,178.3064949073442,-13.528816692979248,-9.113301890773844,4.027338451337,0.16763070972651792,False
896,2019-07-04 23:50:32.420000+00:00,35.74828879518505,-117.52855100449784,5.11446818,1.38,1.342177329897271,0.8953687822482183,376.723,6.278716666666667,12,209,0,212,131.24048094587266,-0.8527152690272805,-1.295694075148306,3.0990721116609388,0.07508450030233724,False
916,2019-07-04 23:59:11.600000+00:00,35.783152795185046,-117.5420545284193,4.29429497,1.04,0.1207398340549419,4.763591470758338,385.376,6.422933333333334,12,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,4.034485916659636,0.5057688487279585,False
929,2019-07-05 00:03:11.990000+00:00,35.68989079518505,-117.62630878659266,10.88471333,0.71,-7.505423968948704,-5.581041882094639,389.3825,6.489708333333334,12,445,0,451,22.077260247861147,-9.919193494296607,-9.929534584351568,4.951956595948336,0.0,False
944,2019-07-05 00:08:50.350000+00:00,35.57091679518505,-117.71041423100576,10.877455160000002,0.73,-15.140690396474085,-18.77176284748688,395.02183333333335,6.583697222222223,13,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,4.740785084072593,0.0,False
973,2019-07-05 00:23:18.840000+00:00,35.542580795185046,-117.74390020072325,1.53619037,1.23,-18.182585932660025,-21.90998353652998,409.4966666666666,6.824944444444444,13,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,8.523845850165396,0.0,False
979,2019-07-05 00:25:56.900000+00:00,35.53436879518505,-117.45845861286172,6.6822329,1.24,7.702504826387257,-22.836333882779453,412.131,6.86885,13,650,0,681,133.2540316963938,9.764162539812308,-19.02108720256031,4.274892765303487,0.5445475815494463,False
998,2019-07-05 00:34:30.790000+00:00,35.83493479518505,-117.44615128511911,9.4403375,1.77,8.785637796034763,10.51344453247576,420.6958333333333,7.011597222222222,14,845,0,885,23.295200616106555,4.909921750658841,-2.8004014197291647,13.660542851583951,0.4151024398071448,False
1016,2019-07-05 00:40:27.670000+00:00,35.570993795185046,-117.7008522365267,3.87332111,1.01,-14.273885898458277,-18.764651344441678,426.64383333333336,7.110730555555556,14,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,3.8765509801619795,0.0,False
1070,2019-07-05 01:02:47.710000+00:00,35.68608979518505,-117.4420225124796,14.412183950000005,1.15,9.17574972280382,-6.001207015610261,448.9778333333333,7.482963888888888,14,267,0,270,138.33247594299803,7.677606765479469,-8.95160627571295,3.2992752418827633,0.05363346437672907,False
1073,2019-07-05 01:03:48.340000+00:00,35.78525979518505,-117.54158268109134,4.42494203,0.91,0.163395186922471,4.997374350825087,449.9883333333333,7.499805555555556,14,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,4.084866855260265,0.5057688487279585,False
1087,2019-07-05 01:10:13.700000+00:00,35.81633879518505,-117.58018293490416,4.170906080000001,1.25,-3.3250625139594097,8.446376980670472,456.411,7.60685,15,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,3.405055628163267,0.0,False
1122,2019-07-05 01:25:10.910000+00:00,35.60121479518505,-117.7090004050104,4.947530270000001,0.85,-15.00686627295772,-15.41037764353543,471.3645,7.856075,15,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,5.480499135559435,0.0,False
1188,2019-07-05 01:55:00.840000+00:00,35.52501079518505,-117.59533094325349,9.20081789,1.25,-4.711119715785157,-23.87669074971056,501.19666666666666,8.353277777777778,16,856,0,896,28.300665156718743,-1.5492492405325082,-18.9154859408394,5.724842195827417,0.0,False
1239,2019-07-05 02:15:19.430000+00:00,35.55132879518505,-117.71139782721691,0.66520997,1.35,-15.233564600027025,-20.94491563325991,521.5065,8.691775,17,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,5.449276323133054,0.0,False
1245,2019-07-05 02:18:13.810000+00:00,35.50675279518505,-117.79240063769927,2.32007273,1.02,-22.59073070832916,-25.8750418384252,524.4128333333333,8.740213888888889,17,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,14.28708203361123,0.0,False
1293,2019-07-05 02:38:25.500000+00:00,35.71707179518505,-117.40945674827854,9.03387998,0.87,12.118899038312724,-2.560113363973604,544.6076666666667,9.076794444444443,18,919,0,959,73.76712912982178,14.801169849538997,-8.019845483427313,6.073531898550106,0.0,False
1298,2019-07-05 02:40:06.430000+00:00,35.79604279518505,-117.54958246267012,3.99671,0.77,-0.5597694854776537,6.193819630766264,546.2898333333334,9.104830555555557,18,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,3.6532434343763724,0.5057688487279585,False
1323,2019-07-05 02:48:47.250000+00:00,35.54437479518505,-117.70766232917968,2.9007263300000004,0.98,-14.89614885324924,-21.71703881909393,554.9701666666666,9.249502777777776,18,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,5.574997331937984,0.0,False
1378,2019-07-05 03:08:37.650000+00:00,35.80216279518505,-117.51919590644818,4.93301393,0.75,2.186864539428876,6.873118103560452,574.8101666666666,9.580169444444444,19,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,6.4609002164054665,0.5057688487279585,False
1407,2019-07-05 03:22:53.520000+00:00,35.79933879518505,-117.5108057016555,11.82827543,0.97,2.945345589869901,6.559999908414268,589.0746666666668,9.817911111111112,19,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,7.094968814409811,0.5057688487279585,False
1422,2019-07-05 03:29:13.660000+00:00,35.72009479518505,-117.64937396661486,4.468491050000001,0.81,-9.589557504714673,-2.2277923262200163,595.4103333333334,9.923505555555556,19,973,2,1015,1.1063565388642473,-13.902323217118937,-0.3741760777630888,4.548171160539525,2.6538899222503374,False
1459,2019-07-05 03:44:19.910000+00:00,35.55319679518505,-117.75142896103,0.5781119299999999,0.8,-18.86281464289509,-20.730712939344045,610.5145,10.175241666666668,20,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,8.76367920163624,0.0,False
