r_km,intervals_with_min_events,intervals_with_min_pairs,support_fraction,median_anisotropy
0.5,88,59,0.6704545454545454,1.4164776195512396
0.57,88,71,0.8068181818181818,1.3279339458333488
1.65,88,88,1.0,0.4867365719233707
3.0,88,88,1.0,0.4424047733450063
5.0,88,88,1.0,0.5444489019971088
8.0,88,88,1.0,0.7669144111079609
12.0,88,88,1.0,1.2820136831010032
