orientation_deg,weight
122.5,18.05888668658438
127.5,16.490533652031207
87.5,15.479924868654953
117.5,14.8169870596383
97.5,13.475622234967858
132.5,13.457267755142812
112.5,12.801656809991703
102.5,12.754866307399931
92.5,12.551411354349352
57.5,12.262121131261878
107.5,12.221205511050307
52.5,11.955290939991741
42.5,11.896099621504671
62.5,11.66881081405548
142.5,11.246059714575658
47.5,11.210216231481828
82.5,10.83040072761114
67.5,10.660256309683804
137.5,10.467214925889767
72.5,10.042835366135336
37.5,8.947166563498621
77.5,8.93777486581928
147.5,7.810573794231624
32.5,5.807350008464876
152.5,4.733355883712271
27.5,4.711000901209038
12.5,3.8322074653869613
22.5,3.3377102793530975
17.5,3.0245220592278867
157.5,2.727641525730504
7.5,2.398360536728736
162.5,2.2934526446528136
172.5,1.5938272113182517
167.5,1.422903512391753
2.5,1.4137062951294201
177.5,0.9852796075304632
