interval_id,r_km,azimuth_center_deg,K_value,L_value
0,0.5,2.5,38.96904398904792,3.0219642185639786
0,0.5,7.5,0.0,-0.5
0,0.5,12.5,0.0,-0.5
0,0.5,17.5,38.96904398904792,3.0219642185639786
0,0.5,22.5,38.96904398904792,3.0219642185639786
0,0.5,27.5,0.0,-0.5
0,0.5,32.5,38.96904398904792,3.0219642185639786
0,0.5,37.5,38.96904398904792,3.0219642185639786
0,0.5,42.5,38.96904398904792,3.0219642185639786
0,0.5,47.5,38.96904398904792,3.0219642185639786
0,0.5,52.5,38.96904398904792,3.0219642185639786
0,0.5,57.5,77.93808797809584,4.480809564085938
0,0.5,62.5,0.0,-0.5
0,0.5,67.5,0.0,-0.5
0,0.5,72.5,0.0,-0.5
0,0.5,77.5,0.0,-0.5
0,0.5,82.5,38.96904398904792,3.0219642185639786
0,0.5,87.5,38.96904398904792,3.0219642185639786
0,0.5,92.5,38.96904398904792,3.0219642185639786
0,0.5,97.5,0.0,-0.5
0,0.5,102.5,38.96904398904792,3.0219642185639786
0,0.5,107.5,38.96904398904792,3.0219642185639786
0,0.5,112.5,0.0,-0.5
0,0.5,117.5,0.0,-0.5
0,0.5,122.5,0.0,-0.5
0,0.5,127.5,0.0,-0.5
0,0.5,132.5,0.0,-0.5
0,0.5,137.5,0.0,-0.5
0,0.5,142.5,0.0,-0.5
0,0.5,147.5,116.90713196714375,5.600220968992429
0,0.5,152.5,38.96904398904792,3.0219642185639786
0,0.5,157.5,38.96904398904792,3.0219642185639786
0,0.5,162.5,0.0,-0.5
0,0.5,167.5,116.90713196714375,5.600220968992429
0,0.5,172.5,77.93808797809584,4.480809564085938
0,0.5,177.5,38.96904398904792,3.0219642185639786
0,0.57,2.5,38.96904398904792,2.9519642185639787
0,0.57,7.5,38.96904398904792,2.9519642185639787
0,0.57,12.5,0.0,-0.57
0,0.57,17.5,38.96904398904792,2.9519642185639787
0,0.57,22.5,38.96904398904792,2.9519642185639787
0,0.57,27.5,0.0,-0.57
0,0.57,32.5,38.96904398904792,2.9519642185639787
0,0.57,37.5,38.96904398904792,2.9519642185639787
0,0.57,42.5,38.96904398904792,2.9519642185639787
0,0.57,47.5,38.96904398904792,2.9519642185639787
0,0.57,52.5,77.93808797809584,4.4108095640859375
0,0.57,57.5,77.93808797809584,4.4108095640859375
0,0.57,62.5,0.0,-0.57
0,0.57,67.5,38.96904398904792,2.9519642185639787
0,0.57,72.5,0.0,-0.57
0,0.57,77.5,0.0,-0.57
0,0.57,82.5,38.96904398904792,2.9519642185639787
0,0.57,87.5,38.96904398904792,2.9519642185639787
0,0.57,92.5,38.96904398904792,2.9519642185639787
0,0.57,97.5,0.0,-0.57
0,0.57,102.5,38.96904398904792,2.9519642185639787
0,0.57,107.5,38.96904398904792,2.9519642185639787
0,0.57,112.5,38.96904398904792,2.9519642185639787
0,0.57,117.5,0.0,-0.57
0,0.57,122.5,0.0,-0.57
0,0.57,127.5,0.0,-0.57
0,0.57,132.5,38.96904398904792,2.9519642185639787
0,0.57,137.5,0.0,-0.57
0,0.57,142.5,77.93808797809584,4.4108095640859375
0,0.57,147.5,116.90713196714375,5.530220968992428
0,0.57,152.5,38.96904398904792,2.9519642185639787
0,0.57,157.5,38.96904398904792,2.9519642185639787
0,0.57,162.5,0.0,-0.57
0,0.57,167.5,155.87617595619167,6.473928437127957
0,0.57,172.5,77.93808797809584,4.4108095640859375
0,0.57,177.5,38.96904398904792,2.9519642185639787
0,1.65,2.5,272.7833079233354,7.668241448788223
0,1.65,7.5,116.90713196714375,4.450220968992429
0,1.65,12.5,116.90713196714375,4.450220968992429
0,1.65,17.5,116.90713196714375,4.450220968992429
0,1.65,22.5,194.8452199452396,6.225351407030983
0,1.65,27.5,38.96904398904792,1.8719642185639787
0,1.65,32.5,194.8452199452396,6.225351407030983
0,1.65,37.5,155.87617595619167,5.393928437127958
0,1.65,42.5,311.75235191238335,8.311619128171875
0,1.65,47.5,155.87617595619167,5.393928437127958
0,1.65,52.5,155.87617595619167,5.393928437127958
0,1.65,57.5,311.75235191238335,8.311619128171875
0,1.65,62.5,311.75235191238335,8.311619128171875
0,1.65,67.5,389.6904398904792,9.487428768277253
0,1.65,72.5,77.93808797809584,3.330809564085938
0,1.65,77.5,77.93808797809584,3.330809564085938
0,1.65,82.5,194.8452199452396,6.225351407030983
0,1.65,87.5,233.8142639342875,6.977015227821836
0,1.65,92.5,155.87617595619167,5.393928437127958
0,1.65,97.5,194.8452199452396,6.225351407030983
0,1.65,102.5,77.93808797809584,3.330809564085938
0,1.65,107.5,77.93808797809584,3.330809564085938
0,1.65,112.5,194.8452199452396,6.225351407030983
0,1.65,117.5,194.8452199452396,6.225351407030983
0,1.65,122.5,116.90713196714375,4.450220968992429
0,1.65,127.5,116.90713196714375,4.450220968992429
0,1.65,132.5,155.87617595619167,5.393928437127958
0,1.65,137.5,77.93808797809584,3.330809564085938
0,1.65,142.5,116.90713196714375,4.450220968992429
0,1.65,147.5,155.87617595619167,5.393928437127958
0,1.65,152.5,77.93808797809584,3.330809564085938
0,1.65,157.5,155.87617595619167,5.393928437127958
0,1.65,162.5,77.93808797809584,3.330809564085938
0,1.65,167.5,194.8452199452396,6.225351407030983
0,1.65,172.5,155.87617595619167,5.393928437127958
0,1.65,177.5,194.8452199452396,6.225351407030983
0,3.0,2.5,428.6594838795271,8.681033838033974
0,3.0,7.5,311.75235191238335,6.961619128171876
0,3.0,12.5,272.7833079233354,6.318241448788223
0,3.0,17.5,272.7833079233354,6.318241448788223
0,3.0,22.5,350.72139590143126,7.565892655691934
0,3.0,27.5,389.6904398904792,8.137428768277253
0,3.0,32.5,623.5047038247667,11.087856874255914
0,3.0,37.5,506.59757185762294,9.698622580381885
0,3.0,42.5,779.3808797809584,12.750702814061965
0,3.0,47.5,701.4427918028625,11.942428692257813
0,3.0,52.5,584.5356598357188,10.640508764436706
0,3.0,57.5,584.5356598357188,10.640508764436706
0,3.0,62.5,623.5047038247667,11.087856874255914
0,3.0,67.5,818.3499237700063,13.139667626495424
0,3.0,72.5,311.75235191238335,6.961619128171876
0,3.0,77.5,272.7833079233354,6.318241448788223
0,3.0,82.5,428.6594838795271,8.681033838033974
0,3.0,87.5,389.6904398904792,8.137428768277253
0,3.0,92.5,350.72139590143126,7.565892655691934
0,3.0,97.5,272.7833079233354,6.318241448788223
0,3.0,102.5,155.87617595619167,4.043928437127957
0,3.0,107.5,116.90713196714375,3.1002209689924287
0,3.0,112.5,389.6904398904792,8.137428768277253
0,3.0,117.5,350.72139590143126,7.565892655691934
0,3.0,122.5,389.6904398904792,8.137428768277253
0,3.0,127.5,311.75235191238335,6.961619128171876
0,3.0,132.5,389.6904398904792,8.137428768277253
0,3.0,137.5,311.75235191238335,6.961619128171876
0,3.0,142.5,428.6594838795271,8.681033838033974
0,3.0,147.5,233.8142639342875,5.627015227821836
0,3.0,152.5,233.8142639342875,5.627015227821836
0,3.0,157.5,350.72139590143126,7.565892655691934
0,3.0,162.5,194.8452199452396,4.8753514070309825
0,3.0,167.5,311.75235191238335,6.961619128171876
0,3.0,172.5,311.75235191238335,6.961619128171876
0,3.0,177.5,389.6904398904792,8.137428768277253
0,5.0,2.5,740.4118357919104,10.35188611148658
0,5.0,7.5,545.5666158466709,8.177983434343423
0,5.0,12.5,272.7833079233354,4.318241448788223
