ot,lat,lon,dep,mag,source_day,ot_utc
2019-07-04T17:11:36.577000Z,35.59934,-117.40548,0.0,0.7,20190704,2019-07-04T17:11:36.577000Z
2019-07-04T17:12:14.428000Z,35.71016,-117.49006,13.79,2.32,20190704,2019-07-04T17:12:14.428000Z
2019-07-04T17:12:37.707000Z,35.7121,-117.48831,12.8,1.74,20190704,2019-07-04T17:12:37.707000Z
2019-07-04T17:12:45.096000Z,35.69293,-117.49873,22.53,1.69,20190704,2019-07-04T17:12:45.096000Z
2019-07-04T17:13:25.651000Z,35.71114,-117.47771,12.78,0.76,20190704,2019-07-04T17:13:25.651000Z
2019-07-04T17:13:34.449000Z,35.72205,-117.46949,24.82,0.85,20190704,2019-07-04T17:13:34.449000Z
2019-07-04T17:13:51.317000Z,35.70957,-117.48309,13.63,0.88,20190704,2019-07-04T17:13:51.317000Z
2019-07-04T17:14:44.229000Z,35.72586,-117.45528,6.99,0.55,20190704,2019-07-04T17:14:44.229000Z
2019-07-04T17:15:05.087000Z,35.71578,-117.47604,10.39,0.37,20190704,2019-07-04T17:15:05.087000Z
2019-07-04T17:15:35.310000Z,35.72325,-117.4602,7.11,0.32,20190704,2019-07-04T17:15:35.310000Z
2019-07-04T17:15:46.571000Z,35.71101,-117.4909,13.82,1.5,20190704,2019-07-04T17:15:46.571000Z
2019-07-04T17:16:18.249000Z,35.71647,-117.48017,11.18,0.81,20190704,2019-07-04T17:16:18.249000Z
2019-07-04T17:16:50.394000Z,35.72973,-117.43242,4.36,0.38,20190704,2019-07-04T17:16:50.394000Z
2019-07-04T17:17:41.032000Z,35.73219,-117.43444,4.38,0.42,20190704,2019-07-04T17:17:41.032000Z
2019-07-04T17:18:07.196000Z,35.72622,-117.45592,9.18,0.54,20190704,2019-07-04T17:18:07.196000Z
2019-07-04T17:18:44.745000Z,35.73067,-117.43563,6.59,0.19,20190704,2019-07-04T17:18:44.745000Z
2019-07-04T17:19:28.750000Z,35.73053,-117.4338,5.19,0.14,20190704,2019-07-04T17:19:28.750000Z
2019-07-04T17:20:54.381000Z,35.73221,-117.43479,4.62,0.48,20190704,2019-07-04T17:20:54.381000Z
2019-07-04T17:21:36.694000Z,35.73079,-117.43184,4.68,0.26,20190704,2019-07-04T17:21:36.694000Z
2019-07-04T17:27:34.837000Z,35.71585,-117.48141,10.99,0.83,20190704,2019-07-04T17:27:34.837000Z
2019-07-04T17:30:34.680000Z,35.73266,-117.44337,4.81,0.62,20190704,2019-07-04T17:30:34.680000Z
2019-07-04T17:31:37.962000Z,35.71547,-117.47495,7.0,0.56,20190704,2019-07-04T17:31:37.962000Z
2019-07-04T17:31:51.970000Z,35.73338,-117.44475,5.82,0.73,20190704,2019-07-04T17:31:51.970000Z
2019-07-04T17:32:52.305000Z,35.71571,-117.47895,11.0,1.12,20190704,2019-07-04T17:32:52.305000Z
2019-07-04T17:33:48.363000Z,35.71169,-117.45879,15.36,5.45,20190704,2019-07-04T17:33:48.363000Z
2019-07-04T17:35:01.197000Z,35.65013,-117.54655,11.21,5.12,20190704,2019-07-04T17:35:01.197000Z
2019-07-04T17:35:51.977000Z,35.69373,-117.49494,4.19,4.68,20190704,2019-07-04T17:35:51.977000Z
2019-07-04T17:36:39.172000Z,35.77766,-117.51542,4.97,3.5,20190704,2019-07-04T17:36:39.172000Z
2019-07-04T17:36:59.626000Z,35.75838,-117.56155,0.06,3.92,20190704,2019-07-04T17:36:59.626000Z
2019-07-04T17:37:00.244000Z,35.69309,-117.42426,12.9,3.87,20190704,2019-07-04T17:37:00.244000Z
2019-07-04T17:37:14.734000Z,35.66375,-117.51137,4.92,4.39,20190704,2019-07-04T17:37:14.734000Z
2019-07-04T17:37:25.120000Z,35.68277,-117.44393,16.62,4.23,20190704,2019-07-04T17:37:25.120000Z
2019-07-04T17:37:55.315000Z,35.75225,-117.53379,7.16,4.05,20190704,2019-07-04T17:37:55.315000Z
2019-07-04T17:38:21.294000Z,35.72066,-117.46542,2.85,3.63,20190704,2019-07-04T17:38:21.294000Z
2019-07-04T17:38:46.414000Z,35.68064,-117.54018,14.61,3.67,20190704,2019-07-04T17:38:46.414000Z
2019-07-04T17:38:49.104000Z,35.44201,-116.98756,25.89,3.97,20190704,2019-07-04T17:38:49.104000Z
2019-07-04T17:39:02.999000Z,35.83664,-117.59398,0.0,3.52,20190704,2019-07-04T17:39:02.999000Z
2019-07-04T17:39:13.848000Z,35.63105,-117.5821,16.29,3.52,20190704,2019-07-04T17:39:13.848000Z
2019-07-04T17:39:34.842000Z,35.68628,-117.48162,13.06,4.04,20190704,2019-07-04T17:39:34.842000Z
2019-07-04T17:40:01.895000Z,35.73001,-117.55911,9.05,3.98,20190704,2019-07-04T17:40:01.895000Z
2019-07-04T17:40:17.941000Z,35.71038,-117.49561,13.46,4.55,20190704,2019-07-04T17:40:17.941000Z
2019-07-04T17:41:03.050000Z,35.69135,-117.48192,15.16,3.52,20190704,2019-07-04T17:41:03.050000Z
2019-07-04T17:41:21.035000Z,35.74589,-117.52663,5.21,3.46,20190704,2019-07-04T17:41:21.035000Z
