event_id,event_seq,source_day,original_ot_str,original_lat,original_lon,original_dep,original_mag,phase_file,batch_index,batch_label,original_ot,was_selected,hypodd_original_ot_str,hypodd_original_lat,hypodd_original_lon,hypodd_original_dep,hypodd_original_mag,hypodd_original_time_abs_diff_s,reloc_ot_str,reloc_lat,reloc_lon,reloc_dep,reloc_mag,reloc_time_abs_diff_s,was_relocated,horizontal_shift_km,depth_change_km,day
16,16,20190704,2019-07-04T06:18:24.980000Z,35.64616,-118.01302,30.0,1.06,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T06:18:24.980000Z,True,,,,,,,,,,,,,False,,,
17,17,20190704,2019-07-04T06:18:29.398000Z,35.97118,-117.59033,3.75,0.39,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T06:18:29.398000Z,True,,,,,,,,,,,,,False,,,
19,19,20190704,2019-07-04T06:57:32.834000Z,36.07583,-117.85793,1.63,0.14,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T06:57:32.834000Z,True,,,,,,,,,,,,,False,,,
20,20,20190704,2019-07-04T07:19:20.075000Z,36.11865,-117.55088,0.54,0.01,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T07:19:20.075000Z,True,,,,,,,,,,,,,False,,,
21,21,20190704,2019-07-04T08:00:13.776000Z,36.11456,-117.62993,0.95,0.06,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T08:00:13.776000Z,True,,,,,,,,,,,,,False,,,
22,22,20190704,2019-07-04T08:24:42.076000Z,36.12108,-117.63075,0.85,0.05,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T08:24:42.076000Z,True,,,,,,,,,,,,,False,,,
23,23,20190704,2019-07-04T08:41:33.861000Z,35.99277,-117.38067,7.26,0.27,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T08:41:33.861000Z,True,,,,,,,,,,,,,False,,,
24,24,20190704,2019-07-04T08:45:38.070000Z,36.06884,-117.64544,5.01,0.07,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T08:45:38.070000Z,True,,,,,,,,,,,,,False,,,
25,25,20190704,2019-07-04T09:53:15.203000Z,36.09334,-117.6306,5.66,-0.01,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T09:53:15.203000Z,True,,,,,,,,,,,,,False,,,
28,28,20190704,2019-07-04T15:21:18.170000Z,35.95132,-117.65899,2.8,-0.25,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T15:21:18.170000Z,True,,,,,,,,,,,,,False,,,
29,29,20190704,2019-07-04T15:26:18.867000Z,35.97795,-117.55729,3.4,-0.0,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T15:26:18.867000Z,True,,,,,,,,,,,,,False,,,
33,33,20190704,2019-07-04T16:11:51.634000Z,35.68016,-118.01319,30.0,0.8,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T16:11:51.634000Z,True,,,,,,,,,,,,,False,,,
34,34,20190704,2019-07-04T16:11:56.552000Z,35.74447,-118.01353,25.85,1.34,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T16:11:56.552000Z,True,,,,,,,,,,,,,False,,,
39,39,20190704,2019-07-04T17:04:02.243000Z,35.71543,-117.48261,9.85,2.02,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:04:02.243000Z,True,,,,,,,,,,,,,False,,,
40,40,20190704,2019-07-04T17:05:01.489000Z,35.67299,-117.58835,3.38,1.22,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:05:01.489000Z,True,,,,,,,,,,,,,False,,,
41,41,20190704,2019-07-04T17:05:04.399000Z,35.78141,-117.33859,8.46,1.42,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:05:04.399000Z,True,,,,,,,,,,,,,False,,,
42,42,20190704,2019-07-04T17:05:48.340000Z,35.52396,-117.60981,0.0,1.17,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:05:48.340000Z,True,2019-07-04T17:05:48.340000Z,35.523998,-117.609802,1.0,1.17,0.0,,,,,,,False,,,
43,43,20190704,2019-07-04T17:05:48.600000Z,35.81287,-117.65996,15.19,0.92,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:05:48.600000Z,True,,,,,,,,,,,,,False,,,
44,44,20190704,2019-07-04T17:06:03.177000Z,35.73056,-117.44098,7.28,0.87,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:06:03.177000Z,True,,,,,,,,,,,,,False,,,
50,50,20190704,2019-07-04T17:10:29.748000Z,35.92971,-117.64591,3.9,0.04,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:10:29.748000Z,True,,,,,,,,,,,,,False,,,
52,52,20190704,2019-07-04T17:11:36.116000Z,35.61961,-117.75688,0.27,0.96,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:11:36.116000Z,True,2019-07-04T17:11:36.560000Z,35.5993,-117.405502,1.0,0.7,0.444,,,,,,,False,,,
53,53,20190704,2019-07-04T17:11:36.577000Z,35.59934,-117.40548,0.0,0.7,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:11:36.577000Z,True,,,,,,,,,,,,,False,,,
56,56,20190704,2019-07-04T17:12:45.096000Z,35.69293,-117.49873,22.53,1.69,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:12:45.096000Z,True,,,,,,,,,,,,,False,,,
58,58,20190704,2019-07-04T17:13:34.449000Z,35.72205,-117.46949,24.82,0.85,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:13:34.449000Z,True,,,,,,,,,,,,,False,,,
62,62,20190704,2019-07-04T17:15:35.310000Z,35.72325,-117.4602,7.11,0.32,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:15:35.310000Z,True,,,,,,,,,,,,,False,,,
69,69,20190704,2019-07-04T17:19:28.750000Z,35.73053,-117.4338,5.19,0.14,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:19:28.750000Z,True,,,,,,,,,,,,,False,,,
71,71,20190704,2019-07-04T17:21:36.694000Z,35.73079,-117.43184,4.68,0.26,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:21:36.694000Z,True,,,,,,,,,,,,,False,,,
82,82,20190704,2019-07-04T17:37:00.244000Z,35.69309,-117.42426,12.9,3.87,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:37:00.244000Z,True,,,,,,,,,,,,,False,,,
88,88,20190704,2019-07-04T17:38:49.104000Z,35.44201,-116.98756,25.89,3.97,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:38:49.104000Z,True,,,,,,,,,,,,,False,,,
89,89,20190704,2019-07-04T17:39:02.999000Z,35.83664,-117.59398,0.0,3.52,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:39:02.999000Z,True,,,,,,,,,,,,,False,,,
90,90,20190704,2019-07-04T17:39:13.848000Z,35.63105,-117.5821,16.29,3.52,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:39:13.848000Z,True,,,,,,,,,,,,,False,,,
94,94,20190704,2019-07-04T17:41:03.050000Z,35.69135,-117.48192,15.16,3.52,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190704.dat,1,day_20190704,2019-07-04T17:41:03.050000Z,True,,,,,,,,,,,,,False,,,
