mainshock,background_level,pre_activity,post_activity,burstiness_index,aftershock_decay_p,aftershock_decay_r2,spatial_concentration_q50,depth_structure_q50,median_magnitude,mechanism_overlap
M1,6.8,6.8,36.77777777777778,46.26829268292683,0.6383674259945586,0.913343338766479,19.40104045326473,11.54,1.7,0
M2,1.011111111111111,1.011111111111111,25.31111111111111,27.10769230769231,0.6437024855030238,0.956437260026316,25.222822478385623,41.555,1.3,0
M3,9.733333333333333,9.733333333333333,30.855555555555554,72.96153846153848,,,26.58538123566893,12.83,1.65,0
