datetime,lat,lon,dep,mag,time_rel_days,time_rel_sec,radial_distance_km,depth_rel_km,abs_depth_rel_km,is_post,is_pre,mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,sequence_id,mag_threshold_label
2025-08-25 03:41:33.800000+00:00,39.364351,143.61613,13.81,1.9,-76.18200740740741,-6582125.44,10.423342248210824,-2.1500000000000004,2.1500000000000004,False,True,M1,50.0,90.0,all,,323803,all
2025-08-25 03:44:27.930000+00:00,39.361967,143.608594,10.73,1.4,-76.17999201388888,-6581951.31,9.956157476423646,-5.23,5.23,False,True,M1,50.0,90.0,all,,323804,all
2025-08-25 06:30:21.820000+00:00,39.366728,143.614925,13.53,2.4,-76.06478495370371,-6571997.42,10.22161864502012,-2.430000000000001,2.430000000000001,False,True,M1,50.0,90.0,all,,323805,all
2025-08-25 08:52:39.960000+00:00,39.460433,143.150472,12.88,1.2,-75.9659638888889,-6563459.28,31.16662468033524,-3.08,3.08,False,True,M1,50.0,90.0,all,,323806,all
2025-08-25 10:54:04.700000+00:00,39.207003,143.320182,11.86,1.2,-75.88164976851851,-6556174.54,27.01954790026563,-4.100000000000001,4.100000000000001,False,True,M1,50.0,90.0,all,,323807,all
2025-08-25 18:47:18.240000+00:00,39.215519,143.322607,10.55,1.1,-75.55302083333333,-6527781.0,26.1345721834249,-5.41,5.41,False,True,M1,50.0,90.0,all,,323808,all
2025-08-25 21:45:48.620000+00:00,39.369312,143.616927,9.45,1.1,-75.42905810185185,-6517070.62,10.271258458293063,-6.510000000000002,6.510000000000002,False,True,M1,50.0,90.0,all,,323809,all
2025-08-27 14:14:00.540000+00:00,39.536759,143.56333,13.02,1.9,-73.74280902777778,-6371378.7,15.667347122129817,-2.9400000000000013,2.9400000000000013,False,True,M1,50.0,90.0,all,,323810,all
2025-08-27 18:27:06.940000+00:00,39.537256,143.560921,10.63,1.5,-73.56704050925926,-6356192.3,15.6559220129882,-5.33,5.33,False,True,M1,50.0,90.0,all,,323811,all
2025-08-31 06:56:05.660000+00:00,39.731189,143.217904,12.31,1.4,-70.04691643518518,-6052053.58,44.04126080257838,-3.65,3.65,False,True,M1,50.0,90.0,all,,323812,all
2025-08-31 20:43:23.400000+00:00,39.731637,143.217057,12.43,1.7,-69.47240555555555,-6002415.84,44.12316050306796,-3.530000000000001,3.530000000000001,False,True,M1,50.0,90.0,all,,323813,all
2025-08-31 20:47:40.480000+00:00,39.731498,143.217464,12.25,0.8,-69.46943009259259,-6002158.76,44.09082002354188,-3.710000000000001,3.710000000000001,False,True,M1,50.0,90.0,all,,323814,all
2025-09-01 23:36:52.660000+00:00,39.438322,143.457699,52.49,1.2,-68.35192800925925,-5905606.58,5.687721632859145,36.53,36.53,False,True,M1,50.0,90.0,all,,323815,all
2025-09-02 19:30:59.900000+00:00,39.437691,143.453516,51.28,1.5,-67.5226775462963,-5833959.34,5.907298593974211,35.32,35.32,False,True,M1,50.0,90.0,all,,323816,all
2025-09-09 23:25:14.160000+00:00,39.366915,143.377197,12.74,1.5,-60.3600125,-5215105.08,11.751313488367025,-3.2200000000000006,3.2200000000000006,False,True,M1,50.0,90.0,all,,323817,all
,39.382992,143.577002,10.54,1.5,-59.55356759259259,-5145428.24,6.522930926735876,-5.420000000000002,5.420000000000002,False,True,M1,50.0,90.0,all,,323818,all
2025-09-11 05:24:42.360000+00:00,39.188416,143.646549,10.72,1.6,-59.11038055555555,-5107136.88,26.77046441182025,-5.24,5.24,False,True,M1,50.0,90.0,all,,323819,all
2025-09-11 15:55:59.130000+00:00,39.598368,143.274919,13.2,2.5,-58.67199201388889,-5069260.11,29.386913246166504,-2.7600000000000016,2.7600000000000016,False,True,M1,50.0,90.0,all,,323820,all
2025-09-13 05:11:52.530000+00:00,39.366862,143.324561,12.8,1.2,-57.119290625,-4935106.71,16.078142374316702,-3.16,3.16,False,True,M1,50.0,90.0,all,,323821,all
2025-09-14 22:45:05.480000+00:00,39.168315,143.417546,10.86,1.7,-55.38789074074074,-4785513.76,27.18350808404949,-5.100000000000001,5.100000000000001,False,True,M1,50.0,90.0,all,,323822,all
2025-09-15 02:42:18.920000+00:00,39.175602,143.414339,14.73,3.0,-55.22315185185185,-4771280.32,26.486864254585196,-1.2300000000000004,1.2300000000000004,False,True,M1,50.0,90.0,all,,323823,all
2025-09-16 03:18:28.250000+00:00,39.393909,143.300635,14.48,3.9,-54.19804386574074,-4682710.99,17.64811091603111,-1.4800000000000004,1.4800000000000004,False,True,M1,50.0,90.0,all,,323824,all
2025-09-16 03:20:04.030000+00:00,39.394446,143.298079,13.26,3.4,-54.19693530092592,-4682615.21,17.86400146186119,-2.700000000000001,2.700000000000001,False,True,M1,50.0,90.0,all,,323825,all
2025-09-16 04:52:20.600000+00:00,39.395036,143.306413,12.75,1.6,-54.13285462962963,-4677078.64,17.145357633538623,-3.210000000000001,3.210000000000001,False,True,M1,50.0,90.0,all,,323826,all
