mainshock,baseline_radius_km,baseline_time_window_days,baseline_mag_threshold,baseline_n_total,baseline_pre_rate,baseline_post_rate,baseline_rate_ratio,baseline_omori_ok,baseline_omori_p,baseline_moving_rate_max,randomized_post_rate_median,randomized_rate_ratio_median,observed_minus_randomized_rate,robust_radius_count
M1,50.0,90.0,1.2,3732,6.288888888888889,35.166666666666664,5.591872791519434,True,0.6506887935310146,263.7142857142857,55.72083333333333,33.90255890221719,-1.2138888888888903,
M2,50.0,90.0,1.2,1589,0.5444444444444444,17.1,31.40816326530613,True,0.7160252154198378,96.85714285714286,16.76547619047619,19.948940561483084,8.741666666666667,
M3,50.0,90.0,1.2,3251,8.488888888888889,27.622222222222224,3.253926701570681,False,,250.28571428571428,11.788888888888888,11.17222837775556,27.291666666666664,
