window_name,core_name,radius_km,n_total,n_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class
full_interevent,Mw6.4_core,5.0,1744,649,0.6742912614806289,0.6753463373888938,0.02565744743761752,0.6294516560288879,0.7278573536583937,robust
full_interevent,Mw7.1_core,5.0,704,215,0.6244662338016999,0.6268502122816558,0.04257593677629656,0.5511741756612469,0.7170813549245538,robust
pre_separator,Mw6.4_core,5.0,1073,498,0.6187168211117386,0.6199413784653607,0.024189860783422376,0.5741872318363388,0.6667385649646332,robust
pre_separator,Mw7.1_core,5.0,130,49,0.5012467227242808,0.511792471113948,0.07269147609310868,0.3940364320328916,0.6817427551561851,exploratory
post_separator,Mw6.4_core,5.0,671,151,0.9581191725822344,0.9590662418704728,0.0759796302135488,0.8253069167629141,1.1193729925303595,robust
post_separator,Mw7.1_core,5.0,574,166,0.6733247781445764,0.677846438471847,0.051467144912555926,0.58714259522417,0.7843045717083861,robust
