node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
2657,-5.0,9.0,188,40,2.27225,0.5587577766526237,0.568136909821426,0.0765936527416257,0.4374498360983307,0.7316528665966953,exploratory,1.0,post_separator,5.0,-117.59889372847103,35.802568925038706,-2.5426613344517923,-1.5404712520593737,"(-3.001, -2.0]"
2600,-6.0,8.0,186,41,2.247317073170732,0.5772758553423024,0.5970100159078507,0.0838740845790887,0.45500781829368214,0.790575401543697,exploratory,1.0,post_separator,5.0,-117.60994965960406,35.79355069493096,-2.4625219478847526,-0.12853014892487757,"(-3.001, -2.0]"
2715,-3.0,10.0,172,35,2.224,0.5957400300456127,0.614839895995013,0.10461876896372921,0.43631558661566494,0.86662056749465,exploratory,1.0,post_separator,5.0,-117.57677062573799,35.81158968593702,-1.9568998627351046,-3.6984526000446385,"(-2.0, -1.0]"
2658,-4.0,9.0,251,63,2.125396825396826,0.6889223809619752,0.6925638661693019,0.07992872091147861,0.5599368993647302,0.8679422359657438,moderately_uncertain,1.0,post_separator,5.0,-117.58783030398529,35.80257350028033,-1.8767604761680643,-2.286511496910142,"(-2.0, -1.0]"
2601,-5.0,8.0,314,76,2.154736842105263,0.6582844161277851,0.6711162385123051,0.07462459740828514,0.5575710175759908,0.840546320249282,moderately_uncertain,1.0,post_separator,5.0,-117.59888748518304,35.793556285862216,-1.7966210896010242,-0.8745703937756457,"(-2.0, -1.0]"
2544,-6.0,7.0,331,88,2.1236363636363635,0.6908516704173204,0.6991795371977357,0.07434392803276023,0.5688995691153647,0.8573893266288705,moderately_uncertain,1.0,post_separator,5.0,-117.60994217044191,35.78453804324548,-1.7164817030339843,0.5373707093588506,"(-2.0, -1.0]"
2487,-7.0,6.0,236,64,2.098125,0.7200737523784486,0.731949583275748,0.08184875388571952,0.5903562566918645,0.9052445006313655,moderately_uncertain,1.0,post_separator,5.0,-117.62099436087225,35.775518772992626,-1.6363423164669442,1.9493118124933468,"(-2.0, -1.0]"
2716,-2.0,10.0,158,35,2.212285714285714,0.6054693035894768,0.6217844389881887,0.0984030383904589,0.4629635451075381,0.8449667111029887,exploratory,1.0,post_separator,5.0,-117.56570595015822,35.81159222820669,-1.2909990044513764,-4.444492844895406,"(-2.0, -1.0]"
2659,-3.0,9.0,277,68,2.1254411764705883,0.6888739157784259,0.6909851368159196,0.0783926424654373,0.5540957384249227,0.8530970236245247,moderately_uncertain,1.0,post_separator,5.0,-117.57676687837244,35.80257705880187,-1.2108596178843363,-3.0325517417609102,"(-2.0, -1.0]"
2602,-4.0,8.0,384,100,2.1408,0.6724906811756763,0.6779949963116303,0.06495266469008378,0.5662035011414507,0.8255659249014176,robust,1.0,post_separator,5.0,-117.58782530935395,35.79356086026098,-1.1307202313172962,-1.6206106386264139,"(-2.0, -1.0]"
2545,-5.0,7.0,456,127,2.1438582677165354,0.6693210266575206,0.6742354241712862,0.056331828849325194,0.5733699403960566,0.7837696696575815,robust,1.0,post_separator,5.0,-117.59888124421316,35.78454363314692,-1.0505808447502563,-0.20866953549191763,"(-2.0, -1.0]"
2488,-6.0,6.0,441,131,2.125801526717557,0.6884803912304229,0.692019116648153,0.05495635817155828,0.5944189528536433,0.8143263275613009,robust,1.0,post_separator,5.0,-117.60993468406016,35.77552537802228,-0.9704414581832163,1.2032715676425787,"(-1.0, 0.0]"
2431,-7.0,5.0,299,79,2.125443037974683,0.6888718817459475,0.7012745705216785,0.0750485940035468,0.5753861842367067,0.8702749346635094,moderately_uncertain,1.0,post_separator,5.0,-117.6209856300049,35.76650609544938,-0.8903020716161761,2.615212670777075,"(-1.0, 0.0]"
2660,-2.0,9.0,267,67,2.1449253731343285,0.6682220757266705,0.6734066715730982,0.07258751512633962,0.5471478419672251,0.8407752478195561,moderately_uncertain,1.0,post_separator,5.0,-117.56570345191425,35.80257960060314,-0.544958759600608,-3.778591986611678,"(-1.0, 0.0]"
2603,-3.0,8.0,420,113,2.1444247787610617,0.6687371595703137,0.6735921684353091,0.055591686165224266,0.568512546478153,0.7902112831988262,robust,1.0,post_separator,5.0,-117.57676313239838,35.79356441812699,-0.464819373033568,-2.366650883477182,"(-1.0, 0.0]"
2546,-4.0,7.0,521,149,2.1401342281879194,0.6731846845626478,0.6803601486242576,0.05177676484526697,0.580509690505671,0.7913161455650813,robust,1.0,post_separator,5.0,-117.58782031657711,35.78454820670312,-0.38467998646652807,-0.9547097803426858,"(-1.0, 0.0]"
2489,-5.0,6.0,526,152,2.136052631578947,0.6774708666799496,0.6813382936663315,0.04998517755349662,0.5855499223235456,0.7848960249384399,robust,1.0,post_separator,5.0,-117.59887500556029,35.77553096689422,-0.304540599899488,0.45723132279181056,"(-1.0, 0.0]"
2432,-6.0,5.0,481,146,2.1247945205479453,0.689581232820824,0.6921508535746606,0.05137864298185622,0.5999126788942847,0.7901533709418533,robust,1.0,post_separator,5.0,-117.60992720045755,35.76651269926275,-0.2244012133324481,1.869172425926307,"(-1.0, 0.0]"
2375,-7.0,4.0,335,98,2.1085714285714285,0.7078140566525641,0.7157215893555142,0.06831392892915332,0.5876827532133699,0.8643169673138046,moderately_uncertain,1.0,post_separator,5.0,-117.62097690237827,35.757493404370834,-0.14426182676540789,3.281113529060803,"(-1.0, 0.0]"
2661,-1.0,9.0,214,51,2.081176470588235,0.7408937473512576,0.7587301559681022,0.10512814283960488,0.5753947709504749,0.9855179403750053,moderately_uncertain,1.0,post_separator,5.0,-117.55464002489252,35.80258112568395,0.12094209868312022,-4.524632231462446,"(0.0, 1.0]"
2604,-2.0,8.0,419,116,2.17,0.643399232449262,0.6461978485448493,0.05353177896680324,0.5534784536212607,0.7631276486362166,robust,1.0,post_separator,5.0,-117.56570095459796,35.793566959460016,0.20108148525016012,-3.11269112832795,"(0.0, 1.0]"
2547,-3.0,7.0,552,154,2.136298701298701,0.6772109175081087,0.6793090918005602,0.048160411979135724,0.5976858972559806,0.7753920337752255,robust,1.0,post_separator,5.0,-117.5767593878152,35.78455176391378,0.2812208718172,-1.7007500251934538,"(0.0, 1.0]"
