mag_bin,count_incremental,count_cumulative,count_incremental_ge_mc,count_cumulative_ge_mc,window_name,core_name
1.0700000000000007,20,1122,0,634,full_interevent,Mw6.4_core
1.0800000000000007,16,1102,0,634,full_interevent,Mw6.4_core
1.0900000000000007,19,1086,0,634,full_interevent,Mw6.4_core
1.1000000000000008,9,1067,0,634,full_interevent,Mw6.4_core
1.1100000000000008,22,1058,0,634,full_interevent,Mw6.4_core
1.1200000000000008,8,1036,0,634,full_interevent,Mw6.4_core
1.1300000000000008,14,1028,0,634,full_interevent,Mw6.4_core
1.1400000000000008,10,1014,0,634,full_interevent,Mw6.4_core
1.1500000000000008,13,1004,0,634,full_interevent,Mw6.4_core
1.1600000000000008,12,991,0,634,full_interevent,Mw6.4_core
1.1700000000000008,16,979,0,634,full_interevent,Mw6.4_core
1.1800000000000008,13,963,0,634,full_interevent,Mw6.4_core
1.1900000000000008,8,950,0,634,full_interevent,Mw6.4_core
1.2000000000000008,11,942,0,634,full_interevent,Mw6.4_core
1.2100000000000009,8,931,0,634,full_interevent,Mw6.4_core
1.2200000000000009,12,923,0,634,full_interevent,Mw6.4_core
1.2300000000000009,7,911,0,634,full_interevent,Mw6.4_core
1.2400000000000009,11,904,0,634,full_interevent,Mw6.4_core
1.2500000000000009,16,893,0,634,full_interevent,Mw6.4_core
1.260000000000001,10,877,0,634,full_interevent,Mw6.4_core
1.270000000000001,12,867,0,634,full_interevent,Mw6.4_core
1.280000000000001,10,855,0,634,full_interevent,Mw6.4_core
1.290000000000001,10,845,0,634,full_interevent,Mw6.4_core
1.300000000000001,13,835,0,634,full_interevent,Mw6.4_core
1.310000000000001,12,822,0,634,full_interevent,Mw6.4_core
1.320000000000001,6,810,0,634,full_interevent,Mw6.4_core
1.330000000000001,11,804,0,634,full_interevent,Mw6.4_core
1.340000000000001,7,793,0,634,full_interevent,Mw6.4_core
1.350000000000001,16,786,0,634,full_interevent,Mw6.4_core
1.360000000000001,10,770,0,634,full_interevent,Mw6.4_core
1.370000000000001,7,760,0,634,full_interevent,Mw6.4_core
1.380000000000001,8,753,0,634,full_interevent,Mw6.4_core
1.390000000000001,12,745,0,634,full_interevent,Mw6.4_core
1.400000000000001,5,733,0,634,full_interevent,Mw6.4_core
1.410000000000001,11,728,0,634,full_interevent,Mw6.4_core
1.420000000000001,8,717,0,634,full_interevent,Mw6.4_core
1.430000000000001,9,709,0,634,full_interevent,Mw6.4_core
1.440000000000001,10,700,0,634,full_interevent,Mw6.4_core
1.450000000000001,8,690,0,634,full_interevent,Mw6.4_core
1.460000000000001,11,682,0,634,full_interevent,Mw6.4_core
1.470000000000001,12,671,0,634,full_interevent,Mw6.4_core
1.480000000000001,10,659,0,634,full_interevent,Mw6.4_core
1.490000000000001,15,649,0,634,full_interevent,Mw6.4_core
1.500000000000001,11,634,11,634,full_interevent,Mw6.4_core
1.5100000000000011,9,623,9,623,full_interevent,Mw6.4_core
1.5200000000000011,10,614,10,614,full_interevent,Mw6.4_core
1.5300000000000011,9,604,9,604,full_interevent,Mw6.4_core
1.5400000000000011,8,595,8,595,full_interevent,Mw6.4_core
1.5500000000000012,7,587,7,587,full_interevent,Mw6.4_core
1.5600000000000012,12,580,12,580,full_interevent,Mw6.4_core
1.5700000000000012,5,568,5,568,full_interevent,Mw6.4_core
1.5800000000000012,10,563,10,563,full_interevent,Mw6.4_core
1.5900000000000012,14,553,14,553,full_interevent,Mw6.4_core
1.6000000000000012,8,539,8,539,full_interevent,Mw6.4_core
1.6100000000000012,4,531,4,531,full_interevent,Mw6.4_core
1.6200000000000012,11,527,11,527,full_interevent,Mw6.4_core
1.6300000000000012,8,516,8,516,full_interevent,Mw6.4_core
