time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-01 21:52:08.600,38.346,142.172,37.2,3.0,59,pre_M1_reference,pre_M1_reference_7d
2020-01-01 22:24:57.710,38.758,141.732,54.5,2.1,60,pre_M1_reference,pre_M1_reference_7d
2020-01-01 22:51:09.610,40.115,142.45,34.5,3.3,61,pre_M1_reference,pre_M1_reference_7d
2020-01-01 22:53:35.820,38.853,142.103,48.9,1.0,62,pre_M1_reference,pre_M1_reference_7d
2020-01-01 23:38:46.940,40.127,141.133,12.0,0.6,63,pre_M1_reference,pre_M1_reference_7d
2020-01-01 23:44:10.710,42.402,142.598,12.5,0.9,64,pre_M1_reference,pre_M1_reference_7d
2020-01-02 00:17:28.720,40.163,141.177,9.5,0.6,65,pre_M1_reference,pre_M1_reference_7d
2020-01-02 00:41:09.610,38.429,140.78,96.1,1.3,66,pre_M1_reference,pre_M1_reference_7d
2020-01-02 00:46:40.700,39.258,142.351,35.1,1.0,67,pre_M1_reference,pre_M1_reference_7d
2020-01-02 00:46:50.360,38.972,142.341,39.5,1.4,68,pre_M1_reference,pre_M1_reference_7d
2020-01-02 00:50:55.300,38.412,142.258,33.3,1.5,69,pre_M1_reference,pre_M1_reference_7d
2020-01-02 01:37:11.880,38.319,142.11,35.3,1.5,70,pre_M1_reference,pre_M1_reference_7d
2020-01-02 02:44:37.250,39.759,141.839,55.7,0.8,71,pre_M1_reference,pre_M1_reference_7d
2020-01-02 02:53:52.480,39.87,140.39,4.8,0.8,72,pre_M1_reference,pre_M1_reference_7d
2020-01-02 02:55:36.790,42.357,143.011,55.8,0.7,73,pre_M1_reference,pre_M1_reference_7d
2020-01-02 02:57:20.510,38.413,141.795,53.6,0.6,74,pre_M1_reference,pre_M1_reference_7d
2020-01-02 03:25:50.470,38.278,141.81,54.4,2.1,75,pre_M1_reference,pre_M1_reference_7d
2020-01-02 04:31:11.710,39.337,142.085,45.1,1.4,76,pre_M1_reference,pre_M1_reference_7d
