subset_name,event_count,slope_proj_km_per_day,spearman_r,spearman_p,kendall_tau,kendall_p,slope_dist_m1_km_per_day,slope_dist_m3_km_per_day,trend_class
catalog_full_raw_M3+,736,0.16660748979422574,0.5691554528719635,2.077599847072813e-64,0.40175983436852997,8.322073259661877e-60,0.12935108015391203,-0.10405315289761413,weak_directional_trend
catalog_full_raw_M4+,158,0.20954653293231557,0.6605812044864374,3.622117227548444e-21,0.49173587035394667,4.7351364790851576e-20,0.17386645223648325,-0.12171388700401099,robust_monotonic_migration
catalog_full_raw_M5+,50,0.21686277609200127,0.7020888355342136,1.3359452203645113e-08,0.5265306122448979,6.839648326197729e-08,0.17952743339286945,-0.12231808346940064,robust_monotonic_migration
full_m1_to_m3_raw_M3+,396,0.06422055312267586,0.23052487055292908,3.5613495632794997e-06,0.1529727656309935,5.465350503623132e-06,0.028920737624592567,-0.04835197633568631,no_robust_monotonic_migration
full_m1_to_m3_raw_M4+,95,0.06818987814236327,0.2921192609182531,0.004072784506537897,0.19014557670772675,0.00634089194131291,0.028770387455246012,-0.07215838413744333,no_robust_monotonic_migration
full_m1_to_m3_raw_M5+,31,0.09921943943080808,0.3056451612903226,0.09450192924994572,0.22150537634408607,0.08295417244940928,0.06596933827794026,-0.08223460635353362,weak_directional_trend
m1_related_primary_raw_M3+,335,0.7444970279458076,0.2538063531785044,2.5346012142712244e-06,0.20790061667709359,1.3617048986466812e-08,1.0091618354049303,-0.8418416593484025,no_robust_monotonic_migration
m1_related_primary_raw_M4+,83,0.0256425843113913,0.20391671214474624,0.06444689962856,0.18777549221275341,0.01197081675553709,0.4910696981204992,-0.05725360212708999,no_robust_monotonic_migration
m1_related_primary_raw_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
m1_related_sens_minus14_plus28_raw_M3+,343,0.389678523105224,0.23241034479887426,1.3721429781974027e-05,0.1926755664671884,1.0071918384897557e-07,0.489754625061107,-0.476620751930878,no_robust_monotonic_migration
m1_related_sens_minus14_plus28_raw_M4+,84,0.0021823030108204414,0.19848132023893894,0.07031028329966672,0.18014916810097534,0.015265481000886741,0.20838621156606096,-0.06420163187039185,no_robust_monotonic_migration
m1_related_sens_minus14_plus28_raw_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
m1_related_sens_minus7_plus14_raw_M3+,327,1.2529614394327653,0.2898704366961495,9.464973695519928e-08,0.23018329862479128,5.284767679828241e-10,1.3164645788807408,-1.326804724722333,no_robust_monotonic_migration
m1_related_sens_minus7_plus14_raw_M4+,81,0.345432746719477,0.22515808491418246,0.04328426345487761,0.2006172839506173,0.008026233702305409,0.7856771584447696,-0.3061078369036525,no_robust_monotonic_migration
m1_related_sens_minus7_plus14_raw_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
middle_phase_primary_raw_M3+,75,-0.18896191466380394,0.014480796586059743,0.9018636194902447,-0.03207207207207208,0.6839257200723876,-0.19108115946587953,-0.08394489657029697,no_robust_monotonic_migration
middle_phase_primary_raw_M4+,18,-0.19819319956557546,-0.2776057791537668,0.26470972815378374,-0.22875816993464054,0.20082494101911527,-0.14966011013173508,0.1263410197299129,no_robust_monotonic_migration
middle_phase_primary_raw_M5+,5,-0.6605671936649401,-0.7999999999999999,0.10408803866182788,-0.6,0.23333333333333334,-0.508380061225772,0.22560919396683482,no_robust_monotonic_migration
post_m3_14d_raw_M3+,255,3.619091991552728,0.14043249189439555,0.02492040987962128,0.0906901343214451,0.03096717888993846,3.5660519344684256,1.3777392321912612,no_robust_monotonic_migration
post_m3_14d_raw_M4+,43,6.992662532457048,0.5631229235880398,8.450904057575662e-05,0.3953488372093023,0.00018685542457386664,6.89008173520537,2.0135027838596673,robust_monotonic_migration
post_m3_14d_raw_M5+,12,12.887425209438563,0.7832167832167832,0.0025862148333625915,0.6363636363636362,0.003181646992410881,12.767958381992162,0.8360379543222984,robust_monotonic_migration
post_m3_7d_raw_M3+,225,1.1352458746025635,-0.05571744627054362,0.4055483717713655,-0.03523809523809524,0.43143724374829184,1.1768061849649363,0.6114196324519555,no_robust_monotonic_migration
post_m3_7d_raw_M4+,39,8.36165413928966,0.4257085020242915,0.006893551010846614,0.2874493927125506,0.009976757019508372,8.229334279217369,1.0736758135633968,weak_directional_trend
post_m3_7d_raw_M5+,12,12.887425209438563,0.7832167832167832,0.0025862148333625915,0.6363636363636362,0.003181646992410881,12.767958381992162,0.8360379543222984,robust_monotonic_migration
pre_m1_baseline_14d_raw_M3+,20,-0.12330601256852247,-0.15939849624060148,0.5020524593517314,-0.052631578947368425,0.7732194749063227,-0.1263942081905675,0.1267721362505898,no_robust_monotonic_migration
pre_m1_baseline_14d_raw_M4+,0,,,,,,,,insufficient
pre_m1_baseline_14d_raw_M5+,0,,,,,,,,insufficient
pre_m1_baseline_7d_raw_M3+,21,-0.048015432647661824,-0.06883116883116883,0.7668778725128099,0.0,1.0,-0.05350212472629578,0.06380432502114834,no_robust_monotonic_migration
pre_m1_baseline_7d_raw_M4+,0,,,,,,,,insufficient
pre_m1_baseline_7d_raw_M5+,0,,,,,,,,insufficient
pre_m3_primary_raw_M3+,51,1.326254686842605,0.18515837104072397,0.1933286400739968,0.11058823529411767,0.25211316243119264,1.2677660935337998,-0.9146144538467016,no_robust_monotonic_migration
pre_m3_primary_raw_M4+,14,1.5931931742145533,0.6131868131868132,0.019706331926038816,0.4725274725274726,0.01927860024400203,1.4265674486584863,-1.6446214377533772,robust_monotonic_migration
pre_m3_primary_raw_M5+,3,,,,,,,,insufficient
pre_m3_sens_28d_raw_M3+,48,1.3814100761311845,0.18193660442900564,0.21585411392193257,0.11524822695035462,0.247908142173201,1.4622236673663687,-0.9229778063193288,no_robust_monotonic_migration
pre_m3_sens_28d_raw_M4+,14,1.5931931742145533,0.6131868131868132,0.019706331926038816,0.4725274725274726,0.01927860024400203,1.4265674486584863,-1.6446214377533772,robust_monotonic_migration
pre_m3_sens_28d_raw_M5+,3,,,,,,,,insufficient
pre_m3_sens_42d_raw_M3+,54,1.0526841109477882,0.21044406327425194,0.12665701169145846,0.1320754716981132,0.1585349781998472,1.0155694586178454,-0.7070468510718684,no_robust_monotonic_migration
pre_m3_sens_42d_raw_M4+,15,1.4339450259856736,0.6857142857142856,0.004772245222691258,0.5428571428571429,0.00414288160001619,1.2297028708343247,-1.4660326612287753,robust_monotonic_migration
pre_m3_sens_42d_raw_M5+,4,,,,,,,,insufficient
catalog_full_m2aware_M3+,714,0.1500853908508384,0.5500137845818894,1.0768643897204831e-57,0.3860399699851891,9.506040168067657e-54,0.1137014113435148,-0.10916469843872607,weak_directional_trend
catalog_full_m2aware_M4+,155,0.1864891305563417,0.6405529953917051,2.826269204621743e-19,0.4723083368244658,2.7397510335587048e-18,0.15166622467589702,-0.12941148177113485,weak_directional_trend
catalog_full_m2aware_M5+,50,0.21686277609200127,0.7020888355342136,1.3359452203645113e-08,0.5265306122448979,6.839648326197729e-08,0.17952743339286945,-0.12231808346940064,robust_monotonic_migration
full_m1_to_m3_m2aware_M3+,389,0.06066238735694329,0.21169431368991437,2.5578573365466635e-05,0.14122916280179154,3.1895444476456344e-05,0.025636788589924575,-0.04881494629039771,no_robust_monotonic_migration
full_m1_to_m3_m2aware_M4+,95,0.06818987814236327,0.2921192609182531,0.004072784506537897,0.19014557670772675,0.00634089194131291,0.028770387455246012,-0.07215838413744333,no_robust_monotonic_migration
full_m1_to_m3_m2aware_M5+,31,0.09921943943080808,0.3056451612903226,0.09450192924994572,0.22150537634408607,0.08295417244940928,0.06596933827794026,-0.08223460635353362,weak_directional_trend
m1_related_primary_m2aware_M3+,335,0.7444970279458076,0.2538063531785044,2.5346012142712244e-06,0.20790061667709359,1.3617048986466812e-08,1.0091618354049303,-0.8418416593484025,no_robust_monotonic_migration
m1_related_primary_m2aware_M4+,83,0.0256425843113913,0.20391671214474624,0.06444689962856,0.18777549221275341,0.01197081675553709,0.4910696981204992,-0.05725360212708999,no_robust_monotonic_migration
m1_related_primary_m2aware_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
m1_related_sens_minus14_plus28_m2aware_M3+,343,0.389678523105224,0.23241034479887426,1.3721429781974027e-05,0.1926755664671884,1.0071918384897557e-07,0.489754625061107,-0.476620751930878,no_robust_monotonic_migration
m1_related_sens_minus14_plus28_m2aware_M4+,84,0.0021823030108204414,0.19848132023893894,0.07031028329966672,0.18014916810097534,0.015265481000886741,0.20838621156606096,-0.06420163187039185,no_robust_monotonic_migration
m1_related_sens_minus14_plus28_m2aware_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
m1_related_sens_minus7_plus14_m2aware_M3+,327,1.2529614394327653,0.2898704366961495,9.464973695519928e-08,0.23018329862479128,5.284767679828241e-10,1.3164645788807408,-1.326804724722333,no_robust_monotonic_migration
m1_related_sens_minus7_plus14_m2aware_M4+,81,0.345432746719477,0.22515808491418246,0.04328426345487761,0.2006172839506173,0.008026233702305409,0.7856771584447696,-0.3061078369036525,no_robust_monotonic_migration
m1_related_sens_minus7_plus14_m2aware_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
middle_phase_primary_m2aware_M3+,68,0.018949010546107533,0.1136771386036569,0.3559951773548231,0.06057945566286216,0.4650910831784034,0.002584473298821762,-0.05403040277458615,no_robust_monotonic_migration
middle_phase_primary_m2aware_M4+,18,-0.19819319956557546,-0.2776057791537668,0.26470972815378374,-0.22875816993464054,0.20082494101911527,-0.14966011013173508,0.1263410197299129,no_robust_monotonic_migration
middle_phase_primary_m2aware_M5+,5,-0.6605671936649401,-0.7999999999999999,0.10408803866182788,-0.6,0.23333333333333334,-0.508380061225772,0.22560919396683482,no_robust_monotonic_migration
post_m3_14d_m2aware_M3+,240,1.3133300412028648,-0.011205923713953366,0.8628868525508319,-0.008437935843793586,0.8456593180811589,1.4799724706887465,0.7352874615835429,no_robust_monotonic_migration
post_m3_14d_m2aware_M4+,40,6.328341940265182,0.4602251407129457,0.0028073631878143767,0.30769230769230776,0.005169966455457713,6.427443807881776,1.1764189430750465,weak_directional_trend
post_m3_14d_m2aware_M5+,12,12.887425209438563,0.7832167832167832,0.0025862148333625915,0.6363636363636362,0.003181646992410881,12.767958381992162,0.8360379543222984,robust_monotonic_migration
post_m3_7d_m2aware_M3+,224,1.1300536324459869,-0.062428998505231696,0.35235463207922957,-0.03923766816143497,0.382090466733059,1.1719202976650114,0.6097709946474792,no_robust_monotonic_migration
post_m3_7d_m2aware_M4+,39,8.36165413928966,0.4257085020242915,0.006893551010846614,0.2874493927125506,0.009976757019508372,8.229334279217369,1.0736758135633968,weak_directional_trend
post_m3_7d_m2aware_M5+,12,12.887425209438563,0.7832167832167832,0.0025862148333625915,0.6363636363636362,0.003181646992410881,12.767958381992162,0.8360379543222984,robust_monotonic_migration
pre_m1_baseline_14d_m2aware_M3+,20,-0.12330601256852247,-0.15939849624060148,0.5020524593517314,-0.052631578947368425,0.7732194749063227,-0.1263942081905675,0.1267721362505898,no_robust_monotonic_migration
pre_m1_baseline_14d_m2aware_M4+,0,,,,,,,,insufficient
pre_m1_baseline_14d_m2aware_M5+,0,,,,,,,,insufficient
pre_m1_baseline_7d_m2aware_M3+,21,-0.048015432647661824,-0.06883116883116883,0.7668778725128099,0.0,1.0,-0.05350212472629578,0.06380432502114834,no_robust_monotonic_migration
pre_m1_baseline_7d_m2aware_M4+,0,,,,,,,,insufficient
pre_m1_baseline_7d_m2aware_M5+,0,,,,,,,,insufficient
pre_m3_primary_m2aware_M3+,51,1.326254686842605,0.18515837104072397,0.1933286400739968,0.11058823529411767,0.25211316243119264,1.2677660935337998,-0.9146144538467016,no_robust_monotonic_migration
pre_m3_primary_m2aware_M4+,14,1.5931931742145533,0.6131868131868132,0.019706331926038816,0.4725274725274726,0.01927860024400203,1.4265674486584863,-1.6446214377533772,robust_monotonic_migration
pre_m3_primary_m2aware_M5+,3,,,,,,,,insufficient
