time,latitude,longitude,depth_km,magnitude,event_id,dist_m1_km,dist_m2_km,dist_m3_km,x_from_m1_km,y_from_m1_km,projected_km,projected_clamped_km,perp_km,axis_fraction,between_endpoints,local_union,m1_core,m3_core,m1_extended,m3_extended,endpoint_overlap_core,endpoint_overlap_extended,m2_related,corridor_20,corridor_noncore_20,off_corridor_20,corridor_30,corridor_noncore_30,off_corridor_30,days_since_start,days_since_m1,days_until_m3,spatial_category_30
2025-06-01 00:13:38.900000+00:00,39.245593,142.382422,29.7,1.7,1,98.28405630123751,191.69115618213374,93.85698391727627,-96.84258558279973,-17.294547618000166,36.12293587210388,36.12293587210388,91.50257517498092,0.6319155624638565,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-161.32639282407408,323.3189717592593,outside_local_union
2025-06-01 00:30:20.430000+00:00,41.623617,142.114681,55.14,1.7,2,273.62961680729154,74.32525627243609,216.69659642007468,-117.83505911852112,245.6530781580002,270.9392857969486,57.16418144737493,215.6901356517642,4.739668773992224,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.011591782407407407,-161.31480104166667,323.30737997685185,outside_local_union
2025-06-01 02:20:26.570000+00:00,41.533988,143.589616,7.08,1.7,3,237.16920483916272,125.70146200819127,191.64303996616133,6.996646965189698,235.74244111199997,196.96766775139477,57.16418144737493,190.71498172281773,3.4456483546908174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08805173611111111,-161.23834108796297,323.23092002314814,outside_local_union
2025-06-01 02:39:30.110000+00:00,40.267017,142.49502,39.48,1.3,4,129.2969290396008,79.88023606178349,73.53849017369818,-86.50646819122412,95.64838975800019,126.82245493114767,57.16418144737493,73.48689333612273,2.2185650475534198,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.10128715277777776,-161.22510567129632,323.2176846064815,outside_local_union
2025-06-01 04:34:04.360000+00:00,38.872412,142.445459,35.58,1.5,5,108.85635370170009,233.40520574376205,123.95931547427811,-91.65756639461709,-58.558663512000436,-1.7191789033656446,0.0,108.76684490089492,-0.030074407781878455,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18085023148148147,-161.1455425925926,323.13812152777774,outside_local_union
2025-06-01 08:16:05.140000+00:00,41.125675,143.158659,19.1,1.8,6,193.92898882056346,75.08882720360943,142.73821641055713,-29.590057922771006,190.59363945,177.74944604918764,57.16418144737493,141.9417042132638,3.10945493399259,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.33502592592592595,-160.99136689814816,322.98394583333334,outside_local_union
2025-06-01 08:20:35.450000+00:00,41.129313,143.16805,19.18,0.8,7,194.20911466861597,75.94733652378311,143.14572466956423,-28.791558957674827,190.99590766200026,177.67260540085235,57.16418144737493,142.34857268223192,3.1081107242726267,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3381545138888889,-160.98823831018518,322.98081724537036,outside_local_union
2025-06-01 11:01:50.900000+00:00,39.987366,141.954167,49.87,1.3,8,147.94462138584785,112.63776788266647,103.85031210505993,-133.00970697477652,64.72626008400006,124.91876579737401,57.16418144737493,104.24517516930698,2.185262915246563,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45013888888888887,-160.8762539351852,322.8688328703704,outside_local_union
2025-06-01 12:09:00.700000+00:00,40.204692,142.274186,43.38,3.6,9,138.04581004330586,84.883992451316,85.30700427098989,-105.43168381585237,88.75686520800004,130.89280263057947,57.16418144737493,85.42016667559012,2.289769560525917,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.49678009259259265,-160.82961273148146,322.82219166666664,outside_local_union
2025-06-01 12:39:22.810000+00:00,39.069853,142.196989,38.75,1.2,10,118.71551883368451,211.20651980877633,119.01565240784679,-112.95266823622082,-36.726822377999895,28.041878629686085,28.041878629686085,115.41584720732624,0.4905498149308987,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5178693287037037,-160.80852349537037,322.80110243055555,outside_local_union
2025-06-01 16:16:20.760000+00:00,38.964054,142.391846,28.21,1.4,11,107.74716889439783,223.00425073798561,117.69470399408752,-96.22402812123067,-48.42544100400041,9.30262164090446,9.30262164090446,107.31984045326145,0.16273514997268718,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6685400462962963,-160.65785277777778,322.650431712963,outside_local_union
