subset_name,bin_start,bin_end,event_count,median_projected_km,median_dist_m1_km,median_dist_m3_km
catalog_full_raw_M4+,2025-11-02 00:00:00+00:00,2025-11-09 00:00:00+00:00,17,1.3860996965540024,6.365195449819868,56.58235642521365
catalog_full_raw_M4+,2025-11-09 00:00:00+00:00,2025-11-16 00:00:00+00:00,60,11.557945564981623,17.289850210669243,47.0212623801161
catalog_full_raw_M4+,2025-11-16 00:00:00+00:00,2025-11-23 00:00:00+00:00,4,18.18396558585508,28.649958304229585,42.278903399509616
catalog_full_raw_M4+,2025-11-23 00:00:00+00:00,2025-11-30 00:00:00+00:00,2,3.5633650549794753,22.6599409964435,55.192081138786804
catalog_full_raw_M4+,2025-12-07 00:00:00+00:00,2025-12-14 00:00:00+00:00,1,9.161722927266073,9.420180450821421,48.244997039740426
catalog_full_raw_M4+,2025-12-14 00:00:00+00:00,2025-12-21 00:00:00+00:00,4,37.43286434145846,44.184545249516674,20.062314749520713
catalog_full_raw_M4+,2025-12-28 00:00:00+00:00,2026-01-04 00:00:00+00:00,3,23.928000312009672,25.837150997794264,34.57476516622037
catalog_full_raw_M4+,2026-01-11 00:00:00+00:00,2026-01-18 00:00:00+00:00,1,17.160371220718606,21.294830706784055,41.92437510387569
catalog_full_raw_M4+,2026-01-18 00:00:00+00:00,2026-01-25 00:00:00+00:00,1,6.022212030444752,11.125842019065066,52.092516058188934
catalog_full_raw_M4+,2026-01-25 00:00:00+00:00,2026-02-01 00:00:00+00:00,2,49.62408961547166,50.99791611302216,12.983299770054682
catalog_full_raw_M4+,2026-02-01 00:00:00+00:00,2026-02-08 00:00:00+00:00,1,43.61273379848208,43.78248016534548,13.607283992729853
catalog_full_raw_M4+,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2,23.197541177651214,25.351350879989056,35.41209231312109
catalog_full_raw_M4+,2026-03-08 00:00:00+00:00,2026-03-15 00:00:00+00:00,3,10.574706336691733,24.067905815688054,51.67772436732623
catalog_full_raw_M4+,2026-03-22 00:00:00+00:00,2026-03-29 00:00:00+00:00,12,13.177688094234387,16.96490679664575,46.009963502602446
catalog_full_raw_M4+,2026-04-05 00:00:00+00:00,2026-04-12 00:00:00+00:00,1,21.99131431073575,24.163719097722726,36.53020910939483
catalog_full_raw_M4+,2026-04-19 00:00:00+00:00,2026-04-26 00:00:00+00:00,38,40.0999679824134,44.97427709827398,26.43241311299839
catalog_full_raw_M4+,2026-04-26 00:00:00+00:00,2026-05-03 00:00:00+00:00,6,99.82548463453406,100.99140353531135,45.06025195568445
catalog_full_raw_M5+,2025-11-03 00:00:00+00:00,2025-11-10 00:00:00+00:00,20,3.7044047637649387,9.760335839538033,53.66625861085584
catalog_full_raw_M5+,2025-11-10 00:00:00+00:00,2025-11-17 00:00:00+00:00,8,12.01016360481433,25.06743350125506,48.49512010001951
catalog_full_raw_M5+,2025-11-17 00:00:00+00:00,2025-11-24 00:00:00+00:00,2,31.185898939298276,34.51710677516131,27.674501433862304
catalog_full_raw_M5+,2025-12-29 00:00:00+00:00,2026-01-05 00:00:00+00:00,2,54.137985503091485,54.64621884471326,36.98832114959592
catalog_full_raw_M5+,2026-03-02 00:00:00+00:00,2026-03-09 00:00:00+00:00,2,11.746826225766448,24.079507743462237,50.32579696351735
catalog_full_raw_M5+,2026-03-09 00:00:00+00:00,2026-03-16 00:00:00+00:00,1,2.0000656086677644,10.920246601529598,56.48209412092007
catalog_full_raw_M5+,2026-03-23 00:00:00+00:00,2026-03-30 00:00:00+00:00,2,11.66333290785642,17.22206663835769,47.47674737531594
catalog_full_raw_M5+,2026-04-20 00:00:00+00:00,2026-04-27 00:00:00+00:00,13,38.97788773550186,48.60791480856279,30.896877061791926
full_m1_to_m3_raw_M3+,2025-11-09 00:00:00+00:00,2025-11-16 00:00:00+00:00,224,11.742491981766314,19.344249235608157,47.124516177071825
full_m1_to_m3_raw_M3+,2025-11-16 00:00:00+00:00,2025-11-23 00:00:00+00:00,38,26.32801481924487,33.701962822406855,32.8971320230702
full_m1_to_m3_raw_M3+,2025-11-23 00:00:00+00:00,2025-11-30 00:00:00+00:00,8,5.730008453103991,28.92445786484742,53.12054312218218
full_m1_to_m3_raw_M3+,2025-11-30 00:00:00+00:00,2025-12-07 00:00:00+00:00,5,-6.028541374059449,15.422698989372078,64.88495907005782
full_m1_to_m3_raw_M3+,2025-12-07 00:00:00+00:00,2025-12-14 00:00:00+00:00,11,8.500743963211155,20.914115746606903,49.76868824578626
full_m1_to_m3_raw_M3+,2025-12-14 00:00:00+00:00,2025-12-21 00:00:00+00:00,16,45.75266236790152,45.987444404736735,54.75467908567951
full_m1_to_m3_raw_M3+,2025-12-28 00:00:00+00:00,2026-01-04 00:00:00+00:00,5,23.928000312009672,25.837150997794264,34.78065215294489
full_m1_to_m3_raw_M3+,2026-01-04 00:00:00+00:00,2026-01-11 00:00:00+00:00,1,91.12846208433344,99.98683310619198,52.961822620143415
full_m1_to_m3_raw_M3+,2026-01-11 00:00:00+00:00,2026-01-18 00:00:00+00:00,2,15.809368811036336,18.697130183912755,42.709768565228345
full_m1_to_m3_raw_M3+,2026-01-18 00:00:00+00:00,2026-01-25 00:00:00+00:00,3,6.022212030444752,11.125842019065066,52.092516058188934
full_m1_to_m3_raw_M3+,2026-01-25 00:00:00+00:00,2026-02-01 00:00:00+00:00,3,49.628420434571034,51.031149004114695,12.956795872291247
full_m1_to_m3_raw_M3+,2026-02-01 00:00:00+00:00,2026-02-08 00:00:00+00:00,4,39.662313947219616,40.018030015532176,17.865939316831007
full_m1_to_m3_raw_M3+,2026-02-08 00:00:00+00:00,2026-02-15 00:00:00+00:00,4,12.629540201582714,22.816438097954155,45.55118221625581
full_m1_to_m3_raw_M3+,2026-02-15 00:00:00+00:00,2026-02-22 00:00:00+00:00,1,17.93189168961006,21.517073875163454,40.97640314753942
