summary_type,summary_name,mode,threshold,event_count,largest_magnitude,start_time,end_time,duration_days,centroid_lat,centroid_lon,median_depth_km,depth_min_km,depth_max_km,median_projected_km,median_perp_km,centroid_dist_m1_km,centroid_dist_m3_km,median_dist_m1_km,median_dist_m3_km,median_axis_fraction,m2_related_fraction,frac_0_30km,frac_30_60km,frac_gt_60km,frac_M1_endpoint,frac_M3_endpoint,frac_endpoint_overlap,frac_corridor_noncore,frac_off_corridor_local,dominant_spatial_category,window_name
window_name,catalog_full,m2aware,M3+,714,7.7,2025-06-03 15:58:03.730000+00:00,2026-05-01 02:29:35.670000+00:00,331.43856412037036,39.58740493837535,143.38973306162467,13.49,0.82,36.55,18.312647887090897,10.838265786630949,22.940659264928687,34.608065537750825,24.42880460295848,42.039954044289416,0.3203517906392036,0.0,0.9719887955182073,0.028011204481792718,0.0,0.5812324929971989,0.28851540616246496,0.004201680672268907,0.012605042016806723,0.1134453781512605,mixed_M1_endpoint_M3_endpoint,catalog_full
window_name,catalog_full,m2aware,M4+,155,7.7,2025-11-02 09:57:55.560000+00:00,2026-04-30 08:43:13.850000+00:00,178.94812835648148,39.579936638709675,143.376950716129,13.79,4.07,35.04,15.652202812653103,9.69071419321687,22.715902911247188,34.68617355314577,22.27846898792179,43.06356057481367,0.273811369573488,0.0,0.9612903225806452,0.03870967741935484,0.0,0.6258064516129033,0.23225806451612904,0.012903225806451613,0.0,0.12903225806451613,M1_endpoint,catalog_full
window_name,catalog_full,m2aware,M5+,50,7.7,2025-11-03 19:16:06.620000+00:00,2026-04-26 16:57:22.060000+00:00,173.90365092592592,39.55121164,143.36102082000002,13.774999999999999,6.13,34.29,13.05451229764559,9.246637069369278,20.790969221373796,36.74497040596863,19.85946485829625,46.22195014626516,0.22836874362774728,0.0,0.94,0.06,0.0,0.7,0.14,0.02,0.0,0.14,M1_endpoint,catalog_full
window_name,full_m1_to_m3,m2aware,M3+,389,7.7,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.050000+00:00,161.99257881944445,39.50950483804627,143.4313021825193,13.01,3.09,36.31,13.135735764746862,10.460660258193029,13.606457965555487,43.795157613960804,21.200299794839285,45.96647746183847,0.22978962406449496,0.0,0.9922879177377892,0.007712082262210797,0.0,0.7712082262210797,0.16452442159383032,0.005141388174807198,0.010282776349614395,0.04884318766066838,M1_endpoint,full_m1_to_m3
window_name,full_m1_to_m3,m2aware,M4+,95,7.7,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.050000+00:00,161.99257881944445,39.51738601052631,143.4045120736842,13.27,6.13,31.73,13.320307953027054,10.099284417099568,15.557426704128309,41.851414447665135,19.497465283319716,46.01957420020629,0.2330184324477674,0.0,0.9789473684210527,0.021052631578947368,0.0,0.8,0.12631578947368421,0.010526315789473684,0.0,0.06315789473684211,M1_endpoint,full_m1_to_m3
window_name,full_m1_to_m3,m2aware,M5+,31,7.7,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.050000+00:00,161.99257881944445,39.49880722580645,143.39099145161288,12.97,6.13,31.73,12.659793433254828,10.738263308965116,14.665936136204481,43.09726781158764,18.16913127612272,47.74578962313948,0.2214637402778062,0.0,0.967741935483871,0.03225806451612903,0.0,0.8064516129032258,0.0967741935483871,0.0,0.0,0.0967741935483871,M1_endpoint,full_m1_to_m3
window_name,m1_related_primary,m2aware,M3+,335,6.9,2025-11-01 07:34:32.810000+00:00,2025-11-29 21:46:28.400000+00:00,28.591615625,39.48880253731343,143.45846534925374,12.89,3.82,31.31,10.008335499370247,10.03400947312763,10.513317068955807,46.992371105718135,18.41352555578301,48.788850082269555,0.17508053550253094,0.0,0.9970149253731343,0.0029850746268656717,0.0,0.7940298507462686,0.13432835820895522,0.0,0.008955223880597015,0.0626865671641791,M1_endpoint,m1_related_primary
window_name,m1_related_primary,m2aware,M4+,83,6.9,2025-11-02 09:57:55.560000+00:00,2025-11-29 21:46:28.400000+00:00,27.492046759259257,39.48268826506024,143.4448581566265,12.63,6.13,31.31,10.403876268180621,9.38378186931773,10.43908240092764,46.940907343549,16.403902460403696,48.0749051952324,0.18199991681431457,0.0,0.9879518072289156,0.012048192771084338,0.0,0.8433734939759037,0.07228915662650602,0.0,0.0,0.08433734939759036,M1_endpoint,m1_related_primary
window_name,m1_related_primary,m2aware,M5+,30,6.9,2025-11-03 19:16:06.620000+00:00,2025-11-21 12:22:05.090000+00:00,17.712482291666667,39.45665910000001,143.4472108,12.8,6.13,19.97,5.738191257437153,8.172854774965181,7.956744948147842,49.530787230141755,14.740567144194024,51.756764552509,0.10038088733448768,0.0,1.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,M1_endpoint,m1_related_primary
window_name,m1_related_sens_minus14_plus28,m2aware,M3+,343,6.9,2025-11-01 07:34:32.810000+00:00,2025-12-07 00:22:15.110000+00:00,35.69979513888889,39.488531311953345,143.45950071137025,12.96,3.82,31.31,9.787043935781885,10.03400947312763,10.450621700385177,47.06630313321455,18.22226897329337,48.54647586664186,0.1712093777602989,0.0,0.9970845481049563,0.0029154518950437317,0.0,0.7959183673469388,0.13119533527696792,0.0029154518950437317,0.008746355685131196,0.061224489795918366,M1_endpoint,m1_related_sens_minus14_plus28
window_name,m1_related_sens_minus14_plus28,m2aware,M4+,84,6.9,2025-11-02 09:57:55.560000+00:00,2025-12-07 00:16:44.810000+00:00,34.59640335648148,39.48244870238095,143.4446849166667,12.645,6.13,31.31,10.095460101981253,9.351356033243572,10.423830265328426,46.95582591993276,16.25308299523737,48.159951117486415,0.17660464728730674,0.0,0.9880952380952381,0.011904761904761904,0.0,0.8452380952380952,0.07142857142857142,0.0,0.0,0.08333333333333333,M1_endpoint,m1_related_sens_minus14_plus28
window_name,m1_related_sens_minus14_plus28,m2aware,M5+,30,6.9,2025-11-03 19:16:06.620000+00:00,2025-11-21 12:22:05.090000+00:00,17.712482291666667,39.45665910000001,143.4472108,12.8,6.13,19.97,5.738191257437153,8.172854774965181,7.956744948147842,49.530787230141755,14.740567144194024,51.756764552509,0.10038088733448768,0.0,1.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,M1_endpoint,m1_related_sens_minus14_plus28
window_name,m1_related_sens_minus7_plus14,m2aware,M3+,327,6.9,2025-11-02 09:57:55.560000+00:00,2025-11-23 03:42:42.320000+00:00,20.739430092592592,39.487517027522934,143.45546950764526,12.74,4.49,31.31,10.008335499370247,9.739886671422592,10.488166880078476,46.972066278183306,18.016122735867647,48.788850082269555,0.17508053550253094,0.0,0.9969418960244648,0.0030581039755351682,0.0,0.8012232415902141,0.13149847094801223,0.0,0.009174311926605505,0.0581039755351682,M1_endpoint,m1_related_sens_minus7_plus14
window_name,m1_related_sens_minus7_plus14,m2aware,M4+,81,6.9,2025-11-02 09:57:55.560000+00:00,2025-11-21 12:23:46.690000+00:00,19.10128622685185,39.482516814814815,143.44076446913581,12.43,6.13,31.31,10.403876268180621,9.318930197169415,10.606982747623125,46.77422202152773,16.10226353007105,48.0749051952324,0.18199991681431457,0.0,0.9876543209876543,0.012345679012345678,0.0,0.8395061728395061,0.07407407407407407,0.0,0.0,0.08641975308641975,M1_endpoint,m1_related_sens_minus7_plus14
window_name,m1_related_sens_minus7_plus14,m2aware,M5+,30,6.9,2025-11-03 19:16:06.620000+00:00,2025-11-21 12:22:05.090000+00:00,17.712482291666667,39.45665910000001,143.4472108,12.8,6.13,19.97,5.738191257437153,8.172854774965181,7.956744948147842,49.530787230141755,14.740567144194024,51.756764552509,0.10038088733448768,0.0,1.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,M1_endpoint,m1_related_sens_minus7_plus14
window_name,middle_phase_primary,m2aware,M3+,68,6.1,2025-12-02 01:46:38.120000+00:00,2026-03-15 23:57:16.420000+00:00,103.92405439814816,39.552785073529414,143.4093316764706,13.805,5.94,36.31,15.363215394078361,10.394915056609639,18.745316530406487,38.73347185887163,23.077136616598203,44.81207682159267,0.2687559762964797,0.0,0.9705882352941176,0.029411764705882353,0.0,0.7352941176470589,0.17647058823529413,0.029411764705882353,0.0,0.058823529411764705,M1_endpoint,middle_phase_primary
window_name,middle_phase_primary,m2aware,M4+,18,6.1,2025-12-07 00:16:44.810000+00:00,2026-03-13 19:55:22.600000+00:00,96.81849293981482,39.6369091111111,143.3525597777778,13.975000000000001,10.26,31.73,23.439773318841873,9.870058432497995,29.28793618496811,28.278423669463237,25.79473585206095,35.41209231312109,0.41004301514262764,0.0,0.9444444444444444,0.05555555555555555,0.0,0.5555555555555556,0.2777777777777778,0.05555555555555555,0.0,0.1111111111111111,mixed_M1_endpoint_M3_endpoint,middle_phase_primary
