along_strike_bin_index,first_activation_time,along_strike_bin_start_km,along_strike_bin_end_km,hours_since_mainshock64,reference_along_axis_strike_deg,reference_origin_x_km,reference_origin_y_km
0,2019-07-04 23:22:58.880000+00:00,-28.0,-26.0,5.8194,147.65393146491562,5.075194124527454,-3.969588203591513
1,2019-07-05 00:47:57.490000+00:00,-26.0,-24.0,7.235680555555556,147.65393146491562,5.075194124527454,-3.969588203591513
2,2019-07-04 19:05:58.340000+00:00,-24.0,-22.0,1.5359166666666668,147.65393146491562,5.075194124527454,-3.969588203591513
4,2019-07-05 18:25:12.600000+00:00,-20.0,-18.0,24.856544444444445,147.65393146491562,5.075194124527454,-3.969588203591513
5,2019-07-04 22:07:50.040000+00:00,-18.0,-16.0,4.566944444444444,147.65393146491562,5.075194124527454,-3.969588203591513
6,2019-07-04 17:55:47.520000+00:00,-16.0,-14.0,0.36624444444444443,147.65393146491562,5.075194124527454,-3.969588203591513
7,2019-07-04 19:31:24.840000+00:00,-14.0,-12.0,1.9599444444444445,147.65393146491562,5.075194124527454,-3.969588203591513
8,2019-07-04 23:21:00.200000+00:00,-12.0,-10.0,5.786433333333333,147.65393146491562,5.075194124527454,-3.969588203591513
9,2019-07-04 17:36:39+00:00,-10.0,-8.0,0.04721111111111111,147.65393146491562,5.075194124527454,-3.969588203591513
10,2019-07-04 17:36:59.360000+00:00,-8.0,-6.0,0.052866666666666666,147.65393146491562,5.075194124527454,-3.969588203591513
11,2019-07-04 17:54:21.660000+00:00,-6.0,-4.0,0.3423944444444444,147.65393146491562,5.075194124527454,-3.969588203591513
12,2019-07-04 17:37:55.240000+00:00,-4.0,-2.0,0.06838888888888889,147.65393146491562,5.075194124527454,-3.969588203591513
13,2019-07-04 17:41:21+00:00,-2.0,0.0,0.12554444444444443,147.65393146491562,5.075194124527454,-3.969588203591513
14,2019-07-04 17:45:23.600000+00:00,0.0,2.0,0.19293333333333332,147.65393146491562,5.075194124527454,-3.969588203591513
15,2019-07-04 17:33:49.040000+00:00,2.0,4.0,0.0,147.65393146491562,5.075194124527454,-3.969588203591513
16,2019-07-04 17:37:14.680000+00:00,4.0,6.0,0.05712222222222222,147.65393146491562,5.075194124527454,-3.969588203591513
17,2019-07-04 17:35:01.280000+00:00,6.0,8.0,0.020066666666666667,147.65393146491562,5.075194124527454,-3.969588203591513
18,2019-07-04 17:37:25.360000+00:00,8.0,10.0,0.060088888888888886,147.65393146491562,5.075194124527454,-3.969588203591513
19,2019-07-04 17:57:42.640000+00:00,10.0,12.0,0.3982222222222222,147.65393146491562,5.075194124527454,-3.969588203591513
20,2019-07-04 21:04:58.240000+00:00,12.0,14.0,3.5192222222222225,147.65393146491562,5.075194124527454,-3.969588203591513
21,2019-07-04 21:41:37.320000+00:00,14.0,16.0,4.130077777777778,147.65393146491562,5.075194124527454,-3.969588203591513
22,2019-07-05 17:41:03.600000+00:00,16.0,18.0,24.12071111111111,147.65393146491562,5.075194124527454,-3.969588203591513
23,2019-07-05 00:25:56.900000+00:00,18.0,20.0,6.86885,147.65393146491562,5.075194124527454,-3.969588203591513
24,2019-07-05 00:43:15.440000+00:00,20.0,22.0,7.157333333333334,147.65393146491562,5.075194124527454,-3.969588203591513
26,2019-07-05 06:34:38.300000+00:00,24.0,26.0,13.013683333333335,147.65393146491562,5.075194124527454,-3.969588203591513
