event_time,latitude,longitude,depth_km,magnitude,event_id,x_km,y_km,nearest_segment_id,nearest_fault_id,nearest_fault_distance_km,nearest_point_x_km,nearest_point_y_km,segment_fraction,segment_length_km,distance_along_segment_km,nearest_segment_strike_deg,segment_midpoint_distance_km
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,39,4.178017196477771,-3.845454814579482,145208,12186,0.4396556783548255,4.56079902573792,-4.061730533738836,1.0,7.34248576728991e-05,7.34248576728991e-05,15.20123211611853,0.4396647264100767
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,40,-0.27816638762110624,-10.981507718936578,165360,13032,0.466512378666737,-0.08668878951526662,-11.406913559132638,0.38342872793198146,0.12276211462470378,0.047070521448790266,65.76721805287939,0.4667318190203002
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,41,4.296843763675561,-5.502288421481513,140064,11969,0.21934345073154748,4.484610741862432,-5.615668804623368,0.0,0.04756399734173028,0.0,22.581734917869113,0.22411383432454934
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,42,3.4389790834935154,5.360197033511279,165495,13071,6.780827619442504,-3.316095465280972,4.769781040254458,1.0,0.5057688483454802,0.5057688483454802,144.53282557083972,6.912506750061303
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,43,-3.1629434615933283,1.4602560599838426,18932,1192,0.30457441149883696,-2.9279645736196698,1.6540355592775648,1.0,0.04592048151098693,0.04592048151098693,137.79785102516325,0.30518385577960055
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,44,3.0574742012146565,-8.322784175231511,165346,13029,0.02994869968173216,3.0308804456782092,-8.309011129849525,0.634672793541122,0.06309653566269746,0.04004565455181123,27.379875807104128,0.031130855974477994
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,45,9.20745301184879,-7.236748681188477,162369,12753,1.9082257492872674,8.573637372484606,-9.036638468242208,0.6072432721952253,0.48015730777103255,0.2915722947393317,109.39927467188684,1.9089204030790101
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,46,0.708652729824731,0.3937821055342046,165332,13027,1.8668515752322943,-0.5363018645203704,-0.9973407725633133,1.0,0.058614279870774305,0.058614279870774305,125.3066866062762,1.8704058370075374
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,47,7.318983823565784,-2.8719335986016827,162446,12780,1.7452382595965352,5.574522063903831,-2.9239888753434737,0.0,0.04291193802020041,0.0,30.654766151672874,1.756817032667951
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,48,0.351691037163859,-7.598226207766396,175025,14630,0.37159560923107227,0.06149228818973457,-7.366131436404211,1.0,0.04328787675760071,0.04328787675760071,60.301535935324345,0.3801133570871107
