fault_id,n_vertices,min_lon,max_lon,min_lat,max_lat,min_x_km,max_x_km,min_y_km,max_y_km,mean_strike_deg
149,2,-117.468499504948,-117.468390623129,35.6423479545945,35.6428700641022,7.381424409798589,7.3912376132351865,-10.831751281545246,-10.773813798705513,9.613278346366938
150,4,-117.374909073195,-117.374906230438,35.575023292491,35.5750440389513,15.871120126617381,15.871379446430431,-18.29045890553362,-18.288157475311458,174.1971429920984
151,6,-117.374919585371,-117.374914565355,35.5750102334356,35.5750448816161,15.870167201513043,15.87061966435068,-18.29190959540206,-18.288064915545657,2.8768036075961065
152,3,-117.374915461979,-117.374911829617,35.5750113845678,35.5750215567995,15.870545005973515,15.870872252059746,-18.291781594137912,-18.290652387119945,16.147209361573875
153,5,-117.374927389687,-117.374923644011,35.574976707609,35.5750004793887,15.86947066814006,15.869805499924011,-18.295630967372205,-18.292992857550445,7.2048685304962525
154,3,-117.375044104602,-117.375042426467,35.5750583615542,35.5750743982649,15.8588749309111,15.859023880152165,-18.286590224933686,-18.28481066358197,4.782780888699721
155,7,-117.582773148562,-117.575132867288,35.6198831030229,35.6216295216851,-2.9690653296472345,-2.276848724674589,-13.326844026706556,-13.133279514600925,74.39805206939262
156,3,-117.568627435108,-117.568596220539,35.6240054010285,35.624298676243,-1.687449379965389,-1.6846278262144856,-12.869802762876628,-12.837262741151198,175.06199497592186
157,2,-117.579854432136,-117.57973338159,35.6199878722426,35.6202222013935,-2.7046423012972456,-2.693667942793173,-13.31530400462663,-13.289308050867401,22.887351314059686
158,4,-117.578011799505,-117.577577085214,35.6180314681778,35.6189121580697,-2.5377721021915463,-2.4983610756006467,-13.532420045889298,-13.43471694019983,21.907052039699394
159,2,-117.580026797099,-117.579987087534,35.6171631502592,35.6173255129621,-2.7203533388319068,-2.7167502546423816,-13.628707638384775,-13.610694284288192,11.311196721114726
160,2,-117.579782593392,-117.579729197944,35.6172074913327,35.6173264968204,-2.6982235975764577,-2.6933901062813526,-13.623796115459228,-13.610590762121662,159.8961040016309
161,3,-117.579559791751,-117.57862521718,35.6172059444988,35.6172223535289,-2.678042147700568,-2.5933717652296147,-13.623985959106129,-13.622176847069035,89.32120416606878
162,6,-117.581535460193,-117.579611384957,35.6165643438694,35.6170697754498,-2.8570557854517764,-2.6827211515626397,-13.695103504249763,-13.639079182046787,72.16253370835635
163,4,-117.582639272784,-117.581557582616,35.6157242655624,35.6163878222403,-2.9570901631119737,-2.859066325363732,-13.7882791073012,-13.714688271359837,52.97994241790019
164,7,-117.58685790257,-117.583270341453,35.61344754277,35.6157498782543,-3.339389117083024,-3.0142634800006696,-14.0407504982952,-13.785418141643923,51.82776232165435
165,6,-117.588690102166,-117.586901918089,35.6123748898893,35.6138766911564,-3.505436376805947,-3.343359122194048,-14.159699447391874,-13.99313419203688,44.158361739231204
166,10,-117.590662743491,-117.587149183088,35.6105479054615,35.6133507505368,-3.684247294189117,-3.365783688646258,-14.362334460844913,-14.05147983011487,45.565255379480476
167,2,-117.591100091896,-117.59072853969,35.6104455185459,35.6107669964998,-3.7238779877595856,-3.6901986854395874,-14.373677975124904,-14.338023445889872,43.368162248895004
168,4,-117.591871422428,-117.591098793275,35.6096928948113,35.6102690202991,-3.7938000347867447,-3.723768513799455,-14.457153395978636,-14.393260820929134,47.67389039893445
169,2,-117.592287757274,-117.592139095743,35.6095579839139,35.6097170811784,-3.8315212925368933,-3.8180592453077584,-14.472111625033882,-14.454453710230663,142.67881487441704
170,2,-117.592209793247,-117.592052500023,35.6096387673153,35.6096920053818,-3.824461021453674,-3.810206783643986,-14.46314581192099,-14.457245068600768,67.51219899616629
171,10,-117.593366441908,-117.592106083429,35.6079032987982,35.6098348024342,-3.9292986774682994,-3.815054972221061,-14.655668202389016,-14.44139940100211,23.935024620147676
172,2,-117.593885177159,-117.593857187559,35.6081136448289,35.6082807325698,-3.9763364108897314,-3.9737920657510637,-14.632294293076646,-14.613756748788441,7.8152216942306225
