bin_id,stage,start_time,end_time,end_inclusive,page,subplot_index,event_count,centroid_x_km,centroid_y_km,principal_strike_deg,major_spread_km,minor_spread_km,elongation_ratio,median_nearest_fault_distance_km,q25_nearest_fault_distance_km,q75_nearest_fault_distance_km,dominant_local_fault_strike_deg,angular_misfit_deg,fraction_within_0.25km,fraction_within_0.5km,fraction_within_1.0km,fraction_within_2.0km,fraction_within_5.0km,along_strike_min_km,along_strike_max_km,along_strike_range_km,newly_activated_range_km,is_sparse_for_orientation,cumulative_occupied_range_km,cumulative_occupied_bin_count,reference_along_axis_strike_deg,reference_origin_x_km,reference_origin_y_km
0,stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,False,1,0,68,1.815562910983558,-5.405204399399343,32.637825107231635,5.515716009806501,4.598357822752795,1.1994969122486714,0.5028956654016967,0.2072410581733617,1.5375668111771537,30.626168287818917,2.011656819412721,0.35294117647058826,0.5,0.6323529411764706,0.8823529411764706,0.9705882352941176,-14.068823720248854,11.608299873147576,25.67712359339643,28.0,False,28.0,12,147.65393146491562,5.075194124527454,-3.969588203591513
1,stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,False,1,1,70,1.7873054321023796,-5.81963948358421,39.30268210966089,5.198134454274163,3.9357014904295697,1.320764409321806,0.754849581916025,0.23245322578971434,1.5744022128585704,27.960346801944628,11.342335307716269,0.2714285714285714,0.37142857142857144,0.5714285714285714,0.8571428571428571,1.0,-9.662533239155394,11.0619232847247,20.724456523880093,0.0,False,28.0,12,147.65393146491562,5.075194124527454,-3.969588203591513
2,stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,False,1,2,65,2.220479239216582,-6.7707057267193544,21.628436413442433,4.727548948764394,3.058595332205163,1.5456601594157149,0.4220034574887012,0.1429675302127905,1.02049365405004,18.00895529999158,3.6194811134508598,0.35384615384615387,0.5692307692307692,0.7384615384615385,1.0,1.0,-9.15751460699316,11.068293830441505,20.225808437434665,0.0,False,28.0,12,147.65393146491562,5.075194124527454,-3.969588203591513
3,stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,False,1,3,65,1.284085313798174,-6.157834306369911,21.51744005492813,6.213433980402735,5.155124296231136,1.2052927579157149,0.5504428204314068,0.19872158983138843,1.4816976776091089,165.03546496403524,36.48197509089289,0.2923076923076923,0.47692307692307695,0.5846153846153846,0.9076923076923077,1.0,-23.70669683085046,11.296005844264522,35.00270267511498,12.0,False,36.0,14,147.65393146491562,5.075194124527454,-3.969588203591513
4,stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,False,1,4,75,1.4265957662342972,-7.841387924267509,25.89304069870407,6.127594087895113,2.8082616621222054,2.181988299218701,0.40592985363624307,0.14396291631243618,0.8666302753353419,175.14958761849178,30.743453080212305,0.3466666666666667,0.6133333333333333,0.7866666666666666,0.96,0.9866666666666667,-9.15751460699316,11.85693848984264,21.0144530968358,0.0,False,36.0,14,147.65393146491562,5.075194124527454,-3.969588203591513
5,stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,False,1,5,72,1.0532815738126478,-7.4596156722247855,26.658167999786237,5.876158537702997,4.078146276801218,1.4408895951402922,0.3985398441473825,0.09766306609432618,1.19702576159918,33.57435921045691,6.916191210670675,0.4166666666666667,0.5416666666666666,0.6666666666666666,0.9444444444444444,1.0,-12.38032652447393,9.429856276021809,21.81018280049574,0.0,False,36.0,14,147.65393146491562,5.075194124527454,-3.969588203591513
6,stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,False,1,6,67,2.13607881855351,-7.006141000070463,35.72098835259708,5.810773692128931,2.840310413005198,2.0458234654644056,0.49398807863856614,0.1753397705719605,1.3996399506040778,27.86272131004461,7.85826704255247,0.3283582089552239,0.5074626865671642,0.6567164179104478,0.8805970149253731,0.9850746268656716,-9.15751460699316,10.158150771486255,19.315665378479416,0.0,False,36.0,14,147.65393146491562,5.075194124527454,-3.969588203591513
7,stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,False,1,7,68,0.6474811884336601,-8.141015889613993,22.123622643989634,6.478329966726158,3.8626617887223773,1.6771672802523425,0.39384286539674834,0.18510213062487132,1.071177860375349,173.02447444106744,29.09914820292221,0.36764705882352944,0.5735294117647058,0.7058823529411765,0.9264705882352942,1.0,-23.731242147057998,12.175721944321012,35.90696409137901,2.0,False,38.0,15,147.65393146491562,5.075194124527454,-3.969588203591513
8,stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,False,2,0,270,1.4939631928708126,-6.710774285143177,25.849043628537213,6.323930741470375,4.145819607989873,1.525375279060097,0.6030999697691525,0.13317888673004116,1.3672007851849468,32.78473627464477,6.9356926461075545,0.35185185185185186,0.4777777777777778,0.6333333333333333,0.9037037037037037,0.9962962962962963,-26.014023905964205,15.527144672133083,41.541168578097285,44.0,False,44.0,19,147.65393146491562,5.075194124527454,-3.969588203591513
9,stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,False,2,1,284,0.3764513627226925,-6.79520587965693,22.34110720828432,7.157371138315498,4.5457881342576325,1.5745060981563674,0.5118267646438343,0.19569290890362923,1.3544538881475745,4.696395025995977,17.644712182288345,0.2992957746478873,0.49295774647887325,0.6866197183098591,0.8767605633802817,0.9823943661971831,-24.15005218164225,20.01066357579799,44.160715757440244,48.0,False,50.0,22,147.65393146491562,5.075194124527454,-3.969588203591513
