family_name,figure_dir_name,file_prefix,page_number,panel_position,figure_filename,window_family,stage_label,global_window_id,window_index,window_label,start_time,end_time,duration_hours
post64_hourly,figures_post64_hourly,post64_hourly,3,8,post64_hourly_page_003.png,post64_hourly,1h_mainshock64_to_mainshock71,23,23,post64_hourly_1h_mainshock64_to_mainshock71_0023,2019-07-05T16:33:49.040000Z,2019-07-05T17:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,1,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,24,24,post64_hourly_1h_mainshock64_to_mainshock71_0024,2019-07-05T17:33:49.040000Z,2019-07-05T18:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,2,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,25,25,post64_hourly_1h_mainshock64_to_mainshock71_0025,2019-07-05T18:33:49.040000Z,2019-07-05T19:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,3,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,26,26,post64_hourly_1h_mainshock64_to_mainshock71_0026,2019-07-05T19:33:49.040000Z,2019-07-05T20:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,4,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,27,27,post64_hourly_1h_mainshock64_to_mainshock71_0027,2019-07-05T20:33:49.040000Z,2019-07-05T21:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,5,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,28,28,post64_hourly_1h_mainshock64_to_mainshock71_0028,2019-07-05T21:33:49.040000Z,2019-07-05T22:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,6,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,29,29,post64_hourly_1h_mainshock64_to_mainshock71_0029,2019-07-05T22:33:49.040000Z,2019-07-05T23:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,7,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,30,30,post64_hourly_1h_mainshock64_to_mainshock71_0030,2019-07-05T23:33:49.040000Z,2019-07-06T00:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,4,8,post64_hourly_page_004.png,post64_hourly,1h_mainshock64_to_mainshock71,31,31,post64_hourly_1h_mainshock64_to_mainshock71_0031,2019-07-06T00:33:49.040000Z,2019-07-06T01:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,5,1,post64_hourly_page_005.png,post64_hourly,1h_mainshock64_to_mainshock71,32,32,post64_hourly_1h_mainshock64_to_mainshock71_0032,2019-07-06T01:33:49.040000Z,2019-07-06T02:33:49.040000Z,1.0
post64_hourly,figures_post64_hourly,post64_hourly,5,2,post64_hourly_page_005.png,post64_hourly,1h_mainshock64_to_mainshock71,33,33,post64_hourly_1h_mainshock64_to_mainshock71_0033,2019-07-06T02:33:49.040000Z,2019-07-06T03:19:53.040000Z,1.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,1,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,0,0,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0000,2019-07-04T17:33:49.040000Z,2019-07-04T19:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,2,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,1,1,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0001,2019-07-04T19:33:49.040000Z,2019-07-04T21:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,3,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,2,2,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0002,2019-07-04T21:33:49.040000Z,2019-07-04T23:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,4,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,3,3,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0003,2019-07-04T23:33:49.040000Z,2019-07-05T01:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,5,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,4,4,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0004,2019-07-05T01:33:49.040000Z,2019-07-05T03:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,6,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,5,5,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0005,2019-07-05T03:33:49.040000Z,2019-07-05T05:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,7,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,6,6,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0006,2019-07-05T05:33:49.040000Z,2019-07-05T07:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,1,8,whole_sequence_2h_page_001.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,7,7,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0007,2019-07-05T07:33:49.040000Z,2019-07-05T09:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,1,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,8,8,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0008,2019-07-05T09:33:49.040000Z,2019-07-05T11:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,2,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,9,9,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0009,2019-07-05T11:33:49.040000Z,2019-07-05T13:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,3,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,10,10,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0010,2019-07-05T13:33:49.040000Z,2019-07-05T15:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,4,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,11,11,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0011,2019-07-05T15:33:49.040000Z,2019-07-05T17:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,5,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,12,12,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0012,2019-07-05T17:33:49.040000Z,2019-07-05T19:33:49.040000Z,2.0
