window_label,window_index,start_time,end_time,n_events,n_clusters,dominant_cluster_fraction,clustered_event_fraction,principal_axis_azimuth_deg,principal_axis_azimuth_change_deg,centroid_step_distance_km,centroid_step_azimuth_deg,branching_class,orientation_class
post64_hourly_1h_mainshock64_to_mainshock71_0020,20,2019-07-05T13:33:49.040000Z,2019-07-05T14:33:49.040000Z,135,3,0.3925925925925926,0.8,10.5313360386167,8.449466492957754,1.6407899425014532,159.6765656271864,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0021,21,2019-07-05T14:33:49.040000Z,2019-07-05T15:33:49.040000Z,148,3,0.7297297297297297,0.8918918918918919,4.776491321664935,5.754844716951766,0.7227881994947658,326.11707573273367,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0022,22,2019-07-05T15:33:49.040000Z,2019-07-05T16:33:49.040000Z,162,2,0.6358024691358025,0.9197530864197532,17.690474889843813,12.913983568178878,2.771463789975615,168.16968282094058,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0023,23,2019-07-05T16:33:49.040000Z,2019-07-05T17:33:49.040000Z,152,2,0.7171052631578947,0.8223684210526315,9.1095019410663,8.580972948777514,2.549644588327936,358.9085928060974,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0024,24,2019-07-05T17:33:49.040000Z,2019-07-05T18:33:49.040000Z,146,3,0.6095890410958904,0.8698630136986302,355.5826584930795,13.52684344798672,0.9102507969893988,164.08339586243403,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0025,25,2019-07-05T18:33:49.040000Z,2019-07-05T19:33:49.040000Z,141,2,0.7446808510638298,0.9574468085106383,17.343279703961002,21.76062121088148,0.8328402730696985,190.61157896742017,multi_cluster,moderate_change
post64_hourly_1h_mainshock64_to_mainshock71_0026,26,2019-07-05T19:33:49.040000Z,2019-07-05T20:33:49.040000Z,142,3,0.7183098591549296,0.9366197183098592,6.229986223375988,11.113293480585014,0.6355531306393521,49.15646310071986,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0027,27,2019-07-05T20:33:49.040000Z,2019-07-05T21:33:49.040000Z,141,2,0.6453900709219859,0.851063829787234,12.6052064739128,6.375220250536813,1.684482001976691,198.9715801174184,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0028,28,2019-07-05T21:33:49.040000Z,2019-07-05T22:33:49.040000Z,144,2,0.6180555555555556,0.875,6.706886342438679,5.898320131474122,0.7675972177008159,330.43854992732,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0029,29,2019-07-05T22:33:49.040000Z,2019-07-05T23:33:49.040000Z,135,2,0.6074074074074074,0.9037037037037036,8.937668837292733,2.230782494854054,0.4262481191137318,64.75459516035602,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0030,30,2019-07-05T23:33:49.040000Z,2019-07-06T00:33:49.040000Z,116,2,0.4224137931034483,0.7155172413793104,359.16545084207223,9.772217995220444,2.5620277432696126,14.82834165191531,multi_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0031,31,2019-07-06T00:33:49.040000Z,2019-07-06T01:33:49.040000Z,113,1,0.6548672566371682,0.6548672566371682,354.849785874776,4.315664967296243,0.636081189487443,273.7337482436791,single_dominant_cluster,stable
post64_hourly_1h_mainshock64_to_mainshock71_0032,32,2019-07-06T01:33:49.040000Z,2019-07-06T02:33:49.040000Z,118,3,0.3728813559322034,0.8050847457627118,15.85711963908102,21.00733376430503,2.2686245867950414,158.95191302314674,multi_cluster,moderate_change
post64_hourly_1h_mainshock64_to_mainshock71_0033,33,2019-07-06T02:33:49.040000Z,2019-07-06T03:19:53.040000Z,95,2,0.3894736842105263,0.7157894736842105,16.26937913388565,0.4122594948046298,0.0973361627950119,255.43194666543107,multi_cluster,stable
