family_name,figure_dir,page_number,figure_filename,figure_path,n_windows_on_page,window_index_min,window_index_max,start_time_min,end_time_max
post64_hourly,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly,1,post64_hourly_page_001.png,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly/post64_hourly_page_001.png,8,0,7,2019-07-04T17:33:49.040000Z,2019-07-05T01:33:49.040000Z
post64_hourly,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly,2,post64_hourly_page_002.png,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly/post64_hourly_page_002.png,8,8,15,2019-07-05T01:33:49.040000Z,2019-07-05T09:33:49.040000Z
post64_hourly,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly,3,post64_hourly_page_003.png,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly/post64_hourly_page_003.png,8,16,23,2019-07-05T09:33:49.040000Z,2019-07-05T17:33:49.040000Z
post64_hourly,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly,4,post64_hourly_page_004.png,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly/post64_hourly_page_004.png,8,24,31,2019-07-05T17:33:49.040000Z,2019-07-06T01:33:49.040000Z
post64_hourly,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly,5,post64_hourly_page_005.png,<PACKAGE_ROOT>/results/exp_run/outputs/03_visualization_and_evidence/figures_post64_hourly/post64_hourly_page_005.png,2,32,33,2019-07-06T01:33:49.040000Z,2019-07-06T03:19:53.040000Z
