mainshock_label,event_time,latitude,longitude,depth_km,magnitude
mainshock64,2019-07-04T17:33:49.040000Z,35.70421,-117.49392,11.864,6.4
mainshock71,2019-07-06T03:19:53.040000Z,35.77623,-117.59286,1.986,7.1
