event_time,latitude,longitude,depth_km,magnitude,elapsed_hr_since_64,x_km,y_km
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,0.0,3.6312392699671965,2.3676498994296735
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,0.020066666666666667,-0.8253829048323298,-4.768127971008256
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,0.03411111111111111,3.749963532920708,0.7108089638451218
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,0.04721111111111111,2.8927696262021305,11.573347353100617
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,0.052866666666666666,-3.7093953551259315,7.6738128535486725
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,0.05712222222222222,2.510420210686757,-2.109610045493274
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,0.060088888888888886,8.660464670725421,-1.0239566782322636
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,0.06838888888888889,0.16213602432389895,6.6071011089855265
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,0.0756,6.772266043307198,3.340976003060402
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,0.0826,-0.1953176582452733,-1.384885199409366
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,0.09608333333333333,5.596248141905887,0.23767612877249866
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,0.1035888888888889,-1.5451727148746832,4.458164525042551
2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,0.10804444444444444,4.541478970520291,2.521938309025346
2019-07-04 17:41:21+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46,0.12554444444444443,1.0249802749328867,6.10742100223433
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,0.13175555555555554,-3.423092717614701,-7.999986531817317
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,0.14234444444444447,-8.035640986053703,-12.106664376579086
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,0.15132777777777778,-0.7138606025469852,5.063090705408443
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,0.16115555555555555,1.3545895351536303,-3.1933144163111473
2019-07-04 17:43:48.940000+00:00,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,0.1666388888888889,0.803362764712219,6.6522943492644
2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053552,3.53944529,4.02,0.1787611111111111,4.04114875740555,0.18357577300802044
2019-07-04 17:45:05.640000+00:00,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,0.18794444444444444,6.04930482344146,1.209147211838584
2019-07-04 17:45:23.600000+00:00,35.70646379518505,-117.53111898237304,5.615281910000001,3.07,0.19293333333333332,1.1618984774055017,2.4924497834468844
2019-07-04 17:45:28.760000+00:00,35.71193279518505,-117.54972337718884,0.97005311,3.18,0.1943666666666667,-0.5217010366366425,3.099194489450197
2019-07-04 17:46:03.260000+00:00,35.637526795185046,-117.60167101483177,10.7468081,3.07,0.20395000000000002,-5.227316070283967,-5.154853336550123
