event_label,event_time,event_time_iso,latitude,longitude,depth_km,magnitude,x_m,y_m
Mainshock64,2019-07-04T17:33:49.040000+0000,2019-07-04T17:33:49.040000+00:00,35.70421,-117.49392,11.864,6.4,455318.34619261464,3951254.2256241366
Mainshock71,2019-07-06T03:19:53.040000+0000,2019-07-06T03:19:53.040000+00:00,35.77623,-117.59286,1.986,7.1,446416.0893837374,3959291.6285481756
