event_time,latitude,longitude,depth_km,magnitude,event_time_raw,within_intermainshock_window,x_m,y_m
2019-07-04T17:33:49.040000+0000,35.705333,-117.503833,10.5,6.4,2019-07-04 17:33:49.040000+00:00,True,454422.21494025877,3951383.3351523066
2019-07-04T17:35:01.280000+0000,35.64102579518505,-117.55307126655964,8.56209893,4.49,2019-07-04 17:35:01.280000+00:00,True,449927.82544728584,3944274.9847075655
2019-07-04T17:35:51.840000+0000,35.69039979518505,-117.50252882330362,2.72653025,4.68,2019-07-04 17:35:51.840000+00:00,True,454531.71781828604,3949726.482695578
2019-07-04T17:36:39.000000+0000,35.78830379518505,-117.51195990168593,0.97005311,3.5,2019-07-04 17:36:39.000000+00:00,True,453735.07089249254,3960589.5416598427
2019-07-04T17:36:59.360000+0000,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,2019-07-04 17:36:59.360000+00:00,True,447113.8175724174,3956728.1351872734
2019-07-04T17:37:14.680000+0000,35.66498379518505,-117.516231991334,3.85880477,4.39,2019-07-04 17:37:14.680000+00:00,True,453277.0456555014,3946914.0223114085
2019-07-04T17:37:25.360000+0000,35.67473379518505,-117.44829669383624,10.69600091,4.23,2019-07-04 17:37:25.360000+00:00,True,459430.6884690515,3947965.215183855
2019-07-04T17:37:55.240000+0000,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,2019-07-04 17:37:55.240000+00:00,True,450977.94928648317,3955640.3654243406
2019-07-04T17:38:21.200000+0000,35.71408879518505,-117.46911653286318,3.33621653,3.63,2019-07-04 17:38:21.200000+00:00,True,457567.4034302061,3952338.881698681
2019-07-04T17:38:46.400000+0000,35.67151879518505,-117.54611546215324,12.55409243,3.67,2019-07-04 17:38:46.400000+00:00,True,450576.36498656136,3947653.4399258997
2019-07-04T17:39:34.940000+0000,35.68612679518505,-117.48213451514764,9.78147149,4.04,2019-07-04 17:39:34.940000+00:00,True,456374.66128832055,3949243.3130355394
2019-07-04T17:40:01.960000+0000,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,2019-07-04 17:40:01.960000+00:00,True,449259.38669846044,3953501.718670497
2019-07-04T17:40:18.000000+0000,35.70671979518505,-117.4937740008517,9.63630809,4.55,2019-07-04 17:40:18.000000+00:00,True,455332.9539605376,3951532.5218081158
2019-07-04T17:41:21.000000+0000,35.73904479518505,-117.53262733602214,4.49026556,3.46,2019-07-04 17:41:21.000000+00:00,True,451837.6900690131,3955136.0950918896
2019-07-04T17:41:43.360000+0000,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,2019-07-04 17:41:43.360000+00:00,True,447313.24428738136,3941058.723316614
2019-07-04T17:42:21.480000+0000,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,2019-07-04 17:42:21.480000+00:00,True,442679.75872319104,3936979.072611709
2019-07-04T17:42:53.820000+0000,35.72963279518505,-117.551848655711,6.950785190000001,3.36,2019-07-04 17:42:53.820000+00:00,True,450093.7317411798,3954101.805486732
2019-07-04T17:43:29.200000+0000,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,2019-07-04 17:43:29.200000+00:00,True,452115.66731912695,3945837.1331065674
2019-07-04T17:43:48.940000+0000,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,2019-07-04 17:43:48.940000+00:00,True,451619.178852284,3955681.986307394
2019-07-04T17:44:32.580000+0000,35.68564679518505,-117.49931448053552,3.53944529,4.02,2019-07-04 17:44:32.580000+00:00,True,454819.870492856,3949197.8430496478
2019-07-04T17:45:05.640000+0000,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,2019-07-04 17:45:05.640000+00:00,True,456832.91906279686,3950211.8946166583
2019-07-04T17:45:23.600000+0000,35.70646379518505,-117.53111898237304,5.615281910000001,3.07,2019-07-04 17:45:23.600000+00:00,True,451954.52438442735,3951521.763649446
2019-07-04T17:45:28.760000+0000,35.71193279518505,-117.54972337718884,0.97005311,3.18,2019-07-04 17:45:28.760000+00:00,True,450274.9355726157,3952137.600193441
2019-07-04T17:46:03.260000+0000,35.637526795185046,-117.60167101483177,10.7468081,3.07,2019-07-04 17:46:03.260000+00:00,True,445525.43399047863,3943912.7483660146
2019-07-04T17:46:20.160000+0000,35.65781479518505,-117.52207447501245,4.99833746,2.88,2019-07-04 17:46:20.160000+00:00,True,452744.02746354934,3946121.7033063523
2019-07-04T17:46:49.500000+0000,35.63425079518505,-117.60230577918657,11.01536039,3.24,2019-07-04 17:46:49.500000+00:00,True,445465.7370517116,3943549.759472401
2019-07-04T17:47:17.540000+0000,35.74410179518505,-117.536338701679,6.44271329,3.76,2019-07-04 17:47:17.540000+00:00,True,451505.157260206,3955698.8026485946
2019-07-04T17:47:40.720000+0000,35.72343579518505,-117.55573020795666,4.5338145800000005,3.05,2019-07-04 17:47:40.720000+00:00,True,449738.80839190073,3953416.469944288
2019-07-04T17:47:54.600000+0000,35.72312679518505,-117.55507018563394,4.6426871300000006,3.77,2019-07-04 17:47:54.600000+00:00,True,449798.3086802555,3953381.860524718
2019-07-04T17:48:15.360000+0000,35.70904779518505,-117.5001051689028,6.19593551,3.11,2019-07-04 17:48:15.360000+00:00,True,454761.5440533572,3951793.6208372377
2019-07-04T17:48:24.000000+0000,35.64906679518505,-117.53344284521653,4.265262290000001,3.11,2019-07-04 17:48:24.000000+00:00,True,451709.7357221957,3945156.9902784307
2019-07-04T17:48:57.360000+0000,35.61270979518505,-117.58391223067468,4.758817850000001,2.68,2019-07-04 17:48:57.360000+00:00,True,447116.97163154295,3941150.61293289
