node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,is_low_abs,is_low_q20,dist_to_mw71_km,dist_to_mw64_km
1144,-6.0,-18.0,545,157,2.004331210191083,0.8526759664704624,0.8555806964990369,0.07496544681790665,0.7171984279723363,1.0150700875272765,robust,1.0,full_interevent,5.0,-117.60975584163191,35.559217354991056,True,False,24.126720374812447,19.206581375276702
1145,-5.0,-18.0,572,165,1.9986666666666666,0.8622656821374954,0.867039564272797,0.07606788378986827,0.7288028691646943,1.0367310340108702,robust,1.0,full_interevent,5.0,-117.59872597016918,35.559222919251326,True,False,24.08341384469115,18.678999050915483
1146,-4.0,-18.0,588,168,1.9994642857142855,0.8609023358082164,0.8657992968666163,0.06975846546381366,0.7345425004968499,1.0226851911651351,robust,1.0,full_interevent,5.0,-117.5876960973186,35.55922747182838,True,False,24.0815906614354,18.191130887415362
1147,-3.0,-18.0,524,155,2.027161290322581,0.8160955894405525,0.821114670887255,0.06722136410315421,0.6966611772875414,0.9591958842892329,robust,1.0,full_interevent,5.0,-117.57666622335772,35.55923101272192,True,False,24.121260231488815,17.74625257292516
1148,-2.0,-18.0,335,96,2.0796875,0.7427805142118685,0.7550669829200617,0.08092906781798373,0.6142306670146355,0.924169624064525,moderately_uncertain,1.0,full_interevent,5.0,-117.5656363485641,35.559233541931754,True,False,24.202218524868233,17.347671826531325
1149,-1.0,-18.0,205,54,2.0649999999999995,0.7619201436899161,0.7791530350787537,0.1137291383523799,0.5804207967395734,1.0187620340041532,moderately_uncertain,1.0,full_interevent,5.0,-117.55460647321536,35.55923505945772,True,False,24.32405327850904,16.998645687818907
1199,-7.0,-17.0,575,165,1.9991515151515151,0.8614364310156465,0.8621527069447136,0.0746767539339195,0.7263299715737347,1.0137199830835328,robust,1.0,full_interevent,5.0,-117.62079436814302,35.5682237675478,True,False,23.217060694691487,18.96596413163667
1200,-6.0,-17.0,647,184,1.9895108695652173,0.8782304063105655,0.8820922200301613,0.07340345520137052,0.7448714851514524,1.0403891038356254,robust,1.0,full_interevent,5.0,-117.60976326167435,35.56823034469854,True,False,23.12885846018475,18.37716063110688
1201,-5.0,-17.0,677,198,1.9816161616161616,0.8924785409117163,0.8970680331125039,0.06833645399061229,0.7716910929640853,1.041328919644359,robust,1.0,full_interevent,5.0,-117.59873215353933,35.568235909980615,True,False,23.083679950162427,17.82504615086537
1202,-4.0,-17.0,689,204,2.0043627450980392,0.852623176867129,0.8591200817082377,0.06485924939473035,0.7384084316978838,0.9959625065227876,robust,1.0,full_interevent,5.0,-117.58770104401563,35.56824046339369,True,False,23.081777800069954,17.3131310772909
