time,latitude,longitude,depth_km,magnitude
2019-01-26 07:23:43.663000+00:00,36.02312,-117.77551,2.815,0.41
2019-01-26 08:05:44.703000+00:00,35.75337,-117.56607,9.477,1.55
2019-01-26 09:04:43.340000+00:00,35.78565,-117.66987,9.065,1.19
2019-01-26 11:21:54.199000+00:00,35.78532,-117.66978,9.053,0.92
2019-01-26 12:12:27.936000+00:00,36.00999,-117.80512,1.979,0.6
2019-01-26 20:11:06.238000+00:00,36.02882,-117.81602,1.952,0.34
2019-01-26 23:37:15.176000+00:00,35.99347,-117.68556,3.258,0.67
2019-01-27 00:19:10.184000+00:00,35.49504,-118.28841,4.929,0.98
2019-01-27 01:07:15.447000+00:00,36.01839,-117.80972,1.921,0.12
2019-01-27 02:05:15.235000+00:00,36.09017,-117.83797,2.324,0.34
2019-01-27 03:30:27.830000+00:00,36.1775,-117.4065,4.17,0.37
2019-01-27 11:50:31.011000+00:00,36.11593,-117.84263,2.871,0.84
2019-01-27 12:18:25.511000+00:00,36.11825,-117.86814,2.928,0.21
2019-01-27 16:14:35.645000+00:00,35.91884,-117.71836,3.393,0.66
2019-01-27 21:40:22.488000+00:00,36.0901,-117.83768,2.176,1.12
2019-01-27 21:49:11.596000+00:00,36.10799,-117.86392,2.329,0.42
2019-01-27 22:02:45.560000+00:00,36.16833,-117.599,2.96,0.5
2019-01-28 07:14:11.688000+00:00,35.37273,-117.87096,6.478,1.37
2019-01-28 17:16:40.442000+00:00,35.66123,-117.70215,6.043,1.16
2019-01-28 19:01:25.183000+00:00,36.08663,-117.61511,3.9,0.59
2019-01-28 19:43:39.938000+00:00,36.01425,-117.51846,5.056,1.2
2019-01-28 23:20:45.589000+00:00,35.70651,-118.06994,7.373,0.88
2019-01-29 05:07:32.362000+00:00,35.37328,-117.87146,6.427,1.51
2019-01-29 05:40:44.794000+00:00,35.3731,-117.87153,6.393,1.39
2019-01-29 07:56:23.069000+00:00,36.01813,-117.8122,1.781,0.94
