along_center_km,b_value,b_boot_std,n_ge_mc,node_count
-2.5025916411682725,0.568016815997463,0.0802338686603572,81,2
-1.5184739051564875,0.6655585752369158,0.0783926424654373,656,9
-0.49105066111218004,0.6827952936236675,0.05527402216839127,935,8
0.48262509803605524,0.6801182302002834,0.05092733946056076,1200,9
1.4851899507655946,0.6822395740436987,0.04850297809973045,1829,11
2.510437230084278,0.6877411641380784,0.049783705137753306,1554,9
3.4596167466234276,0.7069530353316856,0.0476862777450782,2168,10
4.445496942242835,0.7019215512924093,0.046575855507269795,2035,10
5.494910438183392,0.7207953564327891,0.04858652735998596,2019,10
6.527589946682008,0.7177728332527638,0.048571579749642074,2236,11
7.512863510880923,0.7607194743388185,0.060449976421898796,1308,9
8.49164442355474,0.7836704714739383,0.06560399603715304,1806,11
9.475591034960624,0.8742277391403174,0.07682813147416197,1294,9
10.52352074086845,0.9441960414861907,0.07848707494128694,1653,11
11.561300028512244,1.018925889038713,0.08788468264012345,1517,10
12.524194167962794,1.0337597529538989,0.08697283863597959,1148,9
13.526759020692333,1.0972801968112111,0.10028000327115245,1462,11
14.552006300011016,1.1543984353919745,0.11695060939682521,1031,9
15.501185816550166,1.128038379692053,0.11567565882628554,1142,10
16.48706601216957,1.146142066144786,0.12408592022593187,967,10
17.50605772221705,1.1104649086041096,0.13759097059626754,618,9
18.312096931012974,1.1395566750746642,0.16520646828030364,278,5
