time,latitude,longitude,depth_km,magnitude,exclude_reason
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,mw64_mainshock
2019-07-05 11:07:52.830000+00:00,35.758237795185046,-117.56793972429624,6.42093878,5.37,separator_event
2019-07-06 03:19:53.040000+00:00,35.7695,-117.599333,8.0,7.1,mw71_mainshock
