mag_bin,count_incremental,count_cumulative,count_incremental_ge_mc,count_cumulative_ge_mc,window_name
1.260000000000001,28,2233,0,1560,full_interevent
1.270000000000001,28,2205,0,1560,full_interevent
1.280000000000001,30,2177,0,1560,full_interevent
1.290000000000001,28,2147,0,1560,full_interevent
1.300000000000001,31,2119,0,1560,full_interevent
1.310000000000001,27,2088,0,1560,full_interevent
1.320000000000001,29,2061,0,1560,full_interevent
1.330000000000001,27,2032,0,1560,full_interevent
1.340000000000001,31,2005,0,1560,full_interevent
1.350000000000001,36,1974,0,1560,full_interevent
1.360000000000001,26,1938,0,1560,full_interevent
1.370000000000001,28,1912,0,1560,full_interevent
1.380000000000001,27,1884,0,1560,full_interevent
1.390000000000001,41,1857,0,1560,full_interevent
1.400000000000001,22,1816,0,1560,full_interevent
1.410000000000001,26,1794,0,1560,full_interevent
1.420000000000001,21,1768,0,1560,full_interevent
1.430000000000001,26,1747,0,1560,full_interevent
1.440000000000001,21,1721,0,1560,full_interevent
1.450000000000001,25,1700,0,1560,full_interevent
1.460000000000001,25,1675,0,1560,full_interevent
1.470000000000001,30,1650,0,1560,full_interevent
1.480000000000001,26,1620,0,1560,full_interevent
1.490000000000001,34,1594,0,1560,full_interevent
1.500000000000001,29,1560,29,1560,full_interevent
1.5100000000000011,24,1531,24,1531,full_interevent
1.5200000000000011,27,1507,27,1507,full_interevent
1.5300000000000011,19,1480,19,1480,full_interevent
1.5400000000000011,24,1461,24,1461,full_interevent
1.5500000000000012,20,1437,20,1437,full_interevent
1.5600000000000012,31,1417,31,1417,full_interevent
1.5700000000000012,21,1386,21,1386,full_interevent
1.5800000000000012,26,1365,26,1365,full_interevent
1.5900000000000012,29,1339,29,1339,full_interevent
1.6000000000000012,29,1310,29,1310,full_interevent
1.6100000000000012,13,1281,13,1281,full_interevent
1.6200000000000012,26,1268,26,1268,full_interevent
1.6300000000000012,22,1242,22,1242,full_interevent
1.6400000000000012,12,1220,12,1220,full_interevent
1.6500000000000012,18,1208,18,1208,full_interevent
1.6600000000000013,19,1190,19,1190,full_interevent
1.6700000000000013,18,1171,18,1171,full_interevent
1.6800000000000013,19,1153,19,1153,full_interevent
1.6900000000000013,21,1134,21,1134,full_interevent
1.7000000000000013,13,1113,13,1113,full_interevent
1.7100000000000013,20,1100,20,1100,full_interevent
1.7200000000000013,13,1080,13,1080,full_interevent
1.7300000000000013,18,1067,18,1067,full_interevent
1.7400000000000013,10,1049,10,1049,full_interevent
1.7500000000000013,12,1039,12,1039,full_interevent
1.7600000000000013,13,1027,13,1027,full_interevent
1.7700000000000014,10,1014,10,1014,full_interevent
1.7800000000000014,17,1004,17,1004,full_interevent
1.7900000000000014,21,987,21,987,full_interevent
1.8000000000000014,14,966,14,966,full_interevent
1.8100000000000014,13,952,13,952,full_interevent
1.8200000000000014,10,939,10,939,full_interevent
1.8300000000000014,18,929,18,929,full_interevent
1.8400000000000014,14,911,14,911,full_interevent
1.8500000000000014,9,897,9,897,full_interevent
1.8600000000000014,4,888,4,888,full_interevent
1.8700000000000014,19,884,19,884,full_interevent
1.8800000000000014,12,865,12,865,full_interevent
1.8900000000000015,13,853,13,853,full_interevent
1.9000000000000015,12,840,12,840,full_interevent
1.9100000000000015,10,828,10,828,full_interevent
1.9200000000000015,17,818,17,818,full_interevent
1.9300000000000015,16,801,16,801,full_interevent
1.9400000000000015,15,785,15,785,full_interevent
1.9500000000000015,9,770,9,770,full_interevent
1.9600000000000015,7,761,7,761,full_interevent
1.9700000000000015,11,754,11,754,full_interevent
1.9800000000000015,10,743,10,743,full_interevent
1.9900000000000015,13,733,13,733,full_interevent
2.0000000000000018,9,720,9,720,full_interevent
2.0100000000000016,9,711,9,711,full_interevent
2.020000000000002,12,702,12,702,full_interevent
2.0300000000000016,11,690,11,690,full_interevent
2.040000000000002,4,679,4,679,full_interevent
2.0500000000000016,8,675,8,675,full_interevent
2.060000000000002,9,667,9,667,full_interevent
2.0700000000000016,15,658,15,658,full_interevent
2.080000000000002,14,643,14,643,full_interevent
2.0900000000000016,14,629,14,629,full_interevent
2.100000000000002,15,615,15,615,full_interevent
2.1100000000000017,11,600,11,600,full_interevent
2.120000000000002,11,589,11,589,full_interevent
2.1300000000000017,16,578,16,578,full_interevent
2.140000000000002,9,562,9,562,full_interevent
2.1500000000000017,4,553,4,553,full_interevent
2.160000000000002,8,549,8,549,full_interevent
2.1700000000000017,9,541,9,541,full_interevent
2.180000000000002,9,532,9,532,full_interevent
2.190000000000002,11,523,11,523,full_interevent
2.200000000000002,7,512,7,512,full_interevent
2.2100000000000017,7,505,7,505,full_interevent
2.220000000000002,4,498,4,498,full_interevent
2.230000000000002,5,494,5,494,full_interevent
2.240000000000002,12,489,12,489,full_interevent
2.2500000000000018,6,477,6,477,full_interevent
2.260000000000002,7,471,7,471,full_interevent
2.2700000000000022,2,464,2,464,full_interevent
2.280000000000002,10,462,10,462,full_interevent
2.290000000000002,6,452,6,452,full_interevent
2.300000000000002,12,446,12,446,full_interevent
2.3100000000000023,10,434,10,434,full_interevent
2.320000000000002,6,424,6,424,full_interevent
2.330000000000002,9,418,9,418,full_interevent
2.340000000000002,9,409,9,409,full_interevent
2.3500000000000023,9,400,9,400,full_interevent
2.360000000000002,2,391,2,391,full_interevent
2.370000000000002,1,389,1,389,full_interevent
2.380000000000002,6,388,6,388,full_interevent
2.3900000000000023,5,382,5,382,full_interevent
2.400000000000002,7,377,7,377,full_interevent
2.410000000000002,5,370,5,370,full_interevent
2.420000000000002,6,365,6,365,full_interevent
2.4300000000000024,4,359,4,359,full_interevent
