window_name,b_71core,b_64core,delta_b_71_minus_64,n71,n64
full_interevent,0.6244662338016999,0.6742912614806289,-0.049825027678929046,215,649
pre_separator,0.5012467227242808,0.6187168211117386,-0.11747009838745781,49,498
post_separator,0.6733247781445764,0.9581191725822344,-0.2847943944376581,166,151
