window_name,valid_nodes,low_nodes,low_fraction,threshold_q20,median_low_b,median_low_uncertainty,median_low_n_ge_mc,low_near_mw71_5km,low_near_mw64_5km
full_interevent,469,420,0.8955223880597015,0.6391940611640625,0.6773065889923063,0.04432333341763395,250.5,78,80
pre_separator,396,366,0.9242424242424242,0.5985403732577484,0.6276887012095367,0.04555441099345542,192.0,37,80
post_separator,361,142,0.39335180055401664,0.7123507008475114,0.7110081069994609,0.05876946086082892,153.0,58,20
